rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
8000,1,1,Not given,1,"Deposit₹ 25,000/-",Carpet area: 500 (46.45 sq.m.)  sq.ft.,Unfurnished,Family Only," in Unecha Sai Galaxy, Wagholi, , Pune, Maharashtra",3rd   of 5 Floors,North,Ceramic,Yes,,1 Open,,,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"10,500",1,1,Not given,2,"Maintenance₹ 2,000/- (/ month)Deposit₹ 25,000/-",Super Built up area 650(60.39 sq.m.)  sq.ft.,Semifurnished,Family Only," in Magnum Lifestyle, Dhanori, , Pune, Maharashtra",3rd   of 12 Floors,,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"12,000",1,1,Not given,1,"Deposit₹ 30,000/-",Carpet area: 650 (60.39 sq.m.)  sq.ft.,Unfurnished,All," in Renuka Vrindavan, Pimpri Chinchwad, , Pune, Maharashtra",7th   of 7 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"10,500",1,1,Not given,1,"Deposit₹ 30,000/-",Super Built up area 1100(102.19 sq.m.)Built Up area: 1089 sq.ft. (101.17 sq.m.)Carpet area: 980 sq.ft. (91.04 sq.m.)  sq.ft.,Unfurnished,Family Only," in Binawat Township, Sasane Nagar, , Pune, Maharashtra",3rd   of 3 Floors,East,Mosaic,Yes,,"0 Covered, 0 Open",,,None,0 Months,Charges not included,None,10+ Year Old
"24,000",3,3,Not given,2,"Deposit₹ 60,000/-",Super Built up area 1800(167.23 sq.m.)  sq.ft.,Semifurnished,Family Only," in Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",Ground of 30 Floors,,,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
"18,000",2,2,Not given,2,Deposit3 months rent,Super Built up area 1300(120.77 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.)  sq.ft.,Furnished,All," in Classic CHS, Hadapsar Indutrial Estate, , Pune, Maharashtra",3rd   of 4 Floors,North-East,Mosaic,Yes,,1 Covered,,,12 Months,2 Months,Charges not included,None,10+ Year Old
"11,500",2,2,Not given,2,"Deposit₹ 30,000/-",Built Up area: 1000 (92.9 sq.m.)  sq.ft.,Semifurnished,All," in Dhankawadi, , Pune, Maharashtra",2nd   of 2 Floors,,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
"34,000",3,2,Not given,2,"Deposit₹ 125,000/-",Super Built up area 1475(137.03 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kunal Suraksha Enclave, Aundh, , Pune, Maharashtra",4th   of 6 Floors,,Granite,Yes,,1 Covered,,,24 Months,2 Months,Charges not included,None,10+ Year Old
7000,1,1,Not given,1,"Maintenance₹ 100/- (/ month)Deposit₹ 15,000/-",Plot area 1000(92.9 sq.m.)Built Up area: 350 sq.ft. (32.52 sq.m.)Carpet area: 320 sq.ft. (29.73 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in Chandan Nagar, , Pune, Maharashtra",,North,Vitrified,,,2 Open,,,12 Months,1 Months,Charges not included,None,1 to 5 Year Old
"12,500",2,2,Not given,2,"Deposit₹ 40,000/-",Super Built up area 855(79.43 sq.m.)  sq.ft.,Semifurnished,Family Only," in Ram Green Hive, Phursungi, , Pune, Maharashtra",2nd   of 9 Floors,East,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"18,000",2,2,Not given,2,"Deposit₹ 40,000/-",Super Built up area 1000(92.9 sq.m.)  sq.ft.,Semifurnished,Family Only," in L S Mehetre Shiv Angan, Pimple Saudagar, , Pune, Maharashtra",8th   of 8 Floors,,,,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
