rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
9500,1,1,Not given,,"Deposit₹ 25,000/-",Plot area 500(46.45 sq.m.)  sq.ft.,Unfurnished,Family Only," in Dnyanesh Housing Society, Warje, , Pune, Maharashtra",,West,,,,,,,None,1 Months,Charges not included,None,1 to 5 Year Old
"11,000",2,1,Others,1,"Maintenance₹ 500/- (/ month)Deposit₹ 15,000/-",Carpet area: 650 (60.39 sq.m.)  sq.ft.,Unfurnished,All," in Renuka Apartment, B.T Kawade Road, , Pune, Maharashtra",3rd   of 3 Floors,East,Spartex,Yes,,"1 Covered, 2 Open",Yes,Yes,4 Months,0 Months,Charges not included,Partial,1 to 5 Year Old
"10,000",1,1,Not given,,,Super Built up area 600(55.74 sq.m.)  sq.ft.,Unfurnished,Bachelors (Men Only)," in sai niwes soc, k k market road, , Pune, Maharashtra",2nd   of 6 Floors,,,,,"0 Covered, 0 Open",,,None,0 Months,Charges included,None,5 to 10 Year Old
"14,000",2,2,Pooja Room,1,"Deposit₹ 40,000/-",Super Built up area 875(81.29 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 780 sq.ft. (72.46 sq.m.)  sq.ft.,Semifurnished,All," in Windsor Estate, Kalyaninagar, , Pune, Maharashtra",2nd   of 3 Floors,East,Mosaic,Yes,,"1 Covered, 1 Open",,,None,1 Months,Charges not included,None,10+ Year Old
5000,1,1,Not given,,"Deposit₹ 15,000/-",Built Up area: 380 (35.3 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Pimple Gurav, , Pune, Maharashtra",Ground of 3 Floors,,,,,"0 Covered, 0 Open",,,None,0 Months,Charges included,None,5 to 10 Year Old
"12,000",2,2,Not given,2,"Maintenance₹ 1,000/- (/ month)Deposit₹ 30,000/-",Super Built up area 1200(111.48 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.)  sq.ft.,Semifurnished,Family Only," in Ashirwad Residency, Swami Samarth Nagar, , Pune, Maharashtra",1st   of 3 Floors,East,Ceramic,,Yes,4 Covered,,,None,0 Months,Charges included,None,0 to 1 Year Old
"10,500",1,1,Not given,2,"Deposit₹ 25,000/-",Built Up area: 600 (55.74 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.)  sq.ft.,Unfurnished,Family Only," in Ashirwad Capital Apartment, Pimpri Chinchwad, , Pune, Maharashtra",1st   of 4 Floors,South-East,Vitrified,Yes,,,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
"11,000",2,2,Not given,1,"Maintenance₹ 1,100/- (/ month)Deposit₹ 25,000/-",Carpet area: 460 (42.74 sq.m.)  sq.ft.,Semifurnished,All," in Jai Jawan Awas Yojna, Hadapsar, , Pune, Maharashtra",1st   of 3 Floors,East,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
"22,000",2,2,Others,2,"Deposit₹ 70,000/-",Built Up area: 1087 (100.99 sq.m.)  sq.ft.,Furnished,Bachelors (Men/Women)," in Shree Anand Venkateshwara Royal Court, Wakad, , Pune, Maharashtra",3rd   of 6 Floors,West,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
8000,1,1,Not given,,"Deposit₹ 20,000/-",Built Up area: 550 (51.1 sq.m.)Carpet area: 449 sq.ft. (41.71 sq.m.)  sq.ft.,Unfurnished,All," in Shivparvati, Shitole Nagar, , Pune, Maharashtra",3rd   of 3 Floors,West,,,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"13,000",3,3,Others,2,"Deposit₹ 26,000/-",Super Built up area 1377(127.93 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)  sq.ft.,Unfurnished,Family Only," in Dreams Rakshak, Wagholi, , Pune, Maharashtra",7th   of 12 Floors,West,Mosaic,Yes,Yes,1 Covered,Yes,Yes,12 Months,0 Months,Charges included,None,0 to 1 Year Old
"12,000",1,1,"Pooja Room,Study Room,Servant Room,Others",1,"Maintenance₹ 500/- (/ month)Deposit₹ 40,000/-",Super Built up area 530(49.24 sq.m.)  sq.ft.,Furnished,Family Only," in on Request, Dattanagar, , Pune, Maharashtra",1st   of 4 Floors,South-West,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
7000,1,1,Not given,,,Super Built up area 500(46.45 sq.m.)Built Up area: 450 sq.ft. (41.81 sq.m.)Carpet area: 350 sq.ft. (32.52 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Mantri Township, Hadapsar, , Pune, Maharashtra",4th   of 4 Floors,East,Polished concrete,Yes,,1 Open,Yes,Yes,None,0 Months,Charges not included,Full,10+ Year Old
"13,000",2,2,Not given,3,"Deposit₹ 50,000/-",Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Semifurnished,Family Only," in Selene Park, Hadapsar, , Pune, Maharashtra",8th   of 9 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"12,000",2,2,Not given,,"Deposit₹ 30,000/-",Built Up area: 1130 (104.98 sq.m.)  sq.ft.,Furnished,All," in gaurishankar society, Anand Nagar, , Pune, Maharashtra",4th   of 4 Floors,North-West,,Yes,,,,,None,0 Months,Charges not included,None,10+ Year Old
7000,1,1,Not given,1,"Deposit₹ 15,000/-",Built Up area: 480 (44.59 sq.m.)  sq.ft.,Semifurnished,All," in Papde Wasti, , Pune, Maharashtra",,East,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"12,000",2,1,Not given,1,"Deposit₹ 30,000/-",Carpet area: 825 (76.65 sq.m.)  sq.ft.,Unfurnished,All," in Sanyog Residency CHS, Sasane Nagar, , Pune, Maharashtra",2nd   of 7 Floors,South-West,Ceramic,Yes,,1 Covered,,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
5000,1,1,Not given,,Deposit2 months rent,Built Up area: 480 (44.59 sq.m.)  sq.ft.,Semifurnished,All," in Hadapsar, , Pune, Maharashtra",1st   of 2 Floors,East,,,,1 Open,,,None,0 Months,Charges not included,None,1 to 5 Year Old
