rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"15,000",2,2,Not given,1,"Brokerage₹ 15,000/- (Non-Negotiable)Deposit₹ 50,000/-",Super Built up area 1200(111.48 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.)  sq.ft.,Furnished,All," in The Omega Paradise Phase 1, Shankar Kalat Nagar, , Pune, Maharashtra",4th   of 08 Floors,East,Vitrified,Yes,," Covered, 1 Open",Yes,Yes,12 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"13,000",1,1,Not given,1,Deposit2 months rent,Carpet area: 800 (74.32 sq.m.)  sq.ft.,Semifurnished,Family Only," in Hill View Residency Warje, Warje, , Pune, Maharashtra",4th   of 6 Floors,,,Yes,,,,,11 Months,2 Months,Charges not included,None,5 to 10 Year Old
"13,500",2,2,Not given,2,Deposit3 months rent,Carpet area: 900 (83.61 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Prestine New City, Wagholi, , Pune, Maharashtra",3rd   of 5 Floors,West,Marble,,,1 Open,,,24 Months,1 Months,Charges included,Full,5 to 10 Year Old
"23,000",3,2,Not given,1,"Deposit₹ 75,000/-",Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Semifurnished,Family Only," in Ganesham Phase II, Pimple Saudagar, , Pune, Maharashtra",5th   of 11 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"14,000",2,1,Not given,1,"Deposit₹ 30,000/-",Carpet area: 768 (71.35 sq.m.)  sq.ft.,Semifurnished,Family Only," in Shyama Heritage, Keshav Nagar, , Pune, Maharashtra",1st   of 4 Floors,North,Ceramic,Yes,,,,Yes,24 Months,1 Months,Charges not included,None,10+ Year Old
"16,500",3,2,Not given,1,"Deposit₹ 30,000/-",Carpet area: 1060 (98.48 sq.m.)  sq.ft.,Semifurnished,Family Only," in Sai Sanskruti, Wagholi, , Pune, Maharashtra",5th   of 8 Floors,,,Yes,,1 Open,Yes,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"60,000",3,3,Not given,2,,Super Built up area 1854(172.24 sq.m.)  sq.ft.,Furnished,All," in The Grace Apartment, Cosmopolitan Hsg. Soc., Aundh, , Pune, Maharashtra",2nd   of 5 Floors,,,,,"1 Covered, 1 Open",,,24 Months,0 Months,Charges included,None,10+ Year Old
"15,000",1,1,Not given,3,"Deposit₹ 40,000/-",Carpet area: 735 (68.28 sq.m.)  sq.ft.,Unfurnished,Family Only," in DSK Sundarban Phase 1, Hadapsar, , Pune, Maharashtra",4th   of 8 Floors,East,,,,1 Open,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
"18,000",2,2,Not given,2,"Deposit₹ 54,000/-",Super Built up area 960(89.19 sq.m.)  sq.ft.,Furnished,All," in Venkatesh Oxy Ultima, Wagholi, , Pune, Maharashtra",3rd   of 4 Floors,East,,Yes,,"1 Covered, 0 Open",Yes,Yes,11 Months,1 Months,Charges included,Full,1 to 5 Year Old
"10,000",2,2,Not given,1,"Deposit₹ 30,000/-",Super Built up area 800(74.32 sq.m.)Built Up area: 760 sq.ft. (70.61 sq.m.)Carpet area: 565 sq.ft. (52.49 sq.m.)  sq.ft.,Unfurnished,Family Only," in DMK Stella, Moshi, , Pune, Maharashtra",5th   of 14 Floors,,Vitrified,Yes,,1 Covered,,,None,1 Months,Charges not included,Partial,1 to 5 Year Old
"10,000",1,1,Not given,1,"Deposit₹ 25,000/-",Built Up area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,Family Only," in Godavari Housing Society, Pimpri Chinchwad, , Pune, Maharashtra",2nd   of 2 Floors,East,Spartex,Yes,,"1 Covered,  Open",,Yes,11 Months,1 Months,Charges not included,None,10+ Year Old
9000,1,1,Not given,1,"Deposit₹ 20,000/-",Carpet area: 400 (37.16 sq.m.)  sq.ft.,Unfurnished,All," in SVS Bhagyashree Height, Old Sangvi, , Pune, Maharashtra",4th   of 5 Floors,East,Vitrified,,,"1 Covered, 1 Open",,,11 Months,2 Months,Charges not included,None,5 to 10 Year Old
"11,000",2,2,Others,1,"Deposit₹ 30,000/-",Super Built up area 1001(93 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kolte Patil Umang Primo, Wagholi, , Pune, Maharashtra",11st   of 13 Floors,North,Vitrified,Yes,Yes,1 Covered,,,24 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"20,000",2,2,Not given,2,"Deposit₹ 50,000/-",Super Built up area 910(84.54 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 775 sq.ft. (72 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Men Only)"," in Shonest Tower Wakad, Wakad, , Pune, Maharashtra",8th   of 12 Floors,South,Ceramic,Yes,,"0 Covered, 1 Open",,,11 Months,0 Months,Charges not included,Full,1 to 5 Year Old
"10,500",1,1,Not given,1,,Super Built up area 1250(116.13 sq.m.)  sq.ft.,Unfurnished,All," in shree bramchitashintai navies, Kharadi, , Pune, Maharashtra",2nd   of 3 Floors,,,,,1 Open,,,None,0 Months,Charges included,None,0 to 1 Year Old
"15,000",2,2,Not given,1,"Deposit₹ 40,000/-",Carpet area: 960 (89.19 sq.m.)  sq.ft.,Semifurnished,All," in Sree bungalow, Kaspate Vasti, , Pune, Maharashtra",2nd   of 3 Floors,,,,,1 Open,,,None,1 Months,Charges included,None,1 to 5 Year Old
"10,000",1,1,Not given,1,Deposit3 months rent,Carpet area: 650 (60.39 sq.m.)  sq.ft.,Unfurnished,All," in wamankala, Bibwewadi, , Pune, Maharashtra",1st   of 3 Floors,North,Marble,,,1 Open,,,12 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
5500,2,1,Not given,2,"Deposit₹ 15,000/-",Super Built up area 800(74.32 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 620 sq.ft. (57.6 sq.m.)  sq.ft.,Unfurnished,All," in Aditya Angan, Keshav Nagar, , Pune, Maharashtra",4th   of 4 Floors,East,Spartex,,," Covered,  Open",,,12 Months,1 Months,Charges included,None,5 to 10 Year Old
