rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"13,000",1,2,Not given,1,"Deposit₹ 30,000/-",Built Up area: 750 (69.68 sq.m.)  sq.ft.,Furnished,Bachelors (Men/Women)," in Ravet, , Pune, Maharashtra",2nd   of 3 Floors,South,,,,"1 Covered, 1 Open",,,None,0 Months,Charges not included,None,1 to 5 Year Old
"25,000",2,2,Not given,2,,Super Built up area 1200(111.48 sq.m.)  sq.ft.,Unfurnished,Family Only," in Marvel Ganga Fria Phase 1, Wagholi, , Pune, Maharashtra",9th   of 11 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
5500,1,1,Not given,1,Maintenance₹ 500/- (/ month)Deposit2 months rent,Carpet area: 550 (51.1 sq.m.)  sq.ft.,Unfurnished,All," in kondhwe dhawde near NDA gate in pune, , Pune, Maharashtra",3rd   of 5 Floors,North,Vitrified,,,"0 Covered,  Open",Yes,Yes,11 Months,0 Months,Charges not included,None,1 to 5 Year Old
"15,000",2,2,Not given,1,"Deposit₹ 30,000/-",Super Built up area 747(69.4 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Vishal Lonkar Residency, Mundhwa, , Pune, Maharashtra",1st   of 6 Floors,West,Ceramic,Yes,,"1 Covered, 1 Open",,Yes,12 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"24,000",2,2,Not given,2,Deposit2 months rent,Super Built up area 785(72.93 sq.m.)  sq.ft.,Furnished,All," in Pride Long Island, Charholi, , Pune, Maharashtra",5th   of 12 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"18,000",2,2,Not given,2,"Deposit₹ 50,000/-",Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Semifurnished,Family Only," in prestige panorama, Mundhwa, , Pune, Maharashtra",5th   of 10 Floors,,,,,1 Covered,,,12 Months,1 Months,Charges not included,None,5 to 10 Year Old
"16,000",2,2,Not given,,"Deposit₹ 30,000/-",Built Up area: 767 (71.26 sq.m.)  sq.ft.,Semifurnished,All," in Swami Apartment , Kalas, Vishrantwadi, , Pune, Maharashtra",2nd   of 3 Floors,East,Marble,,,1 Open,,,None,0 Months,Charges included,None,1 to 5 Year Old
"15,500",2,2,Not given,2,"Deposit₹ 50,000/-",Super Built up area 908(84.36 sq.m.)  sq.ft.,Unfurnished,All," in Sara Metroville, Punawale, , Pune, Maharashtra",7th   of 14 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,Partial,1 to 5 Year Old
8000,1,1,Not given,1,"Deposit₹ 35,000/-",Built Up area: 500 (46.45 sq.m.)  sq.ft.,Semifurnished,All," in Dhankawadi, , Pune, Maharashtra",1st   of 2 Floors,,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
"10,000",1,1,Not given,2,,Super Built up area 561(52.12 sq.m.)  sq.ft.,Unfurnished,All," in sai villa Katraj, Katraj, , Pune, Maharashtra",2nd   of 5 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
"12,000",1,1,Not given,1,"Deposit₹ 30,000/-",Super Built up area 500(46.45 sq.m.)Built Up area: 499 sq.ft. (46.36 sq.m.)  sq.ft.,Unfurnished,All," in Sukh dhan niwas, Sangamvadi, , Pune, Maharashtra",1st   of 2 Floors,East,Vitrified,,,,,,None,0 Months,Charges included,None,1 to 5 Year Old
"10,000",1,1,Not given,1,,Plot area 1000(92.9 sq.m.)  sq.ft.,Furnished,Family Only," in wadgaonsheri, , Pune, Maharashtra",,,,,,1 Covered,,,None,0 Months,Charges included,None,0 to 1 Year Old
"20,000",2,2,Not given,,,Built Up area: 850 (78.97 sq.m.)  sq.ft.,Furnished,All," in Siddarth Nagar-Aundh, , Pune, Maharashtra",,,,Yes,,,,,22 Months,1 Months,Charges included,None,1 to 5 Year Old
