rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"14,000",2,2,"Pooja Room,Study Room,Servant Room,Store Room",2,"Maintenance₹ 500/- (/ month)Brokerage₹ 14,500/- (Negotiable)Deposit₹ 40,000/-",Super Built up area 1102(102.38 sq.m.)Built Up area: 1006 sq.ft. (93.46 sq.m.)Carpet area: 734.86 sq.ft. (68.27 sq.m.)  sq.ft.,Unfurnished,All," in Celestial City, Ravet, , Pune, Maharashtra",1st   of 13 Floors,North,Marble,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"22,000",3,3,Not given,1,"Brokerage₹ 22,000/- (Non-Negotiable)Deposit₹ 50,000/-",Carpet area: 1350 (125.42 sq.m.)  sq.ft.,Semifurnished,Family Only," in Whistling Meadows, Patil Nagar, , Pune, Maharashtra",11st   of 13 Floors,East,Marble,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"24,000",1,1,Pooja Room,1,"Brokerage₹ 24,000/- (Non-Negotiable)Deposit₹ 50,000/-",Super Built up area 705(65.5 sq.m.)Built Up area: 690 sq.ft. (64.1 sq.m.)Carpet area: 540 sq.ft. (50.17 sq.m.)  sq.ft.,Furnished,All," in Lodha Belmondo, Pune Mumbai Highway, , Pune, Maharashtra",15th   of 24 Floors,East,Vitrified,Yes,," Covered,  Open",,,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
"23,000",2,2,Others,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 23,000/- (Negotiable)Deposit₹ 60,000/-",Super Built up area 1150(106.84 sq.m.)Built Up area: 1125 sq.ft. (104.52 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.)  sq.ft.,Semifurnished,Family Only," in DS Park Royal, Pimple Saudagar, , Pune, Maharashtra",6th   of 12 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
"45,000",3,3,Not given,1,"Brokerage₹ 45,000/- (Negotiable)Deposit₹ 200,000/-",Built Up area: 1500 (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.)  sq.ft.,Furnished,All," in Hermes Park, Bund Garden, , Pune, Maharashtra",2nd   of 5 Floors,East,Vitrified,Yes,,1 Covered,,,24 Months,2 Months,Charges not included,None,10+ Year Old
"38,000",2,2,Not given,2,"Brokerage₹ 38,000/- (Negotiable)Deposit₹ 200,000/-",Super Built up area 1150(106.84 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.)  sq.ft.,Furnished,All," in Fortaleza Apartment, Kalyani Nagar, , Pune, Maharashtra",5th   of 11 Floors,East,Vitrified,Yes,,1 Covered,Yes,Yes,24 Months,1 Months,Charges not included,Partial,10+ Year Old
 1.75 Lac,4,4,Not given,1,"Brokerage₹ 175,000/- (Non-Negotiable)Deposit6 months rent",Super Built up area 4000(371.61 sq.m.)Carpet area: 3700 sq.ft. (343.74 sq.m.)  sq.ft.,Furnished,Family Only," in Ivy Glen, Kalyani Nagar, , Pune, Maharashtra",3rd   of 9 Floors,East,Vitrified,Yes,,1 Covered,,,36 Months,2 Months,Charges not included,Full,5 to 10 Year Old
 1.75 Lac,3,3,Not given,1,"Brokerage₹ 175,000/- (Negotiable)Deposit6 months rent",Super Built up area 1750(162.58 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.)  sq.ft.,Furnished,Family Only," in Marvel Vivacity, Kalyani Nagar, , Pune, Maharashtra",12nd   of 12 Floors,East,Vitrified,Yes,,2 Covered,,,36 Months,2 Months,Charges not included,Partial,5 to 10 Year Old
"33,000",3,3,Not given,2,"Brokerage₹ 33,000/- (Non-Negotiable)Deposit₹ 99,000/-",Built Up area: 1650 (153.29 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.)  sq.ft.,Unfurnished,All," in Marvel Citrine, Eon Free Zone , , Pune, Maharashtra",5th   of 12 Floors,East,Vitrified,Yes,,1 Covered,,,24 Months,2 Months,Charges not included,Partial,1 to 5 Year Old
"33,000",3,3,Not given,3,"Brokerage₹ 33,000/- (Negotiable)Deposit3 months rent",Super Built up area 2197(204.11 sq.m.)Built Up area: 2196 sq.ft. (204.02 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.)  sq.ft.,Semifurnished,All," in Darode Jog Liviano, Kharadi, , Pune, Maharashtra",6th   of 14 Floors,East,Vitrified,Yes,Yes,,,Yes,12 Months,1 Months,Charges not included,Full,0 to 1 Year Old
