rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
0," 10,000",1,1,Not given,1,,Super Built up area 510(47.38 sq.m.)  sq.ft.,Unfurnished,Family Only," in Royal Classic, Chinchwad, , Pune, Maharashtra",4th   of 4 Floors,,,,,"0 Covered, 0 Open",,,None,0 Months,Charges included,None,5 to 10 Year Old
1, 5500,1,1,Others,2,"Deposit₹ 16,500/-",Built Up area: 550 (51.1 sq.m.)  sq.ft.,Unfurnished,Family Only," in Mamta Papa Residency, Talegaon Dabhade, , Pune, Maharashtra",3rd   of 3 Floors,South-East,Cement,,Yes," Covered, 1 Open",,,11 Months,1 Months,Charges included,None,0 to 1 Year Old
2, 5500,1,1,Not given,,"Deposit₹ 15,000/-",Carpet area: 400 (37.16 sq.m.)  sq.ft.,Unfurnished,All," in Gokulnagar lane no 4, Katraj Kondhwa Road, , Pune, Maharashtra",2nd   of 2 Floors,East,Vitrified,Yes,,"1 Covered, 1 Open",,Yes,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
3," 18,000",3,2,Not given,1,Deposit6 months rent,Built Up area: 1250 (116.13 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.)  sq.ft.,Unfurnished,Family Only," in Bansal Paradise Apartments, Chinchwad, , Pune, Maharashtra",3rd   of 5 Floors,East,Granite,Yes,Yes,1 Covered,,,33 Months,2 Months,Charges not included,None,10+ Year Old
4," 15,500",2,2,Not given,2,"Deposit₹ 100,000/-",Super Built up area 1000(92.9 sq.m.)Built Up area: 840 sq.ft. (78.04 sq.m.)  sq.ft.,Semifurnished,Family Only," in Air Castles, Hinjewadi Phase 2, , Pune, Maharashtra",5th   of 9 Floors,,Vitrified,Yes,,1 Covered,,,12 Months,1 Months,Charges not included,Full,1 to 5 Year Old
5," 21,000",3,3,Not given,2,"Deposit₹ 50,000/-",Super Built up area 1626(151.06 sq.m.)  sq.ft.,Unfurnished,All," in Kumar Park Infinia, Phursungi, , Pune, Maharashtra",7th   of 12 Floors,,Vitrified,Yes,,1 Open,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
6," 16,000",1,1,Not given,1,"Deposit₹ 50,000/-",Carpet area: 650 (60.39 sq.m.)  sq.ft.,Furnished,Family Only," in SANSKRUTI APPARTMENT, CHINCHWAD,PUNE-19, Chinchwad, , Pune, Maharashtra",6th   of 6 Floors,East,,,,,,,None,0 Months,Charges not included,Full,10+ Year Old
7," 20,000",2,2,Not given,2,,Built Up area: 930 (86.4 sq.m.)  sq.ft.,Semifurnished,All," in Rise Alta, Tathawade, , Pune, Maharashtra",2nd   of 2 Floors,,,,,,,,None,0 Months,Charges included,None,1 to 5 Year Old
8," 15,000",1,2,Not given,1,"Deposit₹ 45,000/-",Super Built up area 825(76.65 sq.m.)Carpet area: 648 sq.ft. (60.2 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Skyways Sereno, Lohegaon, , Pune, Maharashtra",9th   of 9 Floors,,,Yes,,1 Open,,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
9," 14,000",2,2,Not given,2,"Deposit₹ 30,000/-",Carpet area: 1024 (95.13 sq.m.)  sq.ft.,Unfurnished,Family Only," in Nirman Audumber, Hadapsar, , Pune, Maharashtra",4th   of 7 Floors,,,,,1 Covered,,,12 Months,1 Months,Charges not included,None,1 to 5 Year Old
10," 18,000",2,2,Not given,3,"Deposit₹ 50,000/-",Carpet area: 950 (88.26 sq.m.)  sq.ft.,Unfurnished,All," in Gayatrree Landmark, Thergaon, , Pune, Maharashtra",5th   of 9 Floors,West,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
11," 13,500",2,1,Not given,,"Deposit₹ 40,000/-",Super Built up area 930(86.4 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.)  sq.ft.,Unfurnished,All," in Yashonandan Apartments, Hingne Budrukh, , Pune, Maharashtra",1st   of 4 Floors,,,Yes,,,,,None,0 Months,Charges not included,None,10+ Year Old
12," 18,500",2,2,Not given,1,"Deposit₹ 50,000/-",Built Up area: 1000 (92.9 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.)  sq.ft.,Unfurnished,Family Only," in Crown Scoiety, Yerwada, , Pune, Maharashtra",4th   of 5 Floors,West,Ceramic,,,1 Covered,,,None,0 Months,Charges included,Full,5 to 10 Year Old
13," 12,000",1,1,Not given,3+,"Deposit₹ 25,000/-",Carpet area: 540 (50.17 sq.m.)  sq.ft.,Unfurnished,Family Only," in Agarwal RK Dream Land, Tingre Nagar, , Pune, Maharashtra",2nd   of 4 Floors,East,Others,Yes,,,,,11 Months,1 Months,Charges included,None,10+ Year Old
14, 5500,1,1,Not given,1,"Deposit₹ 15,000/-",Carpet area: 346 (32.14 sq.m.)  sq.ft.,Unfurnished,Family Only," in Sai Villa, Manjari Budruk, , Pune, Maharashtra",3rd   of 5 Floors,East,,Yes,,,,,None,2 Months,Charges not included,None,1 to 5 Year Old
15, 8000,1,1,Not given,,"Deposit₹ 25,000/-",Carpet area: 600 (55.74 sq.m.)  sq.ft.,Semifurnished,Family Only," in shanti sahakai gruhrachana matyadit pune, Vadgaon phata, , Pune, Maharashtra",3rd   of 4 Floors,,Marble,Yes,,1 Open,,,11 Months,2 Months,Charges not included,None,5 to 10 Year Old
16," 17,000",2,2,Not given,2,"Deposit₹ 35,000/-",Carpet area: 640 (59.46 sq.m.)  sq.ft.,Furnished,All," in Kohinoor Tinsel County, Phase-3 Hinjewadi , , Pune, Maharashtra",9th   of 12 Floors,,Ceramic,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
17," 15,000",2,2,Not given,1,"Deposit₹ 50,000/-",Super Built up area 756(70.23 sq.m.)  sq.ft.,Unfurnished,Family Only," in Chaitrangan Society, Kondhwa Budruk, , Pune, Maharashtra",5th   of 5 Floors,East,Vitrified,Yes,,1 Covered,,,None,0 Months,Charges not included,Partial,1 to 5 Year Old
18, 8000,1,1,Not given,2,,Super Built up area 570(52.95 sq.m.)  sq.ft.,Furnished,Family Only," in Muktai Apartment, Dehu Road, , Pune, Maharashtra",3rd   of 4 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,5 to 10 Year Old
19, 9000,1,1,Not given,1,"Deposit₹ 25,000/-",Super Built up area 643(59.74 sq.m.)Carpet area: 640 sq.ft. (59.46 sq.m.)  sq.ft.,Unfurnished,Family Only," in Moraya Krushna Nagari, Dighi, , Pune, Maharashtra",7th   of 11 Floors,West,,,,"1 Covered, 1 Open",,,None,2 Months,Charges not included,None,5 to 10 Year Old
20," 18,000",2,2,Others,2,"Deposit₹ 40,000/-",Super Built up area 900(83.61 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.)  sq.ft.,Semifurnished,All," in Laxmi Nagar, Dhanori, , Pune, Maharashtra",Ground of 4 Floors,East,Ceramic,Yes,,"1 Covered,  Open",,,11 Months,0 Months,Charges not included,None,5 to 10 Year Old
21," 13,000",2,2,Not given,2,"Deposit₹ 30,000/-",Carpet area: 800 (74.32 sq.m.)  sq.ft.,Semifurnished,All," in Chandrangan Swaroop, Ambegaon Budruk, , Pune, Maharashtra",1st   of 5 Floors,East,Vitrified,Yes,,"1 Covered,  Open",,,11 Months,1 Months,Charges included,None,5 to 10 Year Old
22, 7000,2,1,Store Room,1,"Maintenance₹ 500/- (/ month)Deposit₹ 25,000/-",Carpet area: 950 (88.26 sq.m.)  sq.ft.,Semifurnished,Family Only," in ARK Prem Alfa Greenfields, Deccan Hills, , Pune, Maharashtra",1st   of 4 Floors,North-West,Ceramic,,Yes,1 Covered,,Yes,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
23," 17,000",3,3,Study Room,2,Deposit3 months rent,Carpet area: 1002 (93.09 sq.m.)  sq.ft.,Semifurnished,All," in Air Castles, Hinjewadi Phase 2, , Pune, Maharashtra",6th   of 8 Floors,,,Yes,,"1 Covered,  Open",,,12 Months,1 Months,Charges not included,None,1 to 5 Year Old
24," 18,000",2,2,Not given,1,"Deposit₹ 36,000/-",Super Built up area 880(81.75 sq.m.)Carpet area: 840 sq.ft. (78.04 sq.m.)  sq.ft.,Semifurnished,All," in Vasant Utsav, Hinjewadi, , Pune, Maharashtra",3rd   of 6 Floors,,,Yes,,"1 Covered, 1 Open",,,12 Months,3 Months,Charges not included,None,5 to 10 Year Old
25,,,,Not given,0,,None,,None,,,,,,,,,,,,,,
26," 13,000",2,2,Not given,2,"Deposit₹ 25,000/-",Carpet area: 690 (64.1 sq.m.)  sq.ft.,Semifurnished,Family Only," in Jagdamba Heights, Bijle Nagar, , Pune, Maharashtra",4th   of 4 Floors,North-East,Ceramic,,,1 Covered,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
27, 2000,1,1,Not given,,,Super Built up area 1200(111.48 sq.m.)  sq.ft.,Semifurnished,Bachelors (Men Only)," in pawan bhakti building, Talegaon Dabhade, , Pune, Maharashtra",Ground of 5 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
28," 16,000",2,2,Not given,1,"Maintenance₹ 500/- (/ month)Deposit₹ 40,000/-",Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Unfurnished,Family Only," in New Sanghvi, , Pune, Maharashtra",3rd   of 3 Floors,,,,,"1 Covered,  Open",,,12 Months,1 Months,Charges not included,None,5 to 10 Year Old
29, 6500,1,1,Not given,,"Deposit₹ 20,000/-",Plot area 450(41.81 sq.m.)  sq.ft.,Unfurnished,All," in Katraj Kondhwa Road, , Pune, Maharashtra",,West,,Yes,," Covered, 2 Open",,,None,0 Months,Charges included,None,0 to 1 Year Old
30, 6000,2,2,Not given,1,"Deposit₹ 12,000/-",Super Built up area 800(74.32 sq.m.)Carpet area: 670 sq.ft. (62.25 sq.m.)  sq.ft.,Unfurnished,All," in SK Shri Ganesh Park Pune, Kolawadi, , Pune, Maharashtra",1st   of 7 Floors,East,Vitrified,Yes,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
31," 22,000",2,2,Not given,2,"Deposit₹ 40,000/-",Super Built up area 1030(95.69 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in DK Parande Woods, Parande Nagar, , Pune, Maharashtra",7th   of 9 Floors,East,Vitrified,,," Covered, 2 Open",,Yes,12 Months,0 Months,Charges not included,None,10+ Year Old
32," 13,000",2,2,Not given,1,"Deposit₹ 20,000/-",Super Built up area 878(81.57 sq.m.)  sq.ft.,Unfurnished,All," in Pankaj Aasmaan, Lohegaon, , Pune, Maharashtra",2nd   of 9 Floors,North-East,,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,0 to 1 Year Old
33," 18,000",2,2,Not given,2,"Deposit₹ 50,000/-",Super Built up area 1050(97.55 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 760 sq.ft. (70.61 sq.m.)  sq.ft.,Semifurnished,All," in Jiwan Jyoti Apartments, Thite Nagar, , Pune, Maharashtra",1st   of 3 Floors,West,Vitrified,Yes,Yes,1 Open,,,None,0 Months,Charges included,None,1 to 5 Year Old
34," 15,000",2,2,Not given,1,,Carpet area: 850 (78.97 sq.m.)  sq.ft.,Semifurnished,Family Only," in Shantikunj Society, Pradhikaran, , Pune, Maharashtra",3rd   of 4 Floors,,,Yes,,"1 Covered, 0 Open",,,None,1 Months,Charges not included,Full,5 to 10 Year Old
35," 25,000",2,2,Not given,3,"Deposit₹ 50,000/-",Carpet area: 700 (65.03 sq.m.)  sq.ft.,Furnished,All," in Silver Chamber, Suryalok Nagari, , Pune, Maharashtra",4th   of 5 Floors,East,Granite,,," Covered,  Open",,,12 Months,1 Months,Charges included,None,10+ Year Old
36, 9000,1,1,Not given,1,"Deposit₹ 20,000/-",Built Up area: 700 (65.03 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kalewadi, , Pune, Maharashtra",2nd   of 3 Floors,,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
37," 14,000",1,1,Not given,,"Maintenance₹ 200/- (/ month)Deposit₹ 35,000/-",Super Built up area 650(60.39 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.)  sq.ft.,Unfurnished,All," in Shram Safalya Apartment, Warje, , Pune, Maharashtra",1st   of 2 Floors,North-West,Marble,Yes,,2 Open,,,11 Months,2 Months,Charges not included,None,1 to 5 Year Old
