rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
38," 75,000",4,4,Study Room,3,Deposit6 months rent,Super Built up area 3500(325.16 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.)  sq.ft.,Furnished,Family Only," in Shirine Garden, Aundh, , Pune, Maharashtra",5th   of 6 Floors,North-East,Vitrified,Yes,,1 Covered,,,None,0 Months,Charges included,Full,10+ Year Old
39, 8300,1,1,Not given,,"Deposit₹ 20,000/-",Super Built up area 750(69.68 sq.m.)Built Up area: 740 sq.ft. (68.75 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.)  sq.ft.,Unfurnished,All," in Old Sangvi, , Pune, Maharashtra",Ground of 3 Floors,North-West,Vitrified,Yes,,,Yes,,12 Months,2 Months,Charges not included,None,10+ Year Old
40," 12,000",2,2,Not given,1,"Deposit₹ 30,000/-",Super Built up area 965(89.65 sq.m.)  sq.ft.,Unfurnished,Family Only," in Sudarshan Lake Paradise, Wagholi, , Pune, Maharashtra",1st   of 7 Floors,South-West,,Yes,,"1 Covered, 0 Open",,,11 Months,1 Months,Charges included,None,1 to 5 Year Old
41, 6000,2,2,Not given,,"Maintenance₹ 2,000/- (/ month)Deposit2 months rent",Carpet area: 418 (38.83 sq.m.)  sq.ft.,Unfurnished,All," in Xrbia Hinjewadi Road, Nere, , Pune, Maharashtra",6th   of 8 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,5 to 10 Year Old
42," 15,000",2,2,Not given,,"Deposit₹ 30,000/-",Super Built up area 650(60.39 sq.m.)  sq.ft.,Unfurnished,Family Only," in Nirman Royale Shell, Pradhikaran, , Pune, Maharashtra",3rd   of 6 Floors,,,,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
43," 13,000",2,2,Not given,1,"Deposit₹ 30,000/-",Carpet area: 800 (74.32 sq.m.)  sq.ft.,Unfurnished,All," in SVS Bhagyashree Height, Old Sangvi, , Pune, Maharashtra",5th   of 5 Floors,,,Yes,Yes,"0 Covered, 0 Open",,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
44," 16,000",2,2,Not given,1,"Deposit₹ 40,000/-",Super Built up area 1050(97.55 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.)  sq.ft.,Semifurnished,All," in Megapolis Sparklet, Hinjewadi, , Pune, Maharashtra",3rd   of 14 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
45," 25,000",3,2,Not given,2,"Deposit₹ 50,000/-",Built Up area: 1100 (102.19 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.)  sq.ft.,Semifurnished,Family Only," in Acharya Society, Warje, , Pune, Maharashtra",3rd   of 4 Floors,West,Ceramic,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
46, 8000,1,1,Not given,,"Deposit₹ 8,000/-",Carpet area: 300 (27.87 sq.m.)  sq.ft.,Unfurnished,All," in ganesh apartment yerwada, Yerwada, , Pune, Maharashtra",2nd   of 5 Floors,East,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
47," 13,000",1,1,Not given,1,,Carpet area: 480 (44.59 sq.m.)  sq.ft.,Unfurnished,Family Only," in Samarth Nagar, Wadgaon Sheri, , Pune, Maharashtra",1st   of 4 Floors,,Cement,Yes,," Covered,  Open",,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
48," 20,000",3,2,Not given,1,Deposit4 months rent,Super Built up area 1500(139.35 sq.m.)  sq.ft.,Unfurnished,All," in Xotech Homes, Hinjewadi, , Pune, Maharashtra",8th   of 10 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
49," 25,000",2,2,Not given,2,Deposit2 months rent,Carpet area: 850 (78.97 sq.m.)  sq.ft.,Semifurnished,All," in Uttam Enclave, Aundh, , Pune, Maharashtra",1st   of 3 Floors,West,,Yes,,1 Covered,,Yes,None,2 Months,Charges not included,None,10+ Year Old
50, 6000,1,1,Not given,1,"Deposit₹ 15,000/-",Carpet area: 587 (54.53 sq.m.)  sq.ft.,Semifurnished,Family Only," in Ganaraj Asmita, Bhekrai Nagar, , Pune, Maharashtra",3rd   of 5 Floors,East,,,,,,,12 Months,0 Months,Charges not included,None,5 to 10 Year Old
51,,,,Not given,0,,None,,None,,,,,,,,,,,,,,
52," 20,000",2,2,"Pooja Room,Study Room",1,"Deposit₹ 60,000/-",Super Built up area 1050(97.55 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.)  sq.ft.,Unfurnished,All," in shreeram empire, dhanori road, , Pune, Maharashtra",1st   of 7 Floors,,,Yes,,1 Covered,,Yes,1 Months,1 Months,Charges not included,None,5 to 10 Year Old
53," 19,000",2,2,Not given,1,"Deposit₹ 100,000/-",Carpet area: 1112 (103.31 sq.m.)  sq.ft.,Unfurnished,All," in Splendor Megapolis, Hinjewadi, , Pune, Maharashtra",12nd   of 14 Floors,South-East,Ceramic,,,1 Covered,,,11 Months,2 Months,Charges not included,None,1 to 5 Year Old
54, 7500,1,1,Not given,1,"Maintenance₹ 200/- (/ month)Deposit₹ 10,000/-",Super Built up area 350(32.52 sq.m.)Built Up area: 340 sq.ft. (31.59 sq.m.)Carpet area: 330 sq.ft. (30.66 sq.m.)  sq.ft.,Unfurnished,All," in Shree Datta Krupa, Vadgaon Sheri, , Pune, Maharashtra",2nd   of 3 Floors,West,Marble,,,1 Covered,,Yes,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
55," 13,000",2,1,Not given,1,"Deposit₹ 40,000/-",Plot area 1600(148.64 sq.m.)Built Up area: 1166 sq.ft. (108.32 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in On Request, Balaji Nagar, , Pune, Maharashtra",,East,Vitrified,Yes,Yes,"0 Covered, 5 Open",,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
56, 9500,1,1,Not given,1,"Maintenance₹ 1,300/- (/ month)Deposit₹ 20,000/-",Super Built up area 725(67.35 sq.m.)Built Up area: 675 sq.ft. (62.71 sq.m.)Carpet area: 520 sq.ft. (48.31 sq.m.)  sq.ft.,Unfurnished,Family Only," in Shree Nagari, Munjaba Vasti, , Pune, Maharashtra",5th   of 5 Floors,East,Marble,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
57," 15,000",2,2,Not given,1,,Super Built up area 850(78.97 sq.m.)  sq.ft.,Furnished,Family Only," in om prangan co operative housing society, Ambegaon Budruk, , Pune, Maharashtra",1st   of 12 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
58, 8000,1,1,Not given,1,Deposit2 months rent,Built Up area: 550 (51.1 sq.m.)  sq.ft.,Furnished,All," in Pearl Heights, Keshav Nagar, , Pune, Maharashtra",2nd   of 5 Floors,West,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
59," 15,000",2,2,Not given,1,Maintenance₹ 700/- (/ month),Carpet area: 800 (74.32 sq.m.)  sq.ft.,Semifurnished,All," in N.B. Arcade Akurdi, Akurdi, , Pune, Maharashtra",4th   of 4 Floors,East,Vitrified,,,"1 Covered,  Open",,,24 Months,1 Months,Charges included,None,5 to 10 Year Old
60," 18,000",1,1,Not given,3,"Deposit₹ 40,000/-",Built Up area: 790 (73.39 sq.m.)Carpet area: 710 sq.ft. (65.96 sq.m.)  sq.ft.,Unfurnished,All," in Shastri Nagar, , Pune, Maharashtra",,South-East,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
61, 6000,1,1,Not given,,"Deposit₹ 20,000/-",Built Up area: 400 (37.16 sq.m.)  sq.ft.,Unfurnished,Family Only," in Talwade, , Pune, Maharashtra",2nd   of 4 Floors,,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
62," 11,000",1,1,Not given,1,"Deposit₹ 25,000/-",Carpet area: 500 (46.45 sq.m.)  sq.ft.,Semifurnished,Family Only," in Choice Goodwill Sundaram, Gokul Nagar, , Pune, Maharashtra",4th   of 4 Floors,East,Vitrified,Yes,," Covered,  Open",,,11 Months,1 Months,Charges included,None,10+ Year Old
63," 35,000",2,2,Not given,1,Deposit3 months rent,Carpet area: 859 (79.8 sq.m.)  sq.ft.,Furnished,Family Only," in Rohan Madhuban 2, Paud Road, , Pune, Maharashtra",8th   of 13 Floors,,Vitrified,,,1 Covered,Yes,Yes,24 Months,1 Months,Charges included,Partial,0 to 1 Year Old
64, 8000,1,1,Not given,1,,Carpet area: 620 (57.6 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Sanraj Shangrilla, Handewadi, , Pune, Maharashtra",4th   of 5 Floors,,,Yes,," Covered, 1 Open",,,None,0 Months,Charges included,None,5 to 10 Year Old
65," 15,000",2,2,Not given,1,"Maintenance₹ 1/- (/ month)Deposit₹ 40,000/-",Built Up area: 930 (86.4 sq.m.)  sq.ft.,Semifurnished,All," in Kumar Pebble Park, Hadapsar, , Pune, Maharashtra",15th   of 15 Floors,East,Vitrified,Yes,,1 Covered,Yes,Yes,None,0 Months,Charges not included,Full,0 to 1 Year Old
66," 14,000",2,2,Not given,2,"Deposit₹ 40,000/-",Carpet area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,All," in Bhoomi Blessings, Tapkir Nagar, , Pune, Maharashtra",3rd   of 7 Floors,East,,Yes,,1 Open,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
67," 12,000",2,1,Not given,1,"Maintenance₹ 880/- (/ month)Deposit₹ 40,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Unfurnished,All," in Popular Colony, Warje Malwadi, , Pune, Maharashtra",3rd   of 5 Floors,,,,,2 Open,,,None,0 Months,Charges not included,None,5 to 10 Year Old
68," 10,000",1,1,Not given,,"Maintenance₹ 660/- (/ month)Deposit₹ 20,000/-",Carpet area: 495 (45.99 sq.m.)  sq.ft.,Semifurnished,All," in indraprasth nagar co-op housing society, gadital hadapser pune, , Pune, Maharashtra",Ground of 2 Floors,,Vitrified,,," Covered, 1 Open",,,11 Months,1 Months,Charges not included,None,10+ Year Old
69, 9500,1,1,Others,1,"Maintenance₹ 300/- (/ month)Deposit₹ 23,000/-",Super Built up area 570(52.95 sq.m.)  sq.ft.,Unfurnished,Family Only," in Bhansali Akshay Chandan, Sai Colony, , Pune, Maharashtra",2nd   of 2 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,0 to 1 Year Old
70," 21,000",2,2,Not given,3,"Maintenance₹ 750/- (/ month)Deposit₹ 60,000/-",Super Built up area 1000(92.9 sq.m.)  sq.ft.,Furnished,All," in Namrata Apartment, Pragati Nagar, , Pune, Maharashtra",1st   of 5 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,10+ Year Old
71," 18,000",2,2,Not given,2,"Deposit₹ 50,000/-",Carpet area: 1050 (97.55 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Vasant Utsav, Hinjewadi, , Pune, Maharashtra",3rd   of 4 Floors,East,Marble,,,1 Covered,,,12 Months,1 Months,Charges not included,None,5 to 10 Year Old
72, 6000,1,,Not given,1,,Super Built up area 450(41.81 sq.m.)  sq.ft.,Unfurnished,All," in pathare thube nagar, Kharadi, , Pune, Maharashtra",3rd   of 3 Floors,,,,,1 Open,,,None,0 Months,Charges included,None,1 to 5 Year Old
73," 18,000",2,2,Others,2,"Deposit₹ 75,000/-",Super Built up area 1308(121.52 sq.m.)  sq.ft.,Unfurnished,Family Only," in Pinnacle Cottage Close, Wadgaon Budruk, , Pune, Maharashtra",2nd   of 7 Floors,South-West,,Yes,,"0 Covered, 1 Open",,,None,0 Months,Charges included,Full,1 to 5 Year Old
74, 9000,1,1,Not given,1,"Deposit₹ 17,000/-",Built Up area: 72.2 (60.37 sq.m.)Carpet area: 61.1 sq.yards (51.09 sq.m.)  sq.yards,Unfurnished,All," in Pimpri Chinchwad, , Pune, Maharashtra",2nd   of 3 Floors,,,,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
75, 8000,1,1,"Pooja Room,Study Room,Others",,"Deposit₹ 20,000/-",Plot area 1000(92.9 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.)  sq.ft.,Unfurnished,All," in Yashraj Green Castle Hsg Soc, Kalepadal, , Pune, Maharashtra",,North-West,Ceramic,,,"1 Covered, 1 Open",,,None,1 Months,Charges not included,None,1 to 5 Year Old
76," 14,000",2,1,Not given,,"Deposit₹ 35,000/-",Plot area 800(74.32 sq.m.)  sq.ft.,Semifurnished,All," in Sasane Nagar, , Pune, Maharashtra",,East,Ceramic,,Yes,,,Yes,11 Months,1 Months,Charges not included,None,10+ Year Old
77,,,,Not given,0,,None,,None,,,,,,,,,,,,,,
78," 12,000",1,1,Not given,1,,Carpet area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,All," in Somnath Nagar, , Pune, Maharashtra",,North-West,,,,,,,None,0 Months,Charges not included,None,0 to 1 Year Old
79," 15,000",1,1,Not given,1,"Deposit₹ 40,000/-",Carpet area: 650 (60.39 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kunal Puram Housing Society, Phugewadi, , Pune, Maharashtra",6th   of 6 Floors,East,,Yes,,,,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
80, 9500,1,1,Not given,1,"Deposit₹ 25,000/-",Super Built up area 525(48.77 sq.m.)  sq.ft.,Unfurnished,All," in Border Roads Housing Society, Dhanori, , Pune, Maharashtra",3rd   of 4 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
81," 12,800",2,2,Not given,2,"Deposit₹ 30,000/-",Super Built up area 1010(93.83 sq.m.)  sq.ft.,Semifurnished,All," in Ram India Sampanna Homes, Manjri, , Pune, Maharashtra",6th   of 7 Floors,West,,,,1 Covered,,,11 Months,2 Months,Charges included,None,5 to 10 Year Old
82," 12,100",1,1,Not given,1,,Carpet area: 575 (53.42 sq.m.)  sq.ft.,Unfurnished,Family Only," in Somnath Nagar, , Pune, Maharashtra",,West,,,,,,,None,0 Months,Charges not included,None,0 to 1 Year Old
83," 30,000",2,2,Others,,"Deposit₹ 60,000/-",Built Up area: 925 (85.94 sq.m.)  sq.ft.,Furnished,Bachelors (Women Only)," in Siddharth Apartment, Bhusari Colony, , Pune, Maharashtra",3rd   of 4 Floors,West,,,Yes,1 Covered,,,12 Months,1 Months,Charges not included,None,10+ Year Old
84," 13,500",2,1,Not given,1,"Deposit₹ 30,000/-",Super Built up area 850(78.97 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.)  sq.ft.,Furnished,Bachelors (Men/Women)," in Ganesh Plaza, Dhankawadi, , Pune, Maharashtra",3rd   of 4 Floors,South,Ceramic,Yes,,,,,11 Months,1 Months,Charges not included,None,10+ Year Old
