rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"11,100",2,2,Others,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 111,000/- (Non-Negotiable)Deposit₹ 25,000/-",Super Built up area 1040(96.62 sq.m.)Built Up area: 920 sq.ft. (85.47 sq.m.)Carpet area: 840 sq.ft. (78.04 sq.m.)  sq.ft.,Unfurnished,All," in Micasaa Apartments, Wagholi, , Pune, Maharashtra",7th   of 12 Floors,East,Vitrified,,,1 Open,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"20,000",2,2,Store Room,2,"Brokerage₹ 20,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 1050(97.55 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 805 sq.ft. (74.79 sq.m.)  sq.ft.,Semifurnished,All," in on request, Kharadi, , Pune, Maharashtra",7th   of 10 Floors,North,Marble,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
"33,000",3,3,Not given,2,"Maintenance₹ 1,500/- (/ month)Deposit₹ 180,000/-",Carpet area: 1492 (138.61 sq.m.)  sq.ft.,Unfurnished,Family Only," in Vishnu Celebria, Rahatani, , Pune, Maharashtra",1st   of 4 Floors,South-West,,,,2 Covered,,,12 Months,1 Months,Charges not included,None,0 to 1 Year Old
"22,000",1,2,Others,1,Deposit3 months rent,Super Built up area 695(64.57 sq.m.)  sq.ft.,Furnished,Family Only," in Akshar Altorios, Hadapsar, , Pune, Maharashtra",9th   of 12 Floors,East,Vitrified,Yes,,1 Open,,,None,1 Months,Charges not included,Full,1 to 5 Year Old
"13,000",2,2,Not given,1,"Deposit₹ 72,000/-",Built Up area: 1000 (92.9 sq.m.)Carpet area: 836 sq.ft. (77.67 sq.m.)  sq.ft.,Unfurnished,All," in Anita Residency, Katraj Kondhwa Road, , Pune, Maharashtra",8th   of 12 Floors,North-East,,Yes,Yes,,,,12 Months,2 Months,Charges not included,None,10+ Year Old
"22,000",2,2,Study Room,1,Brokerage2% (Negotiable)Deposit3 months rent,Super Built up area 1200(111.48 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.)  sq.ft.,Semifurnished,Family Only," in Ganga Arcadia, Thite Nagar, , Pune, Maharashtra",5th   of 8 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"21,000",3,2,Not given,2,"Maintenance₹ 5,500/- (/ month)Deposit₹ 60,000/-",Built Up area: 1305 (121.24 sq.m.)Carpet area: 1044 sq.ft. (96.99 sq.m.)  sq.ft.,Semifurnished,All," in Megapolis Sangria Towers, Hinjewadi, , Pune, Maharashtra",16th   of 22 Floors,East,Wood,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"23,000",2,2,Study Room,1,Brokerage2% (Negotiable)Deposit3 months rent,Super Built up area 1275(118.45 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kolte Patil Downtown Langston, Ashoka Nagar, , Pune, Maharashtra",9th   of 12 Floors,East,Vitrified,Yes,Yes,,Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"12,500",1,1,Not given,1,"Brokerage₹ 12,500/- (Non-Negotiable)Deposit₹ 25,000/-",Carpet area: 425 (39.48 sq.m.)  sq.ft.,Semifurnished,Family Only," in GK laxdweep palace, Kunal Icon road, pimple saudagar, , Pune, Maharashtra",5th   of 7 Floors,West,Vitrified,Yes,," Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"16,000",2,2,Not given,2,"Brokerage₹ 16,000/- (Negotiable)Deposit₹ 40,000/-",Super Built up area 1100(102.19 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.)  sq.ft.,Semifurnished,All," in Bhoir Estate, Dange Chowk, , Pune, Maharashtra",2nd   of 6 Floors,North-East,Vitrified,Yes,,"1 Covered,  Open",Yes,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"17,500",1,1,Not given,3,"Deposit₹ 40,000/-",Super Built up area 650(60.39 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Kalpanamati Housing Society, Aundh Gaon, , Pune, Maharashtra",Ground of 3 Floors,North-East,Vitrified,,," Covered, 1 Open",,,11 Months,1 Months,Charges not included,None,10+ Year Old
"21,000",2,2,Not given,2,"Deposit₹ 50,000/-",Carpet area: 900 (83.61 sq.m.)  sq.ft.,Semifurnished,All," in Mittal Sun Sapphire, Hadapsar, , Pune, Maharashtra",6th   of 13 Floors,West,Ceramic,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
8500,2,2,Not given,2,"Maintenance₹ 1,950/- (/ month)Deposit₹ 50,000/-",Super Built up area 891(82.78 sq.m.)Carpet area: 670 sq.ft. (62.25 sq.m.)  sq.ft.,Unfurnished,Family Only," in Shree Venkatesh Serenity, Dhayari, , Pune, Maharashtra",3rd   of 7 Floors,East,Vitrified,Yes,,1 Covered,,,22 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"20,000",2,2,Not given,,"Deposit₹ 60,000/-",Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Unfurnished,All," in Siddhesh Optimus, Viman Nagar, , Pune, Maharashtra",6th   of 8 Floors,East,Ceramic,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"16,000",2,2,Store Room,2,"Brokerage₹ 16,000/- (Negotiable)Deposit₹ 50,000/-",Super Built up area 1235(114.74 sq.m.)Carpet area: 980 sq.ft. (91.04 sq.m.)  sq.ft.,Unfurnished,All," in Om The Island, Wakad, , Pune, Maharashtra",7th   of 12 Floors,East,Vitrified,Yes,,1 Covered,,Yes,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"16,000",2,1,Not given,1,"Deposit₹ 50,000/-",Carpet area: 825 (76.65 sq.m.)  sq.ft.,Semifurnished,Family Only," in Planet Millennium CHS, Pimple Saudagar, , Pune, Maharashtra",1st   of 6 Floors,East,Ceramic,Yes,Yes,,,,24 Months,1 Months,Charges not included,Partial,10+ Year Old
"30,000",3,3,Not given,3,"Brokerage₹ 25,000/- (Non-Negotiable)Deposit₹ 75,000/-",Super Built up area 1566(145.49 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.)  sq.ft.,Furnished,Family Only," in Nyati Enclave, Mohamadwadi, , Pune, Maharashtra",7th   of 8 Floors,North,Marble,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,10+ Year Old
"27,000",3,3,Not given,3,Deposit1 months rent,Built Up area: 1390 (129.14 sq.m.)  sq.ft.,Semifurnished,All," in Kohinoor Tinsel Town Phase 2, Hinjewadi, , Pune, Maharashtra",17th   of 21 Floors,,Ceramic,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
"27,000",2,2,Not given,1,"Brokerage₹ 27,000/- (Negotiable)Deposit₹ 70,000/-",Carpet area: 950 (88.26 sq.m.)  sq.ft.,Furnished,All," in Sukhwani Park, Koregaon Park, , Pune, Maharashtra",4th   of 5 Floors,North,Vitrified,Yes,,1 Open,,Yes,12 Months,1 Months,Charges included,None,10+ Year Old
"12,500",2,3,Others,,"Maintenance₹ 1/- (/ month)Brokerage₹ 12,500/- (Non-Negotiable)Deposit₹ 35,000/-",Super Built up area 900(83.61 sq.m.)  sq.ft.,Unfurnished,All," in Amba Vatika, NIBM, , Pune, Maharashtra",1st   of 5 Floors,,Vitrified,Yes,,"0 Covered, 1 Open",Yes,Yes,12 Months,1 Months,Charges not included,Full,10+ Year Old
"24,000",2,2,Not given,1,"Brokerage₹ 24,000/- (Negotiable)Deposit₹ 50,000/-",Built Up area: 1200 (111.48 sq.m.)Carpet area: 890 sq.ft. (82.68 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in La Salette Apartments, Magarpatta, , Pune, Maharashtra",6th   of 6 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
"12,500",2,2,Store Room,2,"Brokerage₹ 12,500/- (Non-Negotiable)Deposit3 months rent",Super Built up area 1138(105.72 sq.m.)Built Up area: 1001 sq.ft. (93 sq.m.)Carpet area: 901 sq.ft. (83.71 sq.m.)  sq.ft.,Unfurnished,Family Only," in Belvalkar Solacia, Wagholi, , Pune, Maharashtra",2nd   of 6 Floors,North,Vitrified,Yes,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"17,600",2,2,Others,2,"Maintenance₹ 1/- (/ month)Brokerage₹ 17,600/- (Non-Negotiable)Deposit₹ 80,000/-",Super Built up area 1150(106.84 sq.m.)  sq.ft.,Semifurnished,Family Only," in Marvel Isola, NIBM, , Pune, Maharashtra",6th   of 23 Floors,East,Marble,Yes,,1 Covered,Yes,Yes,12 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"21,000",3,3,Not given,2,"Maintenance₹ 1/- (/ month)Brokerage₹ 25,000/- (Negotiable)Deposit3 months rent",Super Built up area 1350(125.42 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 1010 sq.ft. (93.83 sq.m.)  sq.ft.,Unfurnished,All," in Goel Ganga Constella, Eon Free Zone , , Pune, Maharashtra",4th   of 9 Floors,North,Vitrified,Yes,,2 Covered,,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
"11,000",2,2,"Pooja Room,Study Room,Servant Room",3,"Brokerage₹ 11,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 950(88.26 sq.m.)Built Up area: 919 sq.ft. (85.38 sq.m.)Carpet area: 735 sq.ft. (68.28 sq.m.)  sq.ft.,Unfurnished,All," in Majestique City, Wagholi, , Pune, Maharashtra",6th   of 14 Floors,North,Vitrified,Yes,,1 Open,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
"25,000",2,2,Study Room,1,Brokerage2% (Non-Negotiable)Deposit3 months rent,Super Built up area 1149(106.75 sq.m.)Carpet area: 802 sq.ft. (74.51 sq.m.)  sq.ft.,Semifurnished,Family Only," in Galaxy one, Kharadi, , Pune, Maharashtra",11st   of 17 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"30,000",2,2,Others,1,"Maintenance₹ 3,000/- (/ month)Brokerage₹ 30,000/- (Negotiable)Deposit₹ 100,000/-",Super Built up area 1255(116.59 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)  sq.ft.,Furnished,All," in Amanora Park Town, Hadapsar, , Pune, Maharashtra",8th   of 19 Floors,East,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
 1.2 Lac,4,6,Servant Room,3,"Brokerage₹ 120,000/- (Negotiable)Deposit5 months rent",Super Built up area 4600(427.35 sq.m.)  sq.ft.,Semifurnished,Family Only," in Panchshil One North, Hadapsar, , Pune, Maharashtra",2nd   of 20 Floors,East,Marble,Yes,,2 Covered,Yes,Yes,12 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"65,000",3,4,Servant Room,1,"Brokerage₹ 65,000/- (Negotiable)Deposit3 months rent",Super Built up area 1850(171.87 sq.m.)  sq.ft.,Furnished,Family Only," in Lunkad Sky Vie, Viman Nagar, , Pune, Maharashtra",5th   of 9 Floors,East,Marble,Yes,,1 Covered,Yes,Yes,12 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"50,000",4,4,Servant Room,3,"Brokerage₹ 50,000/- (Negotiable)Deposit4 months rent",Carpet area: 2150 (199.74 sq.m.)  sq.ft.,Semifurnished,All," in Goel Ganga Carnation, Koregaon Park Annexe, , Pune, Maharashtra",7th   of 13 Floors,East,Marble,Yes,,2 Covered,Yes,Yes,12 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"70,000",4,4,"Pooja Room,Servant Room",3+,"Brokerage₹ 70,000/- (Non-Negotiable)Deposit4 months rent",Carpet area: 2250 (209.03 sq.m.)  sq.ft.,Furnished,All," in Sham Sharan, Koregaon Park, , Pune, Maharashtra",Ground of 12 Floors,East,Marble,,,2 Covered,Yes,Yes,12 Months,1 Months,Charges not included,Full,10+ Year Old
"45,000",3,3,Servant Room,2,"Brokerage₹ 45,000/- (Negotiable)Deposit3 months rent",Carpet area: 1475 (137.03 sq.m.)  sq.ft.,Semifurnished,All," in Sapra Power Boulevard, Pingale Wasti, , Pune, Maharashtra",6th   of 11 Floors,East,Marble,Yes,,1 Covered,Yes,Yes,12 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"80,000",3,3,Servant Room,3,"Brokerage₹ 80,000/- (Negotiable)Deposit5 months rent",Super Built up area 2600(241.55 sq.m.)Carpet area: 1875 sq.ft. (174.19 sq.m.)  sq.ft.,Furnished,Family Only," in Oxford Hallmark, Koregaon Park, , Pune, Maharashtra",1st   of 12 Floors,East,Marble,Yes,,1 Covered,Yes,Yes,12 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"50,000",3,3,Pooja Room,1,"Brokerage₹ 50,000/- (Negotiable)Deposit₹ 200,000/-",Super Built up area 1800(167.23 sq.m.)Carpet area: 1375 sq.ft. (127.74 sq.m.)  sq.ft.,Furnished,All," in Kumar Presidency, Meera Nagar, , Pune, Maharashtra",6th   of 8 Floors,East,Marble,Yes,,1 Covered,Yes,Yes,12 Months,1 Months,Charges not included,Full,10+ Year Old
"45,000",2,2,Store Room,3,"Brokerage₹ 45,000/- (Negotiable)Deposit3 months rent",Super Built up area 1500(139.35 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.)  sq.ft.,Furnished,All," in Princeton Flair Co Operative Housing Society, Koregaon Park, , Pune, Maharashtra",2nd   of 5 Floors,East,Marble,Yes,,1 Covered,Yes,Yes,12 Months,1 Months,Charges not included,Full,10+ Year Old
"14,000",1,1,Not given,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 14,000/- (Negotiable)Deposit₹ 50,000/-",Super Built up area 695(64.57 sq.m.)Built Up area: 595 sq.ft. (55.28 sq.m.)Carpet area: 495 sq.ft. (45.99 sq.m.)  sq.ft.,Furnished,All," in Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",17th   of 24 Floors,West,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"45,000",3,4,"Study Room,Others,Servant Room",3+,"Brokerage₹ 45,000/- (Negotiable)Deposit₹ 150,000/-",Carpet area: 1550 (144 sq.m.)  sq.ft.,Unfurnished,All," in Bramhacorp F Residences, Kalyani Nagar, , Pune, Maharashtra",13rd   of 22 Floors,South-East,Others,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"45,000",3,3,Study Room,2,Brokerage2% (Negotiable)Deposit3 months rent,Super Built up area 2835(263.38 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.)  sq.ft.,Semifurnished,Family Only," in Marvel Zephyr, Kharadi, , Pune, Maharashtra",7th   of 14 Floors,East,Vitrified,Yes,Yes,2 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"22,000",2,2,Study Room,1,Brokerage2% (Negotiable)Deposit3 months rent,Super Built up area 1150(106.84 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.)  sq.ft.,Semifurnished,Family Only," in Darode Jog Shriniwas Q Homes, Kharadi, , Pune, Maharashtra",10th   of 12 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"18,000",2,2,Not given,2,"Brokerage₹ 16,000/- (Non-Negotiable)",Carpet area: 600 (55.74 sq.m.)  sq.ft.,Semifurnished,All," in Krystal City, Chikhali, , Pune, Maharashtra",4th   of 5 Floors,East,Ceramic,Yes,Yes,1 Covered,,Yes,None,0 Months,Charges not included,Full,0 to 1 Year Old
"13,000",2,2,Not given,2,,Carpet area: 789 (73.3 sq.m.)  sq.ft.,Unfurnished,All," in colous green, Chikhali, , Pune, Maharashtra",6th   of 9 Floors,East,,Yes,Yes,,,Yes,None,1 Months,Charges not included,None,1 to 5 Year Old
"14,000",2,2,Pooja Room,2,"Brokerage₹ 14,000/- (Negotiable)",Carpet area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,All," in Krystal City, Chikhali, , Pune, Maharashtra",6th   of 12 Floors,East,,Yes,Yes,,,Yes,None,0 Months,Charges not included,Full,0 to 1 Year Old
"70,000",3,3,Servant Room,1,"Brokerage₹ 70,000/- (Negotiable)Deposit₹ 210,000/-",Carpet area: 1750 (162.58 sq.m.)  sq.ft.,Unfurnished,Family Only," in Panchshil Towers, Kharadi, , Pune, Maharashtra",9th   of 32 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
 2 Lac,4,4,Servant Room,1,"Brokerage₹ 200,000/- (Negotiable)Deposit₹ 600,000/-",Carpet area: 2750 (255.48 sq.m.)  sq.ft.,Furnished,Family Only," in Panchshil One North, Hadapsar, , Pune, Maharashtra",11st   of 20 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
 1.5 Lac,4,4,Servant Room,1,"Brokerage₹ 150,000/- (Negotiable)Deposit₹ 450,000/-",Carpet area: 2350 (218.32 sq.m.)  sq.ft.,Furnished,Family Only," in Panchshil Eon Waterfront, Eon Free Zone , , Pune, Maharashtra",11st   of 20 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,None,Under Construction
"10,000",1,1,Not given,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 10,000/- (Negotiable)Deposit₹ 40,000/-",Super Built up area 635(58.99 sq.m.)Built Up area: 535 sq.ft. (49.7 sq.m.)Carpet area: 435 sq.ft. (40.41 sq.m.)  sq.ft.,Unfurnished,All," in Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",4th   of 24 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"11,000",1,1,Not given,1,"Brokerage₹ 11,000/- (Negotiable)Deposit₹ 33,000/-",Built Up area: 500 (46.45 sq.m.)  sq.ft.,Semifurnished,All," in Geras Adara, Hinjewadi, , Pune, Maharashtra",2nd   of 23 Floors,West,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges included,Full,Under Construction
8600,3,2,"Pooja Room,Study Room,Servant Room,Store Room",2,"Brokerage₹ 2/- (Non-Negotiable)Deposit₹ 20,000/-",Super Built up area 801(74.42 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 571 sq.ft. (53.05 sq.m.)  sq.ft.,Unfurnished,All," in Xrbia City, Hinjewadi, , Pune, Maharashtra",Lower Ground of 8 Floors,East,Marble,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"16,000",1,1,Not given,,"Brokerage₹ 16,000/- (Non-Negotiable)Deposit₹ 50,000/-",Carpet area: 480 (44.59 sq.m.)  sq.ft.,Furnished,Family Only," in Rakshak Nagar Gold, Kharadi, , Pune, Maharashtra",9th   of 12 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,5 to 10 Year Old
"15,500",2,2,Not given,,"Brokerage₹ 15,500/- (Non-Negotiable)Deposit₹ 50,000/-",Carpet area: 840 (78.04 sq.m.)  sq.ft.,Unfurnished,Family Only," in Nyati Elan, Wagholi, , Pune, Maharashtra",10th   of 12 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"18,500",2,2,Not given,,"Brokerage₹ 18,500/- (Non-Negotiable)Deposit₹ 60,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Unfurnished,Family Only," in Giridhar Oasis, Thite Nagar, , Pune, Maharashtra",5th   of 12 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"29,000",3,3,Not given,,"Brokerage₹ 29,000/- (Non-Negotiable)Deposit₹ 90,000/-",Carpet area: 1300 (120.77 sq.m.)  sq.ft.,Semifurnished,Family Only," in Marvel Azure, Magarpatta, , Pune, Maharashtra",8th   of 13 Floors,North-East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"17,000",2,2,Not given,,"Brokerage₹ 17,000/- (Non-Negotiable)Deposit₹ 54,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Unfurnished,Family Only," in Suyog Nisarg, Wagholi, , Pune, Maharashtra",7th   of 11 Floors,North-East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"14,000",2,2,Not given,,"Brokerage₹ 14,000/- (Non-Negotiable)Deposit₹ 45,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kolte Patil Umang Premiere, Wagholi, , Pune, Maharashtra",11st   of 13 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"13,500",2,2,Not given,,"Brokerage₹ 13,500/- (Non-Negotiable)Deposit₹ 45,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kolte Patil Umang Pride, Wagholi, , Pune, Maharashtra",10th   of 12 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"22,000",2,2,Not given,,"Brokerage₹ 22,000/- (Non-Negotiable)Deposit₹ 60,000/-",Carpet area: 860 (79.9 sq.m.)  sq.ft.,Unfurnished,Family Only," in BG Tatva, Kharadi, , Pune, Maharashtra",10th   of 12 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"23,000",2,2,Not given,,"Brokerage₹ 23,000/- (Non-Negotiable)Deposit₹ 60,000/-",Carpet area: 1159 (107.67 sq.m.)  sq.ft.,Semifurnished,Family Only," in Mount n glory, Kharadi, , Pune, Maharashtra",9th   of 11 Floors,North-East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"29,000",3,3,Not given,,"Brokerage₹ 29,000/- (Non-Negotiable)Deposit₹ 100,000/-",Carpet area: 1162 (107.95 sq.m.)  sq.ft.,Unfurnished,Family Only," in La Salette Apartments, Magarpatta, , Pune, Maharashtra",8th   of 9 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"14,000",2,2,Not given,,"Brokerage₹ 14,000/- (Non-Negotiable)Deposit₹ 40,000/-",Carpet area: 780 (72.46 sq.m.)  sq.ft.,Semifurnished,Family Only," in Tara Jewel, Loni, , Pune, Maharashtra",5th   of 6 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"16,000",2,2,Not given,,"Brokerage₹ 16,000/- (Negotiable)Deposit₹ 50,000/-",Carpet area: 820 (76.18 sq.m.)  sq.ft.,Unfurnished,Family Only," in Mittal Sun Sapphire, Hadapsar, , Pune, Maharashtra",11st   of 18 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"21,000",2,2,Not given,,"Brokerage₹ 21,000/- (Non-Negotiable)Deposit₹ 60,000/-",Carpet area: 820 (76.18 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kiarah Terrazo, Hadapsar, , Pune, Maharashtra",17th   of 18 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"16,000",2,2,Not given,,"Brokerage₹ 16,000/- (Non-Negotiable)Deposit₹ 40,000/-",Carpet area: 780 (72.46 sq.m.)  sq.ft.,Semifurnished,Family Only," in Bhandari Greenfield Society, Magarpatta, , Pune, Maharashtra",7th   of 9 Floors,West,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"14,000",2,2,Not given,,"Brokerage₹ 14,000/- (Non-Negotiable)Deposit₹ 40,000/-",Carpet area: 720 (66.89 sq.m.)  sq.ft.,Unfurnished,Family Only," in Venkatesh Classic Pune, Handewadi, , Pune, Maharashtra",9th   of 12 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"54,000",4,4,Not given,,"Brokerage₹ 54,000/- (Non-Negotiable)Deposit₹ 150,000/-",Carpet area: 1622 (150.69 sq.m.)  sq.ft.,Unfurnished,Family Only," in Cosmos, Magarpatta, , Pune, Maharashtra",10th   of 12 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"14,000",2,2,Not given,,"Brokerage₹ 14,000/- (Non-Negotiable)Deposit₹ 40,000/-",Carpet area: 790 (73.39 sq.m.)  sq.ft.,Furnished,Family Only," in Vardhaman Township, Sasane Nagar, , Pune, Maharashtra",9th   of 9 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"16,000",2,3,Not given,,"Brokerage₹ 16,000/- (Non-Negotiable)Deposit₹ 50,000/-",Carpet area: 2000 (185.81 sq.m.)  sq.ft.,Furnished,Family Only," in Nirmal Township, Hadapsar, , Pune, Maharashtra",10th   of 12 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"17,000",2,2,Not given,,"Brokerage₹ 17,000/- (Non-Negotiable)Deposit₹ 56,000/-",Carpet area: 780 (72.46 sq.m.)  sq.ft.,Unfurnished,Family Only," in Suda Suman Society, Hadapsar, , Pune, Maharashtra",11st   of 12 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"12,000",1,1,Not given,,"Brokerage₹ 12,000/- (Non-Negotiable)Deposit₹ 30,000/-",Carpet area: 420 (39.02 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kumar Paradise, Magarpatta, , Pune, Maharashtra",10th   of 12 Floors,East,Ceramic,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
