rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"27,000",3,2,Not given,,"Deposit₹ 125,000/-",Super Built up area 958(89 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Shree Ganesh kalpataru co op hsg society, Gujrat Colony, , Pune, Maharashtra",3rd   of 4 Floors,South,,Yes,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
"15,000",2,1,Not given,,,Super Built up area 650(60.39 sq.m.)  sq.ft.,Furnished,Bachelors (Men Only)," in Chandranil Apartment, Yerwada, , Pune, Maharashtra",2nd   of 3 Floors,North,,,,,,,None,0 Months,Charges included,None,5 to 10 Year Old
"17,000",2,2,Not given,2,,Carpet area: 900 (83.61 sq.m.)  sq.ft.,Unfurnished,All," in Sagar D Wisteria Park, Vadgaon Budruk, , Pune, Maharashtra",11st   of 11 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
"14,000",2,2,Not given,2,"Deposit₹ 40,000/-",Super Built up area 1000(92.9 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 875 sq.ft. (81.29 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kolte Patil Three Jewels, Katraj Kondhwa Road, , Pune, Maharashtra",4th   of 14 Floors,East,Polished concrete,Yes,,1 Open,Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"24,000",2,2,Not given,2,Deposit2 months rent,Carpet area: 1330 (123.56 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Men Only)"," in Sauhard, Nigdi, , Pune, Maharashtra",3rd   of 3 Floors,East,Stone,,,1 Open,,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
"14,800",2,2,Store Room,2,Deposit2 months rent,Carpet area: 1120 (104.05 sq.m.)  sq.ft.,Semifurnished,All," in GOKULNAGAR, , Pune, Maharashtra",2nd   of 3 Floors,East,Ceramic,Yes,,,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
"22,000",2,1,Not given,1,"Deposit₹ 100,000/-",Carpet area: 700 (65.03 sq.m.)  sq.ft.,Semifurnished,Family Only," in Laxman Hsg Soc, Shukravar Peth, , Pune, Maharashtra",4th   of 6 Floors,,Vitrified,Yes,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
"22,000",2,2,Not given,2,"Deposit₹ 50,000/-",Carpet area: 1150 (106.84 sq.m.)  sq.ft.,Unfurnished,All," in Pristine Prolife, Wakad, , Pune, Maharashtra",6th   of 12 Floors,,Vitrified,Yes,Yes,1 Covered,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"10,500",1,1,Not given,1,"Deposit₹ 25,000/-",Super Built up area 600(55.74 sq.m.)Built Up area: 575 sq.ft. (53.42 sq.m.)Carpet area: 425 sq.ft. (39.48 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in KUL Ecoloch, Mhalunge-Hinjewadi, , Pune, Maharashtra",5th   of 7 Floors,East,Vitrified,Yes,," Covered, 1 Open",,,11 Months,1 Months,Charges included,None,5 to 10 Year Old
"12,500",1,1,Not given,,"Deposit₹ 30,000/-",Carpet area: 350 (32.52 sq.m.)  sq.ft.,Unfurnished,All," in Ashwini co-op housing society, Rasta Peth, , Pune, Maharashtra",2nd   of 3 Floors,,,Yes,," Covered,  Open",,,11 Months,2 Months,Charges not included,None,10+ Year Old
"30,000",2,1,Not given,2,"Maintenance₹ 1,500/- (/ month)Deposit₹ 10,000/-",Super Built up area 750(69.68 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.)  sq.ft.,Furnished,All," in Rahoul Terrace, Meera Nagar, , Pune, Maharashtra",2nd   of 3 Floors,North,Vitrified,Yes,,1 Open,,,1 Months,1 Months,Charges not included,Partial,10+ Year Old
"28,000",3,3,Not given,1,Deposit3 months rent,Super Built up area 1560(144.93 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kasturi Apostrophe Next, Wakad, , Pune, Maharashtra",4th   of 10 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges not included,None,Under Construction
"16,000",1,1,Not given,2,"Deposit₹ 40,000/-",Carpet area: 550 (51.1 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Pillar Homes, Viman Nagar, , Pune, Maharashtra",3rd   of 4 Floors,,Mosaic,Yes,,,,,11 Months,1 Months,Charges not included,Full,10+ Year Old
"18,500",2,2,Not given,2,"Deposit₹ 60,000/-",Built Up area: 1350 (125.42 sq.m.)  sq.ft.,Semifurnished,All," in Bijlinagar, , Pune, Maharashtra",,East,Ceramic,Yes,,,,Yes,11 Months,0 Months,Charges not included,Full,10+ Year Old
"12,000",,2,Not given,,,Super Built up area 1200(111.48 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.)  sq.ft.,Semifurnished,All," in Cozy Homes, Wagholi, , Pune, Maharashtra",12nd   of 12 Floors,North-East,Vitrified,Yes,,"1 Covered,  Open",,Yes,12 Months,1 Months,Charges included,Partial,1 to 5 Year Old
"18,000",1,2,Not given,1,,Carpet area: 600 (55.74 sq.m.)  sq.ft.,Furnished,Family Only," in Shiva Sai Vishwa, Pimple Saudagar, , Pune, Maharashtra",5th   of 7 Floors,East,,,Yes,1 Covered,,,11 Months,0 Months,Charges not included,Full,5 to 10 Year Old
"12,000",2,1,Not given,1,"Deposit₹ 25,000/-",Super Built up area 775(72 sq.m.)  sq.ft.,Unfurnished,All," in Palm Atlantis, Wagholi, , Pune, Maharashtra",5th   of 12 Floors,West,,Yes,,"1 Covered, 0 Open",,,None,0 Months,Charges not included,Full,1 to 5 Year Old
9000,1,1,Not given,1,Deposit₹ 2/-,Carpet area: 300 (27.87 sq.m.)  sq.ft.,Furnished,Bachelors (Women Only)," in Seema Apartments, Deccan Gymkhana, , Pune, Maharashtra",2nd   of 3 Floors,,Vitrified,Yes,Yes,1 Open,,,2 Months,2 Months,Charges not included,None,10+ Year Old
