rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"15,000",2,1,Not given,1,Deposit2 months rent,Carpet area: 800 (74.32 sq.m.)  sq.ft.,Semifurnished,All," in Avenue Sankalp Apartment, Dhore Nagar, , Pune, Maharashtra",3rd   of 6 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges included,None,5 to 10 Year Old
"11,500",1,2,Not given,1,"Maintenance₹ 1,300/- (/ month)Deposit₹ 35,000/-",Carpet area: 573 (53.23 sq.m.)  sq.ft.,Unfurnished,Family Only," in Audumber Gajanan Vihar Apartment, Pimpri Chinchwad, , Pune, Maharashtra",5th   of 5 Floors,West,Vitrified,Yes,,"1 Covered,  Open",,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
"15,000",1,1,Not given,,"Deposit₹ 30,000/-",Super Built up area 900(83.61 sq.m.)  sq.ft.,Semifurnished,All," in Vishrant Housing Society, Vishrantwadi, , Pune, Maharashtra",1st   of 6 Floors,West,Mosaic,Yes,,,,,None,0 Months,Charges included,None,10+ Year Old
"10,000",2,2,Not given,2,"Maintenance₹ 700/- (/ month)Deposit₹ 20,000/-",Super Built up area 900(83.61 sq.m.)Built Up area: 890 sq.ft. (82.68 sq.m.)Carpet area: 840 sq.ft. (78.04 sq.m.)  sq.ft.,Unfurnished,Family Only," in Sainik Sadan, Manjri BK, , Pune, Maharashtra",1st   of 2 Floors,North-East,Marble,Yes,,1 Covered,,Yes,12 Months,1 Months,Charges not included,None,1 to 5 Year Old
"10,000",2,2,Others,2,"Maintenance₹ 700/- (/ month)Deposit₹ 20,000/-",Super Built up area 940(87.33 sq.m.)Built Up area: 840 sq.ft. (78.04 sq.m.)Carpet area: 790 sq.ft. (73.39 sq.m.)  sq.ft.,Unfurnished,All," in Sainik Sadan, Manjari Budruk, , Pune, Maharashtra",1st   of 2 Floors,North-East,Marble,Yes,,"1 Covered, 1 Open",,Yes,12 Months,1 Months,Charges not included,None,1 to 5 Year Old
9500,1,1,Not given,1,"Deposit₹ 15,000/-",Carpet area: 400 (37.16 sq.m.)  sq.ft.,Semifurnished,All," in Wadgaon Sheri, , Pune, Maharashtra",1st   of 3 Floors,North,Vitrified,,,,,,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
7000,1,1,Not given,2,"Deposit₹ 20,000/-",Carpet area: 545 (50.63 sq.m.)  sq.ft.,Unfurnished,Family Only," in Tanish Shristi Alandi, Alandi, , Pune, Maharashtra",7th   of 7 Floors,,Spartex,,,,,,11 Months,2 Months,Charges not included,None,5 to 10 Year Old
"10,500",,,Not given,0,"Maintenance₹ 2,700/- (/ month)Deposit₹ 40,000/-",Plot area 1000(92.9 sq.m.)  sq.ft.,Unfurnished,Family Only," in VIJAYNAGAR SAHAKARI GRIHRACHANA SANSTHA LTD, IN FRONT OF DHAYARESWAR MANDIR, DHAYARI,PUNE 411041, , Pune, Maharashtra",3rd   of 4 Floors,,Ceramic,Yes,,,,,11 Months,1 Months,Charges not included,Full,10+ Year Old
7000,2,1,Not given,,"Deposit₹ 15,000/-",Plot area 500(46.45 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in akashwani hadapsar, India, , Pune, Maharashtra",,North,Granite,Yes,Yes,,,,12 Months,3 Months,Charges not included,None,1 to 5 Year Old
"15,000",2,2,Not given,2,"Deposit₹ 40,000/-",Super Built up area 1050(97.55 sq.m.)Built Up area: 980 sq.ft. (91.04 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.)  sq.ft.,Semifurnished,Family Only," in Satyam Shivam Sundaram Society, Manjri, , Pune, Maharashtra",3rd   of 8 Floors,,,Yes,,1 Open,,,11 Months,1 Months,Charges included,Full,5 to 10 Year Old
"22,000",2,2,Not given,,"Deposit₹ 40,000/-",Super Built up area 850(78.97 sq.m.)  sq.ft.,Furnished,All," in Sarvodya Residency, Vishal Nagar, , Pune, Maharashtra",3rd   of 5 Floors,,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
"20,000",2,2,Not given,1,"Deposit₹ 60,000/-",Built Up area: 900 (83.61 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in Saudamini CHS, Bhusari Colony, , Pune, Maharashtra",1st   of 3 Floors,,,,,1 Covered,,,11 Months,1 Months,Charges not included,None,10+ Year Old
"19,000",2,2,Others,2,Deposit2 months rent,Super Built up area 1500(139.35 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.)  sq.ft.,Unfurnished,All," in SG Vishal Shrushti Residency, Kharadi, , Pune, Maharashtra",1st   of 5 Floors,East,Polished concrete,Yes,,"2 Covered,  Open",,,36 Months,0 Months,Charges not included,Full,1 to 5 Year Old
"10,000",1,1,Not given,1,"Deposit₹ 30,000/-",Built Up area: 550 (51.1 sq.m.)  sq.ft.,Unfurnished,All," in Katraj, , Pune, Maharashtra",3rd   of 4 Floors,,,,,,,,None,0 Months,Charges not included,None,0 to 1 Year Old
7000,1,1,Not given,1,Deposit2 months rent,Super Built up area 540(50.17 sq.m.)  sq.ft.,Semifurnished,All," in Prosperity Om Shanti Residency, Narhe, , Pune, Maharashtra",5th   of 5 Floors,South-West,,,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"20,000",2,2,Not given,1,"Deposit₹ 60,000/-",Super Built up area 945(87.79 sq.m.)Built Up area: 875 sq.ft. (81.29 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.)  sq.ft.,Semifurnished,All," in Aum Sanskruti Casa Imperia, Wakadkar Wasti, , Pune, Maharashtra",1st   of 11 Floors,South,,Yes,,2 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
9000,1,1,Not given,1,"Deposit₹ 15,000/-",Built Up area: 350 (32.52 sq.m.)  sq.ft.,Unfurnished,All," in Bavdhan, , Pune, Maharashtra",1st   of 4 Floors,West,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
"20,000",2,2,Not given,1,"Maintenance₹ 2,500/- (/ month)Deposit₹ 100,000/-",Carpet area: 1150 (106.84 sq.m.)  sq.ft.,Semifurnished,All," in Anmol Residency, Wakad, , Pune, Maharashtra",2nd   of 5 Floors,East,,Yes,Yes,1 Covered,Yes,Yes,None,1 Months,Charges not included,None,5 to 10 Year Old
