rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
 1.75 Lac,4,4,"Servant Room,Others",2,,Super Built up area 2850(264.77 sq.m.)Built Up area: 2700 sq.ft. (250.84 sq.m.)Carpet area: 2600 sq.ft. (241.55 sq.m.)  sq.ft.,Semifurnished,All," in Panchshil Waterfront, Kalyani Nagar, , Pune, Maharashtra",2nd   of 12 Floors,East,Vitrified,Yes,,"2 Covered, 2 Open",,,None,0 Months,Charges included,Full,5 to 10 Year Old
"23,000",2,2,Not given,2,,Super Built up area 1100(102.19 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.)  sq.ft.,Semifurnished,All," in Popular Heights, Koregaon Park, , Pune, Maharashtra",2nd   of 5 Floors,East,Vitrified,Yes,,1 Open,,,None,0 Months,Charges included,None,5 to 10 Year Old
"22,000",2,2,"Study Room,Pooja Room",1,,Super Built up area 1150(106.84 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.)  sq.ft.,Furnished,All," in Rahul Cooperative Housing Society, Koregaon Park, , Pune, Maharashtra",2nd   of 7 Floors,West,Vitrified,Yes,,1 Open,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"12,500",1,1,Study Room,1,"Brokerage₹ 12,500/- (Non-Negotiable)Deposit₹ 25,000/-",Super Built up area 450(41.81 sq.m.)Built Up area: 400 sq.ft. (37.16 sq.m.)Carpet area: 350 sq.ft. (32.52 sq.m.)  sq.ft.,Furnished,Bachelors (Men Only)," in Ganga Terrace CHS, Pingale Wasti, , Pune, Maharashtra",3rd   of 3 Floors,East,Others,Yes,,,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
"17,500",1,1,Not given,1,"Brokerage₹ 17,500/- (Non-Negotiable)Deposit₹ 30,000/-",Super Built up area 600(55.74 sq.m.)Built Up area: 550 sq.ft. (51.1 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.)  sq.ft.,Semifurnished,All," in Raag Villas, Koregaon Park, , Pune, Maharashtra",2nd   of 5 Floors,East,Vitrified,Yes,,"0 Covered, 1 Open",,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
"26,000",2,2,Not given,1,"Brokerage₹ 26,000/- (Non-Negotiable)Deposit3 months rent",Built Up area: 1100 (102.19 sq.m.)Carpet area: 67.51 sq.ft. (6.27 sq.m.)  sq.ft.,Unfurnished,Family Only," in Bramhacorp F Residences, Kalyani Nagar, , Pune, Maharashtra",18th   of 22 Floors,North-East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
 1.18 Lac,4,6,Servant Room,2,"Brokerage₹ 118,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 3829(355.73 sq.m.)  sq.ft.,Semifurnished,Family Only," in Amar Renaissance, Sopan Baug, , Pune, Maharashtra",6th   of 12 Floors,North-East,Vitrified,Yes,,2 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"48,000",2,2,Not given,1,"Brokerage₹ 48,000/- (Non-Negotiable)Deposit4 months rent",Super Built up area 1350(125.42 sq.m.)  sq.ft.,Furnished,Family Only," in Panchshil Satellite Towers, Mundhwa, , Pune, Maharashtra",7th   of 11 Floors,North-East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"34,000",3,4,Servant Room,2,"Brokerage₹ 34,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 2201(204.48 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)  sq.ft.,Unfurnished,All," in Marvel Enigma, Kharadi, , Pune, Maharashtra",5th   of 12 Floors,North-East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
 1.35 Lac,4,5,Servant Room,2,"Brokerage₹ 135,000/- (Non-Negotiable)Deposit5 months rent",Super Built up area 3880(360.46 sq.m.)  sq.ft.,Furnished,Family Only," in Panchshil One North, Hadapsar, , Pune, Maharashtra",19th   of 20 Floors,North-East,Marble,Yes,,4 Covered,,,22 Months,1 Months,Charges not included,Full,5 to 10 Year Old
