rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"21,000",3,3,Pooja Room,2,"Brokerage₹ 21,000/- (Non-Negotiable)Deposit₹ 60,000/-",Super Built up area 1650(153.29 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1332 sq.ft. (123.75 sq.m.)  sq.ft.,Unfurnished,Family Only," in Pharande Puneville, Punawale, , Pune, Maharashtra",18th   of 22 Floors,East,Vitrified,,,1 Covered,,Yes,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"14,000",2,2,Pooja Room,2,"Brokerage₹ 14,000/- (Non-Negotiable)Deposit₹ 40,000/-",Super Built up area 1000(92.9 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 712 sq.ft. (66.15 sq.m.)  sq.ft.,Unfurnished,Family Only," in Pharande Puneville, Punawale, , Pune, Maharashtra",5th   of 22 Floors,East,Vitrified,,,1 Covered,,Yes,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"17,000",3,3,Not given,2,"Brokerage₹ 17,000/- (Negotiable)Deposit₹ 50,000/-",Super Built up area 1400(130.06 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 905.68 sq.ft. (84.14 sq.m.)  sq.ft.,Semifurnished,All," in Siddhashila Eela, Punawale, , Pune, Maharashtra",5th   of 16 Floors,South-East,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges included,Partial,0 to 1 Year Old
"28,000",3,3,Others,2,"Brokerage₹ 28,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 1107(102.84 sq.m.)  sq.ft.,Unfurnished,All," in Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",24th   of 31 Floors,East,,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"15,000",1,1,Not given,1,"Brokerage₹ 15,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 580(53.88 sq.m.)Built Up area: 572 sq.ft. (53.14 sq.m.)Carpet area: 440 sq.ft. (40.88 sq.m.)  sq.ft.,Furnished,All," in Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",3rd   of 30 Floors,,,,,"1 Covered, 1 Open",,,13 Months,1 Months,Charges not included,None,1 to 5 Year Old
"85,000",4,4,Servant Room,3,"Brokerage₹ 250,000/- (Negotiable)Deposit₹ 850,000/-",Carpet area: 15437 (1434.14 sq.m.)  sq.ft.,Semifurnished,All," in Park Grandeur, Baner, , Pune, Maharashtra",9th   of 20 Floors,North-East,Vitrified,,,"2 Covered,  Open",,,None,1 Months,Charges included,Full,1 to 5 Year Old
"18,000",2,2,Others,1,"Brokerage₹ 18,000/- (Non-Negotiable)Deposit₹ 40,000/-",Super Built up area 1240(115.2 sq.m.)Carpet area: 940 sq.ft. (87.33 sq.m.)  sq.ft.,Semifurnished,Bachelors (Men Only)," in Mangal Dham, Sector-29 Ravet, , Pune, Maharashtra",3rd   of 3 Floors,,,,," Covered, 1 Open",,,None,0 Months,Charges not included,None,5 to 10 Year Old
"30,000",3,4,Not given,2,"Brokerage₹ 30,000/- (Negotiable)Deposit₹ 90,000/-",Super Built up area 1710(158.86 sq.m.)  sq.ft.,Furnished,All," in Queens Town, Pimpri Chinchwad, , Pune, Maharashtra",9th   of 12 Floors,South,,,,"1 Covered, 1 Open",,,None,0 Months,Charges not included,None,1 to 5 Year Old
"24,000",2,2,Study Room,2,"Brokerage₹ 24,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 1600(148.64 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.)  sq.ft.,Semifurnished,All," in New Front Anjor Gold, Baner, , Pune, Maharashtra",7th   of 10 Floors,East,Ceramic,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"16,000",2,2,Others,2,"Brokerage₹ 16,000/- (Negotiable)Deposit3 months rent",Super Built up area 1015(94.3 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.)  sq.ft.,Semifurnished,All," in KBD Palladion, Balewadi Phata, , Pune, Maharashtra",5th   of 12 Floors,East,Ceramic,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
