rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
18," 23,500",3,3,Not given,2,"Maintenance₹ 4,000/- (/ month)Deposit3 months rent",Carpet area: 1500 (139.35 sq.m.)  sq.ft.,Semifurnished,Family Only," in Unique Blliss, Wakad, , Pune, Maharashtra",4th   of 13 Floors,,,Yes,Yes,2 Covered,,,11 Months,2 Months,Charges not included,Partial,1 to 5 Year Old
19," 20,000",2,2,Not given,1,"Deposit₹ 50,000/-",Super Built up area 1027(95.41 sq.m.)Built Up area: 1026 sq.ft. (95.32 sq.m.)Carpet area: 937 sq.ft. (87.05 sq.m.)  sq.ft.,Furnished,Family Only," in Utkarsh Vihar, Chinchwad, , Pune, Maharashtra",5th   of 6 Floors,East,Vinyl,Yes,Yes,"1 Covered, 1 Open",,,11 Months,1 Months,Charges included,None,5 to 10 Year Old
20," 26,000",2,2,Not given,2,"Deposit₹ 40,000/-",Super Built up area 1143(106.19 sq.m.)  sq.ft.,Semifurnished,All," in TCG The Crown Greens, Hinjewadi Phase 2, , Pune, Maharashtra",3rd   of 21 Floors,,,Yes,Yes,"1 Covered, 0 Open",Yes,Yes,11 Months,1 Months,Charges included,None,1 to 5 Year Old
21," 10,000",1,1,Not given,2,"Deposit₹ 30,000/-",Super Built up area 650(60.39 sq.m.)  sq.ft.,Unfurnished,Bachelors (Men/Women)," in Madhav Nagar, , Pune, Maharashtra",2nd   of 2 Floors,East,Vitrified,Yes,,1 Open,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
22," 23,000",3,3,Not given,1,"Deposit₹ 50,000/-",Built Up area: 880 (81.75 sq.m.)  sq.ft.,Semifurnished,All," in Phase-3 Hinjewadi , , Pune, Maharashtra",5th   of 14 Floors,,,,,"1 Covered, 1 Open",,,None,0 Months,Charges not included,None,0 to 1 Year Old
23," 11,500",2,1,"Pooja Room,Study Room,Servant Room",2,"Maintenance₹ 2,000/- (/ month)Deposit₹ 36,000/-",Super Built up area 1100(102.19 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in F5 Green Crest, Suresh Nagar, , Pune, Maharashtra",1st   of 5 Floors,South-East,Vitrified,Yes,Yes,"1 Covered, 1 Open",,,None,0 Months,Charges not included,Full,1 to 5 Year Old
24," 20,000",2,2,Not given,2,"Deposit₹ 50,000/-",Carpet area: 1064 (98.85 sq.m.)  sq.ft.,Furnished,Family Only," in Aishwaryam Greens Society, Wakad, , Pune, Maharashtra",2nd   of 8 Floors,North-East,Vitrified,Yes,,"1 Covered, 2 Open",,,11 Months,0 Months,Charges not included,Partial,5 to 10 Year Old
25,,,,Not given,0,,None,,None,,,,,,,,,,,,,,
26," 20,000",2,2,Not given,3+,"Maintenance₹ 2,500/- (/ month)Deposit3 months rent",Carpet area: 94.43   sq.m.,Unfurnished,Family Only," in Suyog Padmavati Hills, Bavdhan, , Pune, Maharashtra",12nd   of 12 Floors,North-West,Marble,Yes,,1 Covered,,,None,1 Months,Charges not included,None,Under Construction
27," 19,000",2,2,Not given,3,,Super Built up area 930(86.4 sq.m.)Built Up area: 880 sq.ft. (81.75 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.)  sq.ft.,Semifurnished,Family Only," in Twin tower, Wakad, , Pune, Maharashtra",1st   of 12 Floors,East,,,,"1 Covered,  Open",,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
28," 14,000",2,2,Not given,2,"Deposit₹ 35,000/-",Carpet area: 605 (56.21 sq.m.)  sq.ft.,Semifurnished,Family Only," in Goodwill Meadows, Lohegaon, , Pune, Maharashtra",7th   of 9 Floors,,,,," Covered, 1 Open",,,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
29," 15,000",2,2,Not given,1,"Deposit₹ 40,000/-",Super Built up area 784(72.84 sq.m.)  sq.ft.,Furnished,All," in Pride World City, Lohegaon, , Pune, Maharashtra",6th   of 12 Floors,North,Vitrified,Yes,Yes,1 Covered,,,12 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
30," 12,000",2,2,Others,1,"Deposit₹ 30,000/-",Super Built up area 970(90.12 sq.m.)Built Up area: 960 sq.ft. (89.19 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kesar Valley Phase 2, Chikhali, , Pune, Maharashtra",3rd   of 7 Floors,,,Yes,,"1 Covered,  Open",,,None,0 Months,Charges included,Full,0 to 1 Year Old
31," 15,000",2,2,Not given,2,"Deposit₹ 35,000/-",Carpet area: 1200 (111.48 sq.m.)  sq.ft.,Furnished,All," in Manoram Apartment, New Sanghvi, , Pune, Maharashtra",1st   of 3 Floors,South,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
32," 18,000",1,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 800 (74.32 sq.m.)  sq.ft.,Furnished,All," in GK Rose Valley, Pimple Saudagar, , Pune, Maharashtra",4th   of 7 Floors,,,,,1 Covered,,,12 Months,1 Months,Charges not included,None,5 to 10 Year Old
33," 17,000",2,2,Not given,1,"Deposit₹ 40,000/-",Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Unfurnished,All," in Shreenanda Classic, Rahatani, , Pune, Maharashtra",6th   of 6 Floors,East,Marble,Yes,,1 Covered,,,12 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
34," 10,000",2,2,Not given,2,,Super Built up area 750(69.68 sq.m.)  sq.ft.,Unfurnished,All," in Shreeram Apartment, Wagholi, , Pune, Maharashtra",1st   of 3 Floors,,,,,"1 Covered, 1 Open",,,None,0 Months,Charges included,None,1 to 5 Year Old
35," 15,000",2,2,Not given,1,"Deposit₹ 45,000/-",Carpet area: 850 (78.97 sq.m.)  sq.ft.,Semifurnished,Family Only," in Siddhipark CHS, New Sanghvi, , Pune, Maharashtra",1st   of 5 Floors,East,Vitrified,Yes,,,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
36," 26,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Semifurnished,Family Only," in Mandake Anubhav, Rambaug Colony, , Pune, Maharashtra",3rd   of 6 Floors,North,,Yes,Yes,1 Covered,,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
37," 35,000",2,2,Not given,3,"Deposit₹ 150,000/-",Super Built up area 1200(111.48 sq.m.)Carpet area: 855 sq.ft. (79.43 sq.m.)  sq.ft.,Furnished,Family Only," in Ersha Apartment, Shivaji Nagar, , Pune, Maharashtra",1st   of 4 Floors,South,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
38," 25,000",3,2,Not given,2,,Super Built up area 1727(160.44 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Men Only)"," in Shree Venkatesh Marvilla Apartment, Hadapsar, , Pune, Maharashtra",11st   of 11 Floors,,,,,1 Covered,,,11 Months,1 Months,Charges included,None,5 to 10 Year Old
39," 19,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 980 (91.04 sq.m.)  sq.ft.,Furnished,Family Only," in Casapoli , Wakad, , Pune, Maharashtra",2nd   of 10 Floors,East,Marble,Yes,,,Yes,,12 Months,1 Months,Charges not included,Full,5 to 10 Year Old
40," 23,000",2,2,Not given,,"Deposit₹ 75,000/-",Built Up area: 950 (88.26 sq.m.)  sq.ft.,Furnished,Family Only," in Bhosle Paradise, Bhosale Nagar, , Pune, Maharashtra",4th   of 6 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,None,10+ Year Old
41," 14,000",2,2,Others,1,"Brokerage₹ 14,000/- (Negotiable)Deposit₹ 40,000/-",Super Built up area 1020(94.76 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.)  sq.ft.,Unfurnished,All," in suyog Apartment , Anand Park Dhanori, , Pune, Maharashtra",1st   of 3 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
42," 18,000",2,2,Not given,2,"Deposit₹ 50,000/-",Super Built up area 944(87.7 sq.m.)Carpet area: 915 sq.ft. (85.01 sq.m.)  sq.ft.,Furnished,Family Only," in Adi Skyline at Wakad, Shankar Kalat Nagar, , Pune, Maharashtra",5th   of 12 Floors,East,Ceramic,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,12 Months,1 Months,Charges not included,None,1 to 5 Year Old
43," 15,000",2,1,Not given,,"Deposit₹ 30,000/-",Built Up area: 950 (88.26 sq.m.)  sq.ft.,Semifurnished,All," in Azad Nagar, , Pune, Maharashtra",1st   of 2 Floors,,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
44," 13,500",1,1,Pooja Room,1,"Deposit₹ 40,000/-",Carpet area: 685 (63.64 sq.m.)  sq.ft.,Semifurnished,All," in Satish Crystal Heights, Wakad, , Pune, Maharashtra",8th   of 8 Floors,,,,," Covered, 1 Open",,,11 Months,0 Months,Charges not included,None,1 to 5 Year Old
45, 7000,1,1,Others,1,"Deposit₹ 20,000/-",Super Built up area 650(60.39 sq.m.)Built Up area: 645 sq.ft. (59.92 sq.m.)Carpet area: 630 sq.ft. (58.53 sq.m.)  sq.ft.,Semifurnished,All," in Audhumber Apartment, Narhe, , Pune, Maharashtra",3rd   of 5 Floors,,,,,"1 Covered, 1 Open",,,None,0 Months,Charges not included,None,1 to 5 Year Old
46," 21,000",1,2,Not given,1,"Deposit₹ 60,000/-",Carpet area: 740 (68.75 sq.m.)  sq.ft.,Furnished,All," in Pride Purple Sapphire Park, Wakad, , Pune, Maharashtra",1st   of 8 Floors,West,,Yes,," Covered, 1 Open",Yes,,11 Months,1 Months,Charges not included,None,10+ Year Old
47," 30,000",2,2,Not given,2,Deposit3 months rent,Carpet area: 1350 (125.42 sq.m.)  sq.ft.,Semifurnished,All," in Marvel Arco, Hadapsar, , Pune, Maharashtra",3rd   of 12 Floors,,,,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
48," 21,000",2,2,Not given,2,"Deposit₹ 60,000/-",Built Up area: 1230 (114.27 sq.m.)Carpet area: 911 sq.ft. (84.63 sq.m.)  sq.ft.,Semifurnished,Family Only," in Shrushti Enclave, Baner, , Pune, Maharashtra",3rd   of 4 Floors,East,Vitrified,,,,,,11 Months,2 Months,Charges not included,None,5 to 10 Year Old
49," 15,000",2,3,Not given,,Deposit3 months rent,Built Up area: 800 (74.32 sq.m.)  sq.ft.,Unfurnished,All," in Aundh, , Pune, Maharashtra",4th   of 4 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
50, 6500,1,1,Not given,,"Maintenance₹ 200/- (/ month)Deposit₹ 20,000/-",Carpet area: 400 (37.16 sq.m.)  sq.ft.,Unfurnished,Family Only," in Navbharat Housing Society, Warje Malwadi, , Pune, Maharashtra",Ground of 3 Floors,East,,,,"1 Covered,  Open",,,None,1 Months,Charges included,None,0 to 1 Year Old
51,,,,Not given,0,,None,,None,,,,,,,,,,,,,,
52, 6500,1,1,Not given,,"Maintenance₹ 200/- (/ month)Deposit₹ 20,000/-",Carpet area: 400 (37.16 sq.m.)  sq.ft.,Unfurnished,Family Only," in Navbharat Housing Society, Warje Malwadi, , Pune, Maharashtra",Ground of 3 Floors,East,,,,"1 Covered,  Open",,,None,1 Months,Charges included,None,0 to 1 Year Old
53," 25,000",3,2,Not given,1,Deposit3 months rent,Super Built up area 1300(120.77 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.)  sq.ft.,Semifurnished,All," in Ratan Prestige, Tukaram Nagar, , Pune, Maharashtra",7th   of 12 Floors,,,,,1 Covered,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
54, 7000,1,1,Not given,,"Maintenance₹ 200/- (/ month)Deposit₹ 20,000/-",Super Built up area 400(37.16 sq.m.)  sq.ft.,Unfurnished,Family Only," in Navbharat Housing Society, Warje Malwadi, , Pune, Maharashtra",Ground of 3 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges included,None,0 to 1 Year Old
55," 30,000",2,2,Not given,1,"Deposit₹ 100,000/-",Built Up area: 1140 (105.91 sq.m.)  sq.ft.,Semifurnished,Family Only," in Noble Niwas, Gultekadi, , Pune, Maharashtra",4th   of 9 Floors,North-West,Ceramic,,,2 Covered,Yes,,11 Months,1 Months,Charges not included,Full,Under Construction
56, 8500,1,1,Not given,1,"Deposit₹ 20,000/-",Carpet area: 498 (46.27 sq.m.)  sq.ft.,Semifurnished,All," in mhada Pimpri pune, Morwadi, , Pune, Maharashtra",Ground of 3 Floors,East,Mosaic,,Yes,1 Open,,,11 Months,1 Months,Charges not included,None,10+ Year Old
57," 12,000",2,2,Not given,2,"Deposit₹ 40,000/-",Super Built up area 888(82.5 sq.m.)Built Up area: 875 sq.ft. (81.29 sq.m.)Carpet area: 587 sq.ft. (54.53 sq.m.)  sq.ft.,Unfurnished,Family Only," in Siddhi The Address, Moshi, , Pune, Maharashtra",3rd   of 12 Floors,East,,,,"0 Covered, 1 Open",,,24 Months,2 Months,Charges not included,None,0 to 1 Year Old
58, 5000,1,1,Not given,,"Deposit₹ 10,000/-",Carpet area: 300 (27.87 sq.m.)  sq.ft.,Unfurnished,Family Only," in Paranjape Abhiruchi Parisar, Dhayari, , Pune, Maharashtra",5th   of 15 Floors,West,Polished concrete,Yes,,"1 Covered, 1 Open",,,12 Months,1 Months,Charges not included,Full,10+ Year Old
59," 20,000",2,2,Not given,2,,Super Built up area 1250(116.13 sq.m.)  sq.ft.,Unfurnished,Family Only," in rohantarang, Wakad, , Pune, Maharashtra",5th   of 9 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges included,None,5 to 10 Year Old
60," 12,500",1,1,Not given,1,"Deposit₹ 40,000/-",Super Built up area 567(52.68 sq.m.)  sq.ft.,Furnished,Family Only," in Safal Oneiro, Wakad, , Pune, Maharashtra",2nd   of 8 Floors,East,,,,1 Covered,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
61, 6000,1,1,Not given,,"Deposit₹ 10,000/-",Plot area 400(37.16 sq.m.)  sq.ft.,Unfurnished,All," in Jai Housing Society, Wadgaon Sheri, , Pune, Maharashtra",,East,Concrete,,,1 Covered,,,None,0 Months,Charges not included,Partial,1 to 5 Year Old
62," 19,000",2,2,Not given,2,"Maintenance₹ 1,970/- (/ month)Deposit₹ 50,000/-",Carpet area: 1079 (100.24 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Men Only)"," in Giridhar Oasis, Thite Nagar, , Pune, Maharashtra",5th   of 7 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
63," 18,500",2,2,Not given,1,"Deposit₹ 35,000/-",Super Built up area 1098(102.01 sq.m.)  sq.ft.,Semifurnished,All," in Opus 77, Wakad, , Pune, Maharashtra",5th   of 8 Floors,East,Others,Yes,Yes,1 Covered,Yes,Yes,11 Months,2 Months,Charges not included,Partial,1 to 5 Year Old
64," 20,000",2,2,Not given,3,"Maintenance₹ 2,000/- (/ month)Deposit₹ 50,000/-",Super Built up area 1100(102.19 sq.m.)  sq.ft.,Semifurnished,Family Only," in Ahilyadevi Society, Baner, , Pune, Maharashtra",1st   of 6 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
65," 18,000",2,2,Not given,2,"Deposit₹ 60,000/-",Carpet area: 1050 (97.55 sq.m.)  sq.ft.,Furnished,Family Only," in Prime Plus 1, Pimple Saudagar, , Pune, Maharashtra",3rd   of 5 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,2 Months,Charges not included,None,5 to 10 Year Old
66, 4900,1,1,Not given,,"Deposit₹ 10,000/-",Built Up area: 350 (32.52 sq.m.)Carpet area: 270 sq.ft. (25.08 sq.m.)  sq.ft.,Unfurnished,Family Only," in Manik chowk Chakan , Chakan, , Pune, Maharashtra",1st   of 3 Floors,North,Others,,,,,,12 Months,1 Months,Charges not included,None,10+ Year Old
67," 17,000",2,2,Not given,1,,Super Built up area 1000(92.9 sq.m.)  sq.ft.,Unfurnished,Family Only," in Essen Shonest Towers, Wakad, , Pune, Maharashtra",6th   of 10 Floors,,,,,1 Open,,,None,0 Months,Charges included,None,5 to 10 Year Old
68, 6000,1,1,Not given,,"Maintenance₹ 400/- (/ month)Deposit₹ 20,000/-",Carpet area: 300 (27.87 sq.m.)  sq.ft.,Unfurnished,All," in Mahada Matoshri, Kharadi, , Pune, Maharashtra",4th   of 5 Floors,,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
69, 8000,1,1,Not given,1,"Brokerage₹ 8,000/- (Non-Negotiable)Deposit₹ 15,000/-",Carpet area: 550 (51.1 sq.m.)  sq.ft.,Semifurnished,All," in Swastik Manas, Mahalunge, , Pune, Maharashtra",2nd   of 5 Floors,North,Vitrified,,,"1 Covered,  Open",,,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
70," 16,000",1,1,Not given,2,"Maintenance₹ 1,600/- (/ month)Deposit₹ 30,000/-",Carpet area: 650 (60.39 sq.m.)  sq.ft.,Semifurnished,Family Only," in Bhagirathi Building, New Mahada Colony, Morwadi, , Pune, Maharashtra",1st   of 14 Floors,West,Vitrified,Yes,,1 Open,,,12 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
71, 5000,1,1,Not given,1,"Deposit₹ 10,000/-",Carpet area: 400 (37.16 sq.m.)  sq.ft.,Semifurnished,All," in Rk Classic, Narhe, , Pune, Maharashtra",1st   of 5 Floors,,,,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
72, 8000,1,2,Not given,2,"Deposit₹ 15,000/-",Carpet area: 510 (47.38 sq.m.)  sq.ft.,Semifurnished,All," in Kolte Patil Umang Primo, Wagholi, , Pune, Maharashtra",4th   of 10 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
73," 28,000",3,3,Not given,1,Deposit3 months rent,Super Built up area 1560(144.93 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kasturi Apostrophe Next, Wakad, , Pune, Maharashtra",5th   of 10 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,Under Construction
74, 6000,1,1,Not given,1,"Maintenance₹ 500/- (/ month)Deposit₹ 15,000/-",Carpet area: 500 (46.45 sq.m.)  sq.ft.,Unfurnished,All," in Sadguru Residence, Yewalewadi, , Pune, Maharashtra",1st   of 4 Floors,,,,,"12 Covered, 12 Open",,,None,1 Months,Charges not included,None,0 to 1 Year Old
75," 20,500",2,2,Not given,3,"Deposit₹ 70,000/-",Super Built up area 1100(102.19 sq.m.)  sq.ft.,Furnished,Family Only," in Adityas A Garden City, Warje, , Pune, Maharashtra",6th   of 7 Floors,North,Ceramic,Yes,,1 Covered,,,6 Months,1 Months,Charges not included,Partial,10+ Year Old
