rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
76," 38,000",3,3,"Study Room,Others",3,"Deposit₹ 100,000/-",Carpet area: 1700 (157.94 sq.m.)  sq.ft.,Semifurnished,All," in Ven Swarnavilas, Pashan, , Pune, Maharashtra",8th   of 14 Floors,East,Others,Yes,,"1 Covered, 0 Open",,Yes,12 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
77,,,,Not given,0,,None,,None,,,,,,,,,,,,,,
78, 7500,2,2,Not given,1,"Deposit₹ 25,000/-",Super Built up area 843(78.32 sq.m.)Built Up area: 750 sq.ft. (69.68 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.)  sq.ft.,Semifurnished,Family Only," in Sindhu Park, Dhayari, , Pune, Maharashtra",1st   of 4 Floors,North-East,Vitrified,,,"1 Covered,  Open",,,24 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
79," 15,500",2,2,Not given,2,"Deposit₹ 25,000/-",Carpet area: 1030 (95.69 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kohinoor Tinsel Town Phase 2, Hinjewadi, , Pune, Maharashtra",4th   of 14 Floors,West,Vitrified,Yes,,1 Covered,,,12 Months,2 Months,Charges not included,None,1 to 5 Year Old
80," 15,000",1,1,Not given,1,Deposit2 months rent,Super Built up area 475(44.13 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Gulmohar Paradise Homes, Thite Nagar, , Pune, Maharashtra",3rd   of 6 Floors,,Ceramic,Yes,,1 Open,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
81," 23,500",2,2,Not given,2,Deposit4 months rent,Carpet area: 860 (79.9 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kanchanban Society, Ramkrishna Paramhans Nagar, , Pune, Maharashtra",4th   of 7 Floors,South,Vitrified,Yes,Yes,,,Yes,11 Months,1 Months,Charges not included,None,10+ Year Old
82," 21,000",3,2,Not given,1,"Deposit₹ 60,000/-",Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Semifurnished,Family Only," in Dwarka Flora Residency Phase 1, Pimple Saudagar, , Pune, Maharashtra",6th   of 7 Floors,,,Yes,,"1 Covered,  Open",,,None,1 Months,Charges included,Full,1 to 5 Year Old
83," 20,000",3,3,Not given,2,"Deposit₹ 50,000/-",Carpet area: 1050 (97.55 sq.m.)  sq.ft.,Unfurnished,All," in Kohinoor Falcon, Sus , , Pune, Maharashtra",9th   of 21 Floors,West,Vitrified,Yes,,"1 Covered,  Open",,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
84," 10,000",1,1,Not given,,"Maintenance₹ 500/- (/ month)Deposit₹ 20,000/-",Super Built up area 550(51.1 sq.m.)  sq.ft.,Semifurnished,Family Only," in 24K Sereno, Kothrud, , Pune, Maharashtra",2nd   of 5 Floors,,,Yes,,"1 Covered, 1 Open",,,None,0 Months,Charges included,None,5 to 10 Year Old
85," 37,000",3,3,Not given,3,"Maintenance₹ 3,600/- (/ month)Deposit3 months rent",Carpet area: 1150 (106.84 sq.m.)  sq.ft.,Semifurnished,Family Only," in Saarrthi Success Square, Kothrud, , Pune, Maharashtra",8th   of 15 Floors,North-East,Vinyl,Yes,,1 Covered,,,11 Months,2 Months,Charges not included,None,0 to 1 Year Old
86, 6500,1,1,Not given,1,"Maintenance₹ 1,250/- (/ month)Deposit₹ 20,000/-",Super Built up area 600(55.74 sq.m.)Built Up area: 570 sq.ft. (52.95 sq.m.)Carpet area: 470 sq.ft. (43.66 sq.m.)  sq.ft.,Semifurnished,Family Only," in Dwarka CHS, Chakan, , Pune, Maharashtra",4th   of 4 Floors,East,Vitrified,Yes,Yes,"1 Covered,  Open",,,11 Months,1 Months,Charges included,None,5 to 10 Year Old
87," 10,500",1,1,Not given,1,,Super Built up area 550(51.1 sq.m.)  sq.ft.,Furnished,Family Only," in Dreams Aakruti, Hadapsar, , Pune, Maharashtra",4th   of 7 Floors,,,,,"1 Covered, 1 Open",,,None,0 Months,Charges included,None,5 to 10 Year Old
88," 21,000",3,3,Not given,1,"Deposit₹ 50,000/-",Carpet area: 1700 (157.94 sq.m.)  sq.ft.,Semifurnished,All," in Karia Konark Exotica, Wagholi, , Pune, Maharashtra",7th   of 7 Floors,,Vitrified,Yes,Yes,"1 Covered,  Open",Yes,Yes,22 Months,2 Months,Charges not included,None,1 to 5 Year Old
89," 15,000",1,1,Not given,,"Deposit₹ 20,000/-",Carpet area: 525 (48.77 sq.m.)  sq.ft.,Semifurnished,Family Only," in Durvankur Society, Panchawati, , Pune, Maharashtra",1st   of 4 Floors,,,,,1 Open,,,None,0 Months,Charges included,None,10+ Year Old
90," 13,000",1,1,Not given,1,,Carpet area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in Megapolis Sparklet, Hinjewadi, , Pune, Maharashtra",9th   of 14 Floors,,,,,,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
91," 16,500",2,2,Not given,3,Deposit3 months rent,Carpet area: 950 (88.26 sq.m.)  sq.ft.,Semifurnished,Family Only," in Siddhi The Address, Moshi, , Pune, Maharashtra",6th   of 12 Floors,East,,Yes,," Covered,  Open",,,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
92," 19,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 800 (74.32 sq.m.)  sq.ft.,Semifurnished,All," in 5 Star Royal Entrada, Wakad, , Pune, Maharashtra",1st   of 12 Floors,East,,Yes,,2 Covered,,,None,0 Months,Charges not included,Partial,1 to 5 Year Old
93," 15,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 960 (89.19 sq.m.)  sq.ft.,Furnished,Family Only," in Popular Giridhar Nagar Society, Warje, , Pune, Maharashtra",1st   of 5 Floors,East,Concrete,Yes,,"0 Covered,  Open",,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
94," 15,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 780 (72.46 sq.m.)  sq.ft.,Semifurnished,Family Only," in Nanded City, Sinhgad Road, , Pune, Maharashtra",17th   of 22 Floors,East,Ceramic,Yes,Yes,1 Covered,Yes,Yes,12 Months,0 Months,Charges not included,Full,Under Construction
95," 15,000",2,2,Not given,2,"Deposit₹ 40,000/-",Carpet area: 960 (89.19 sq.m.)  sq.ft.,Unfurnished,All," in Kanak Residency, Ravet, , Pune, Maharashtra",4th   of 11 Floors,,,,,1 Open,,,12 Months,1 Months,Charges not included,None,0 to 1 Year Old
96," 18,000",2,2,Not given,1,,Built Up area: 1024 (95.13 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kohinoor Grandeur, Ravet, , Pune, Maharashtra",12nd   of 18 Floors,North-East,,,,,,,None,0 Months,Charges included,None,1 to 5 Year Old
97, 7000,1,1,Not given,2,"Deposit₹ 15,000/-",Carpet area: 400 (37.16 sq.m.)  sq.ft.,Semifurnished,Family Only," in Sai Avenue Pune, Kalewadi, , Pune, Maharashtra",3rd   of 4 Floors,West,Vitrified,Yes,,"1 Covered,  Open",,,6 Months,1 Months,Charges not included,None,1 to 5 Year Old
98, 9000,2,2,Not given,2,"Maintenance₹ 1,200/- (/ month)Deposit₹ 30,000/-",Carpet area: 988 (91.79 sq.m.)  sq.ft.,Semifurnished,Family Only," in Hubtown Countrywoods, Tilekar Nagar, , Pune, Maharashtra",2nd   of 12 Floors,North,Ceramic,Yes,Yes,1 Covered,,,12 Months,2 Months,Charges not included,None,1 to 5 Year Old
99," 23,000",3,3,Not given,2,"Deposit₹ 50,000/-",Carpet area: 1250 (116.13 sq.m.)  sq.ft.,Semifurnished,Family Only," in Trimurti Elina, Baner-Sus, , Pune, Maharashtra",9th   of 11 Floors,East,,Yes,,"1 Covered, 1 Open",,Yes,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
100, 9000,1,1,Not given,1,,Plot area 720(66.89 sq.m.)  sq.ft.,Unfurnished,All," in Jaimala Nagar old sangvi, Old Sangvi, , Pune, Maharashtra",,,,,,"1 Covered,  Open",,,None,0 Months,Charges not included,None,0 to 1 Year Old
101," 16,500",1,1,Not given,1,"Deposit₹ 50,000/-",Super Built up area 600(55.74 sq.m.)Built Up area: 550 sq.ft. (51.1 sq.m.)Carpet area: 400 sq.ft. (37.16 sq.m.)  sq.ft.,Unfurnished,All," in Amar Serenity, Baner Pashan Link Road, , Pune, Maharashtra",1st   of 9 Floors,,Vitrified,Yes,Yes,1 Covered,,Yes,11 Months,1 Months,Charges included,Partial,0 to 1 Year Old
102," 13,500",2,2,Not given,1,"Deposit₹ 25,000/-",Carpet area: 800 (74.32 sq.m.)  sq.ft.,Unfurnished,All," in SECTOR 4, Sector No-4 Moshi, , Pune, Maharashtra",1st   of 3 Floors,East,Vitrified,,," Covered, 2 Open",,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
103," 22,000",2,2,Not given,2,"Deposit₹ 60,000/-",Carpet area: 1200 (111.48 sq.m.)  sq.ft.,Furnished,Family Only," in Runal Deepmala, Pimple Saudagar, , Pune, Maharashtra",1st   of 1 Floors,,,,,1 Covered,,,None,1 Months,Charges not included,None,10+ Year Old
104," 15,000",2,2,Pooja Room,3,"Deposit₹ 30,000/-",Super Built up area 1350(125.42 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in AWHO Vijay Vihar, Wagholi, , Pune, Maharashtra",12nd   of 14 Floors,,,Yes,,1 Covered,,,23 Months,3 Months,Charges not included,None,0 to 1 Year Old
105," 17,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 639 (59.37 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Ratan Park, Pashan, , Pune, Maharashtra",6th   of 7 Floors,South-East,Mosaic,Yes,,"1 Covered,  Open",,,11 Months,1 Months,Charges not included,None,10+ Year Old
106," 14,000",1,2,Others,3,"Deposit₹ 40,000/-",Super Built up area 726(67.45 sq.m.)Built Up area: 629 sq.ft. (58.44 sq.m.)Carpet area: 510 sq.ft. (47.38 sq.m.)  sq.ft.,Semifurnished,All," in Nisarg Vishwa, Kemse Vasti, , Pune, Maharashtra",10th   of 12 Floors,East,Vitrified,Yes,," Covered,  Open",,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
107," 15,500",1,2,Not given,2,"Deposit₹ 40,000/-",Carpet area: 650 (60.39 sq.m.)  sq.ft.,Semifurnished,All," in Trident , Yogi Park, Baner, , Pune, Maharashtra",2nd   of 4 Floors,East,Vitrified,Yes,,"1 Covered, 3 Open",Yes,Yes,12 Months,1 Months,Charges not included,None,0 to 1 Year Old
108," 11,500",1,1,Not given,1,"Deposit₹ 30,000/-",Super Built up area 560(52.03 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.)  sq.ft.,Semifurnished,Family Only," in Gagan Arena, Undri, , Pune, Maharashtra",5th   of 11 Floors,,Ceramic,Yes,,1 Open,,,12 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
109," 25,000",3,3,Not given,2,Deposit3 months rent,Built Up area: 1580 (146.79 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Sukhwani Dynasty Phase 2, Wakad, , Pune, Maharashtra",7th   of 12 Floors,,,,,2 Covered,,,12 Months,2 Months,Charges not included,Full,1 to 5 Year Old
110," 25,000",3,3,Not given,3,Deposit3 months rent,Carpet area: 1362 (126.53 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Kolte Patil Downtown Beryl, Kharadi, , Pune, Maharashtra",1st   of 18 Floors,East,Vitrified,Yes,Yes,2 Covered,,,None,1 Months,Charges not included,Partial,1 to 5 Year Old
111," 18,000",2,2,Others,1,"Deposit₹ 50,000/-",Built Up area: 1156 (107.4 sq.m.)  sq.ft.,Semifurnished,Family Only," in Rhythm Housing Society, Kalewadi Phata, , Pune, Maharashtra",5th   of 7 Floors,,,,,"1 Covered, 0 Open",,,11 Months,2 Months,Charges not included,None,5 to 10 Year Old
112," 25,000",3,3,Not given,2,"Deposit₹ 75,000/-",Super Built up area 1457(135.36 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.)  sq.ft.,Unfurnished,Family Only," in Rachana MyWorld Apartments, Baner, , Pune, Maharashtra",4th   of 6 Floors,West,Ceramic,Yes,Yes,2 Covered,,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
113," 18,000",2,2,Not given,2,Deposit3 months rent,Carpet area: 889 (82.59 sq.m.)  sq.ft.,Furnished,All," in Kolte Patil Life Republic, Hinjewadi, , Pune, Maharashtra",9th   of 22 Floors,,Vitrified,Yes,,1 Covered,,Yes,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
114," 19,000",2,2,Not given,2,Deposit3 months rent,Super Built up area 1075(99.87 sq.m.)Carpet area: 715 sq.ft. (66.43 sq.m.)  sq.ft.,Unfurnished,Family Only," in Gini Viviana, Balewadi, , Pune, Maharashtra",2nd   of 11 Floors,,,Yes,,1 Covered,,,11 Months,2 Months,Charges not included,None,1 to 5 Year Old
115," 19,500",3,2,"Pooja Room,Study Room",2,"Deposit₹ 50,000/-",Carpet area: 1300 (120.77 sq.m.)  sq.ft.,Semifurnished,All," in Wadhwani Ganeesham 2, Sai Nagar Park, , Pune, Maharashtra",5th   of 13 Floors,East,Vitrified,Yes,," Covered,  Open",,,6 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
116," 26,000",2,2,Not given,1,"Deposit₹ 75,000/-",Super Built up area 1070(99.41 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.)  sq.ft.,Semifurnished,Family Only," in Shagun Perfect 10, Balewadi, , Pune, Maharashtra",5th   of 11 Floors,East,Ceramic,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
117," 15,000",2,2,Not given,1,"Deposit₹ 40,000/-",Super Built up area 887(82.4 sq.m.)Built Up area: 877 sq.ft. (81.48 sq.m.)Carpet area: 875 sq.ft. (81.29 sq.m.)  sq.ft.,Unfurnished,All," in AG West One, Wakad, , Pune, Maharashtra",7th   of 13 Floors,West,Vitrified,Yes,,"1 Covered, 1 Open",,,11 Months,0 Months,Charges not included,Partial,0 to 1 Year Old
118, 8600,1,1,Not given,1,Deposit2 months rent,Built Up area: 850 (78.97 sq.m.)Carpet area: 630 sq.ft. (58.53 sq.m.)  sq.ft.,Semifurnished,Family Only," in Majestique City, Wagholi, , Pune, Maharashtra",4th   of 8 Floors,East,,,,"1 Covered,  Open",,,None,0 Months,Charges not included,Partial,1 to 5 Year Old
119," 21,000",2,2,Not given,1,"Deposit₹ 60,000/-",Super Built up area 1066(99.03 sq.m.)Carpet area: 740 sq.ft. (68.75 sq.m.)  sq.ft.,Semifurnished,Family Only," in Riddhi Siddhi Heights, Shankar Kalat Nagar, , Pune, Maharashtra",10th   of 10 Floors,South-West,Vitrified,Yes,,1 Covered,,,12 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
120," 15,000",2,2,Not given,2,,Super Built up area 1010(93.83 sq.m.)  sq.ft.,Semifurnished,All," in Nyati Ethos, Undri, , Pune, Maharashtra",7th   of 12 Floors,,Others,Yes,,"1 Covered, 0 Open",,,11 Months,1 Months,Charges included,Full,1 to 5 Year Old
121," 11,000",2,2,Not given,1,,Super Built up area 880(81.75 sq.m.)  sq.ft.,Unfurnished,All," in Yashwin Apartment, Hinjewadi, , Pune, Maharashtra",13rd   of 21 Floors,,,,,1 Open,,,None,0 Months,Charges included,None,0 to 1 Year Old
122," 13,500",2,1,Not given,2,"Deposit₹ 30,000/-",Carpet area: 818 (75.99 sq.m.)  sq.ft.,Unfurnished,Family Only," in Dreams Elina, Satav Nagar, , Pune, Maharashtra",2nd   of 12 Floors,,,,,1 Open,,,11 Months,1 Months,Charges included,None,1 to 5 Year Old
123," 20,000",2,2,Not given,1,"Deposit₹ 50,000/-",Super Built up area 980(91.04 sq.m.)  sq.ft.,Semifurnished,All," in GK Jarvari, Pimple Saudagar, , Pune, Maharashtra",6th   of 6 Floors,North-East,Mosaic,,," Covered,  Open",,,12 Months,1 Months,Charges not included,Full,5 to 10 Year Old
124," 24,000",3,3,Not given,2,,Carpet area: 1450 (134.71 sq.m.)  sq.ft.,Furnished,All," in ADI Horizons, Wakad, , Pune, Maharashtra",2nd   of 12 Floors,,Vitrified,Yes,Yes,,Yes,Yes,11 Months,0 Months,Charges not included,None,5 to 10 Year Old
125," 27,000",2,2,Study Room,1,Deposit2 months rent,Super Built up area 1244(115.57 sq.m.)  sq.ft.,Semifurnished,All," in Amanora Future Towers, Hadapsar, , Pune, Maharashtra",4th   of 30 Floors,East,Ceramic,Yes,,"1 Covered, 2 Open",Yes,Yes,None,1 Months,Charges not included,Full,1 to 5 Year Old
126," 15,500",2,3,Not given,1,"Deposit₹ 35,000/-",Carpet area: 866 (80.45 sq.m.)  sq.ft.,Furnished,All," in Sumangal Terrace, Sus , , Pune, Maharashtra",2nd   of 4 Floors,West,,Yes,,1 Covered,,,None,1 Months,Charges included,None,5 to 10 Year Old
127," 20,000",2,2,"Pooja Room,Others",3,"Deposit₹ 55,000/-",Super Built up area 806(74.88 sq.m.)Carpet area: 49.37 sq.m.  sq.ft.,Semifurnished,All," in Godrej Infinity, Kharadi, , Pune, Maharashtra",2nd   of 22 Floors,,,,,"1 Covered,  Open",,,11 Months,3 Months,Charges not included,None,0 to 1 Year Old
128,,,,Not given,0,,None,,None,,,,,,,,,,,,,,
129," 15,500",2,3,Not given,1,"Deposit₹ 35,000/-",Carpet area: 866 (80.45 sq.m.)  sq.ft.,Furnished,All," in Sumangal Terrace, Sus , , Pune, Maharashtra",2nd   of 4 Floors,West,,Yes,,1 Covered,,,None,1 Months,Charges included,None,5 to 10 Year Old
130," 20,000",2,2,"Pooja Room,Others",3,"Deposit₹ 55,000/-",Super Built up area 806(74.88 sq.m.)Carpet area: 49.37 sq.m.  sq.ft.,Semifurnished,All," in Godrej Infinity, Kharadi, , Pune, Maharashtra",2nd   of 22 Floors,,,,,"1 Covered,  Open",,,11 Months,3 Months,Charges not included,None,0 to 1 Year Old
131," 14,000",1,1,Not given,1,"Deposit₹ 50,000/-",Super Built up area 700(65.03 sq.m.)  sq.ft.,Semifurnished,All," in Kothari Star Gaze, Dhanori, , Pune, Maharashtra",2nd   of 5 Floors,,,,," Covered, 1 Open",,,24 Months,2 Months,Charges not included,None,5 to 10 Year Old
132," 30,000",4,3,Not given,3+,,Carpet area: 2000 (185.81 sq.m.)  sq.ft.,Semifurnished,All," in Kalpataru Splendour, Shankar Kalat Nagar, , Pune, Maharashtra",1st   of 12 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
133," 18,000",2,2,Not given,3,"Deposit₹ 50,000/-",Carpet area: 1140 (105.91 sq.m.)  sq.ft.,Unfurnished,Family Only," in Capriccio Apartment, Wakad, , Pune, Maharashtra",5th   of 7 Floors,South,Marble,,,1 Covered,,,11 Months,1 Months,Charges not included,Full,10+ Year Old
134," 15,500",2,2,Not given,1,"Deposit₹ 35,000/-",Built Up area: 800 (74.32 sq.m.)  sq.ft.,Semifurnished,Family Only," in Nyati Elan, Wagholi, , Pune, Maharashtra",2nd   of 12 Floors,,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
135," 12,000",2,2,Not given,1,"Deposit₹ 25,000/-",Carpet area: 700 (65.03 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kolte Patil IVY Estate, Wagholi, , Pune, Maharashtra",9th   of 11 Floors,,Vitrified,Yes,,1 Open,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
136, 8000,1,1,Not given,1,,Super Built up area 680(63.17 sq.m.)  sq.ft.,Unfurnished,Family Only," in daffodil hights, Dighi, , Pune, Maharashtra",2nd   of 4 Floors,,,,,1 Open,,,None,0 Months,Charges included,None,1 to 5 Year Old
137," 49,000",3,3,Others,3,"Deposit₹ 150,000/-",Super Built up area 3500(325.16 sq.m.)  sq.ft.,Furnished,All," in Marvel Cerise, Tulaja Bhawani Nagar, , Pune, Maharashtra",12nd   of 13 Floors,South-East,,Yes,,2 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
138," 14,000",2,1,Not given,,"Deposit₹ 40,000/-",Carpet area: 700 (65.03 sq.m.)  sq.ft.,Semifurnished,All," in Laukit co.op hsg soc ltd, Kothrud, , Pune, Maharashtra",2nd   of 4 Floors,West,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
139," 20,000",2,2,Not given,3,,Built Up area: 1100 (102.19 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.)  sq.ft.,Furnished,All," in 11 house, Baner, , Pune, Maharashtra",3rd   of 5 Floors,,,,,,,,None,0 Months,Charges included,None,1 to 5 Year Old
140, 8500,1,1,Others,1,"Deposit₹ 20,000/-",Carpet area: 640 (59.46 sq.m.)  sq.ft.,Unfurnished,Family Only," in Majestique Oasis, Wagholi, , Pune, Maharashtra",6th   of 12 Floors,East,Vitrified,,,"1 Covered,  Open",,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
141," 25,000",3,3,Not given,3,Deposit2 months rent,Super Built up area 1354(125.79 sq.m.)  sq.ft.,Unfurnished,All," in 5 Star Royal Entrada, Wakad, , Pune, Maharashtra",7th   of 12 Floors,,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
142," 16,000",1,1,Not given,2,"Deposit₹ 32,000/-",Super Built up area 540(50.17 sq.m.)  sq.ft.,Semifurnished,All," in Triveni hsg society, Pandurang Colony, , Pune, Maharashtra",2nd   of 4 Floors,North,,Yes,,"1 Covered, 0 Open",,,11 Months,1 Months,Charges not included,None,10+ Year Old
143," 15,000",1,2,Not given,1,,Carpet area: 507 (47.1 sq.m.)  sq.ft.,Unfurnished,All," in Godrej Infinity, Keshav Nagar, , Pune, Maharashtra",8th   of 24 Floors,,Vitrified,Yes,,1 Open,,,24 Months,0 Months,Charges not included,Full,0 to 1 Year Old
144," 13,000",1,2,Not given,2,"Deposit₹ 25,000/-",Carpet area: 500 (46.45 sq.m.)  sq.ft.,Semifurnished,All," in Tulsi Homes, Dhanori, , Pune, Maharashtra",3rd   of 4 Floors,,,Yes,,"1 Covered, 0 Open",,,None,1 Months,Charges not included,None,1 to 5 Year Old
145," 15,000",1,1,Not given,,"Maintenance₹ 1,500/- (/ month)Deposit₹ 50,000/-",Super Built up area 588(54.63 sq.m.)  sq.ft.,Furnished,Family Only," in Paranjape Lotus Court, Rambaug Colony, , Pune, Maharashtra",1st   of 16 Floors,,,Yes,,,,,None,0 Months,Charges not included,None,10+ Year Old
146," 24,000",3,2,Not given,2,"Deposit₹ 50,000/-",Built Up area: 1299 (120.68 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.)  sq.ft.,Unfurnished,All," in Atul Westernhills, Baner-Sus, , Pune, Maharashtra",3rd   of 9 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
147," 15,000",1,1,Others,,Deposit3 months rent,Carpet area: 500 (46.45 sq.m.)  sq.ft.,Semifurnished,All," in pushpamangal society, Sadashiv Peth, , Pune, Maharashtra",Ground of 3 Floors,East,Others,Yes,," Covered,  Open",,,12 Months,1 Months,Charges not included,None,10+ Year Old
148," 12,000",1,1,Not given,,"Deposit₹ 15,000/-",Super Built up area 610(56.67 sq.m.)Built Up area: 570 sq.ft. (52.95 sq.m.)  sq.ft.,Unfurnished,Family Only," in Ameya Apartments, Aundh, , Pune, Maharashtra",2nd   of 7 Floors,,,,," Covered, 1 Open",,,None,0 Months,Charges not included,None,5 to 10 Year Old
149," 11,000",1,1,Not given,1,"Brokerage₹ 11,000/- (Non-Negotiable)Deposit₹ 30,000/-",Super Built up area 700(65.03 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Rajas Society, Katraj, , Pune, Maharashtra",3rd   of 7 Floors,East,Ceramic,Yes,,1 Covered,,,None,1 Months,Charges not included,Full,1 to 5 Year Old
150," 10,000",1,1,Not given,1,"Deposit₹ 15,000/-",Super Built up area 594(55.18 sq.m.)  sq.ft.,Semifurnished,Family Only," in Rohan Abhilasha, Wagholi, , Pune, Maharashtra",5th   of 13 Floors,East,,,,1 Open,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
151," 22,000",2,2,Not given,1,"Deposit₹ 60,000/-",Super Built up area 1200(111.48 sq.m.)  sq.ft.,Semifurnished,Family Only," in BU Bhandari Hill Side Phase 2, Baner, , Pune, Maharashtra",4th   of 8 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
152," 14,000",1,1,Not given,1,"Deposit₹ 40,000/-",Super Built up area 61.68  sq.m.,Semifurnished,All," in Saarrthi Skybay, Balewadi, , Pune, Maharashtra",10th   of 17 Floors,,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges included,Partial,1 to 5 Year Old
153," 37,000",3,4,Not given,1,"Deposit₹ 150,000/-",Plot area 1200(111.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)  sq.ft.,Unfurnished,All," in Gulmohar Apartments, Baner, , Pune, Maharashtra",,East,Vitrified,,,1 Open,,,36 Months,1 Months,Charges not included,None,10+ Year Old
154," 30,000",2,2,Not given,2,Deposit3 months rent,Super Built up area 1240(115.2 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.)  sq.ft.,Semifurnished,All," in Naiknavare Mystique Moods, Mhada Colony, , Pune, Maharashtra",8th   of 8 Floors,,,,,1 Covered,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
155," 17,000",2,2,Not given,1,"Deposit₹ 50,000/-",Super Built up area 988(91.79 sq.m.)Carpet area: 760 sq.ft. (70.61 sq.m.)  sq.ft.,Semifurnished,All," in Megapolis Sparklet, Hinjewadi, , Pune, Maharashtra",14th   of 14 Floors,East,Ceramic,,,"1 Covered,  Open",,,None,0 Months,Charges not included,Partial,5 to 10 Year Old
156," 18,000",2,2,Not given,3,"Deposit₹ 50,000/-",Carpet area: 736 (68.38 sq.m.)  sq.ft.,Semifurnished,All," in Nirvaan Oneness, Wakad, , Pune, Maharashtra",7th   of 12 Floors,,,Yes,," Covered, 1 Open",,,12 Months,0 Months,Charges not included,None,0 to 1 Year Old
157," 13,000",1,1,Not given,1,,Carpet area: 650 (60.39 sq.m.)  sq.ft.,Semifurnished,All," in Pride Long Island, Charholi, , Pune, Maharashtra",3rd   of 10 Floors,,,,,1 Open,,,12 Months,1 Months,Charges included,None,1 to 5 Year Old
158," 18,000",2,2,Not given,1,"Maintenance₹ 3,000/- (/ month)Deposit3 months rent",Super Built up area 940(87.33 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.)  sq.ft.,Unfurnished,Family Only," in Vilas Javdekar Prudentia Towers, Shankar Kalat Nagar, , Pune, Maharashtra",1st   of 15 Floors,West,Ceramic,Yes,Yes,"1 Covered,  Open",Yes,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
