rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"13,500",1,1,Not given,2,"Deposit₹ 30,000/-",Carpet area: 625 (58.06 sq.m.)  sq.ft.,Unfurnished,Family Only," in Tirupati Campus Phase 4, Tingle Nagar, Tingre Nagar, , Pune, Maharashtra",2nd   of 3 Floors,,,,," Covered, 1 Open",,,None,2 Months,Charges not included,Partial,10+ Year Old
"20,000",2,2,Pooja Room,1,"Deposit₹ 50,000/-",Super Built up area 824(76.55 sq.m.)  sq.ft.,Furnished,All," in Magarpatta Grevillea, Magarpatta, , Pune, Maharashtra",6th   of 6 Floors,,Marble,Yes,,1 Covered,,,12 Months,1 Months,Charges not included,None,10+ Year Old
9000,2,2,Others,2,Maintenance₹ 1/- (/ month)Brokerage₹ 9/- (Non-Negotiable),Super Built up area 1000(92.9 sq.m.)Built Up area: 990 sq.ft. (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.)  sq.ft.,Semifurnished,All," in Kolte Patil Umang Primo, Wagholi, , Pune, Maharashtra",6th   of 13 Floors,East,Vitrified,,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"19,000",2,2,Not given,3,"Deposit₹ 55,000/-",Built Up area: 965 (89.65 sq.m.)Carpet area: 714 sq.ft. (66.33 sq.m.)  sq.ft.,Semifurnished,All," in Godrej Infinity, Keshav Nagar, , Pune, Maharashtra",11st   of 24 Floors,East,Ceramic,Yes,,1 Covered,,,12 Months,2 Months,Charges included,Full,0 to 1 Year Old
"14,000",1,1,Not given,1,"Deposit₹ 45,000/-",Carpet area: 600 (55.74 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in The Address, Wakad, , Pune, Maharashtra",7th   of 7 Floors,North,Granite,Yes,,"1 Covered,  Open",,,11 Months,0 Months,Charges not included,Partial,0 to 1 Year Old
"17,000",1,1,Not given,1,"Deposit₹ 40,000/-",Built Up area: 550 (51.1 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.)  sq.ft.,Unfurnished,Family Only," in Konark Campus, Viman Nagar, , Pune, Maharashtra",6th   of 7 Floors,North,,Yes,,,,Yes,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"16,000",3,3,Not given,2,,Built Up area: 1255 (116.59 sq.m.)Carpet area: 985 sq.ft. (91.51 sq.m.)  sq.ft.,Unfurnished,Family Only," in Life Montage Apartment, Sus , , Pune, Maharashtra",9th   of 14 Floors,,,Yes,Yes,,,Yes,None,1 Months,Charges included,None,1 to 5 Year Old
"18,000",2,2,Not given,1,"Deposit₹ 30,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Semifurnished,All," in reverie society, wadheshwar nagar, , Pune, Maharashtra",2nd   of 4 Floors,East,Vitrified,Yes,,"1 Covered, 10 Open",,,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
4000,1,1,Not given,1,,Super Built up area 586(54.44 sq.m.)  sq.ft.,Unfurnished,All," in Narayan Baug, Kirkatwadi, , Pune, Maharashtra",2nd   of 4 Floors,,,,,"1 Covered, 1 Open",,,None,0 Months,Charges included,None,1 to 5 Year Old
"15,000",1,1,Not given,1,,Carpet area: 750 (69.68 sq.m.)  sq.ft.,Semifurnished,All," in Shanti Complex, Mangalwar Peth, , Pune, Maharashtra",2nd   of 3 Floors,,Concrete,,," Covered,  Open",,,None,0 Months,Charges not included,None,10+ Year Old
"15,000",2,2,Not given,1,,Carpet area: 926 (86.03 sq.m.)  sq.ft.,Semifurnished,All," in ARV Imperia, Pisoli, , Pune, Maharashtra",6th   of 15 Floors,East,Others,,,,,,None,0 Months,Charges not included,Full,0 to 1 Year Old
"20,000",2,2,Not given,3+,"Maintenance₹ 3,000/- (/ month)Deposit₹ 60,000/-",Carpet area: 735 (68.28 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kiarah Terrazo, Well Wisher Group, Shinde Vasti, Hadapsar, , Pune, Maharashtra",4th   of 16 Floors,East,Vitrified,Yes,,1 Open,Yes,,12 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"25,000",3,3,Not given,2,"Deposit₹ 75,000/-",Super Built up area 1550(144 sq.m.)  sq.ft.,Semifurnished,All," in Laxmi Angan, Pimple Saudagar, , Pune, Maharashtra",4th   of 8 Floors,,,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
9500,1,1,Not given,3,,Super Built up area 600(55.74 sq.m.)  sq.ft.,Unfurnished,Family Only," in Paranjape Forest Trails Pebbles, Bhugaon, , Pune, Maharashtra",1st   of 11 Floors,East,Vitrified,Yes,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"13,000",2,2,Not given,2,,Carpet area: 627.4 (58.29 sq.m.)  sq.ft.,Semifurnished,Family Only," in Ishwar River Residency, Moshi, , Pune, Maharashtra",8th   of 12 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,,None,1 Months,Charges not included,Partial,1 to 5 Year Old
8000,2,2,Not given,1,Deposit3 months rent,Carpet area: 921 (85.56 sq.m.)  sq.ft.,Unfurnished,All," in jogeshwari tower, Keshav Nagar, , Pune, Maharashtra",4th   of 4 Floors,,,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"15,000",2,2,Not given,1,"Deposit₹ 15,000/-",Carpet area: 1200 (111.48 sq.m.)  sq.ft.,Semifurnished,All," in Left Bhusari Colony, Kothrud, , Pune, Maharashtra",Ground of 1 Floors,South,Mosaic,Yes,,"1 Covered, 1 Open",Yes,Yes,None,0 Months,Charges included,Partial,10+ Year Old
"22,000",2,2,Not given,1,Deposit2 months rent,Built Up area: 960 (89.19 sq.m.)Carpet area: 725 sq.ft. (67.35 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Atlantis, Balewadi, , Pune, Maharashtra",2nd   of 15 Floors,North-West,Ceramic,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"14,000",2,2,Not given,,"Deposit₹ 30,000/-",Built Up area: 850 (78.97 sq.m.)  sq.ft.,Unfurnished,All," in Mahesh Society, Bibwewadi, , Pune, Maharashtra",2nd   of 3 Floors,North,Mosaic,Yes,Yes,1 Covered,,Yes,11 Months,0 Months,Charges included,None,10+ Year Old
"17,000",2,2,Not given,1,"Deposit₹ 40,000/-",Carpet area: 820 (76.18 sq.m.)  sq.ft.,Semifurnished,All," in Shanti vihar Apartment, Bavdhan, , Pune, Maharashtra",3rd   of 5 Floors,East,,,,,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
"12,500",2,2,Not given,1,"Maintenance₹ 2,300/- (/ month)Deposit2 months rent",Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Semifurnished,All," in Krisala 41 Estera, Punawale, , Pune, Maharashtra",6th   of 12 Floors,West,Marble,Yes,,1 Covered,Yes,,None,2 Months,Charges not included,Full,1 to 5 Year Old
"20,000",2,2,Not given,1,"Deposit₹ 75,000/-",Super Built up area 1400(130.06 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kirti Crest Avenue, Baner, , Pune, Maharashtra",5th   of 11 Floors,West,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
8000,1,2,Not given,2,Deposit2 months rent,Super Built up area 650(60.39 sq.m.)  sq.ft.,Unfurnished,Family Only," in on Request, Katraj, , Pune, Maharashtra",3rd   of 4 Floors,West,,Yes,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"11,500",2,1,Not given,,"Deposit₹ 30,000/-",Super Built up area 625(58.06 sq.m.)  sq.ft.,Unfurnished,All," in Mauli Apartments, Pimple Gurav, , Pune, Maharashtra",Ground of 5 Floors,,,Yes,,,,,None,0 Months,Charges not included,None,Under Construction
"13,000",1,1,Not given,1,"Brokerage₹ 13,000/- (Non-Negotiable)Deposit₹ 30,000/-",Carpet area: 480 (44.59 sq.m.)  sq.ft.,Semifurnished,All," in Sarthi Sovereign Society, Baner, , Pune, Maharashtra",10th   of 12 Floors,East,Vitrified,Yes,,"1 Covered,  Open",Yes,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
"13,000",1,1,Not given,1,"Brokerage₹ 13,000/- (Non-Negotiable)Deposit₹ 30,000/-",Carpet area: 480 (44.59 sq.m.)  sq.ft.,Semifurnished,All," in Sarthi Sovereign Society, Baner, , Pune, Maharashtra",10th   of 12 Floors,East,Vitrified,Yes,,"1 Covered,  Open",Yes,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"17,000",2,2,Not given,2,"Deposit₹ 50,000/-",Super Built up area 1150(106.84 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.)  sq.ft.,Unfurnished,All," in La Cabana, Sus , , Pune, Maharashtra",4th   of 5 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,0 to 1 Year Old
"15,500",2,2,Not given,1,"Deposit₹ 40,000/-",Super Built up area 952(88.44 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 829 sq.ft. (77.02 sq.m.)  sq.ft.,Semifurnished,All," in Ganesh Siddhi Towers, Dapodi, , Pune, Maharashtra",3rd   of 9 Floors,South-East,Vitrified,Yes,,1 Covered,,,24 Months,1 Months,Charges not included,Partial,10+ Year Old
4500,1,1,Others,1,Deposit₹ 2/-,Super Built up area 620(57.6 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.)  sq.ft.,Furnished,Bachelors (Men/Women)," in Parmar Marudhar Residency, Kondhwa Budruk, , Pune, Maharashtra",5th   of 10 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges not included,Partial,0 to 1 Year Old
"17,000",2,2,Not given,1,"Deposit₹ 35,000/-",Carpet area: 775 (72 sq.m.)  sq.ft.,Semifurnished,All," in Mhada Chs, Morwadi, , Pune, Maharashtra",4th   of 12 Floors,,,Yes,,"1 Covered,  Open",,,None,1 Months,Charges not included,Full,1 to 5 Year Old
