rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"25,000",2,2,Not given,1,"Deposit₹ 100,000/-",Super Built up area 1200(111.48 sq.m.)Built Up area: 1180 sq.ft. (109.63 sq.m.)Carpet area: 1080 sq.ft. (100.34 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kumar Pinnacle, Sangamvadi, , Pune, Maharashtra",8th   of 8 Floors,East,Vitrified,Yes,Yes,,Yes,,11 Months,1 Months,Charges not included,Full,10+ Year Old
8000,1,1,Not given,1,"Deposit₹ 20,000/-",Plot area 750(69.68 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in Munjaba Vasti, , Pune, Maharashtra",,,,,,"1 Covered, 1 Open",,,12 Months,0 Months,Charges not included,None,1 to 5 Year Old
"11,000",2,2,Not given,2,"Deposit₹ 40,000/-",Carpet area: 700 (65.03 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Sunrise avenue , Dhayarigoan, , Pune, Maharashtra",3rd   of 5 Floors,East,Ceramic,,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"20,000",2,2,Pooja Room,2,"Deposit₹ 50,000/-",Carpet area: 65   sq.m.,Semifurnished,Family Only," in Sanctuary,F802,behind Bird Valley, Shahunagar, , Pune, Maharashtra",8th   of 11 Floors,North-West,Vitrified,Yes,,"1 Covered, 1 Open",,,None,2 Months,Charges not included,Partial,0 to 1 Year Old
"11,500",1,1,Not given,1,"Maintenance₹ 660/- (/ month)Deposit₹ 30,000/-",Super Built up area 550(51.1 sq.m.)Built Up area: 530 sq.ft. (49.24 sq.m.)Carpet area: 520 sq.ft. (48.31 sq.m.)  sq.ft.,Semifurnished,All," in Vardhaman Garden CHSL, Hadapsar, , Pune, Maharashtra",1st   of 3 Floors,West,Mosaic,Yes,,"1 Covered, 1 Open",,,None,0 Months,Charges not included,None,10+ Year Old
"10,000",1,1,Not given,1,"Deposit₹ 30,000/-",Carpet area: 555 (51.56 sq.m.)  sq.ft.,Unfurnished,All," in Saj Shree Society, Opposite SP Infosity Phursungi, , Pune, Maharashtra",1st   of 5 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
6000,1,1,Not given,1,"Deposit₹ 10,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Unfurnished,All," in Trimurti Niwas, Lohegaon, , Pune, Maharashtra",2nd   of 2 Floors,,Ceramic,,,1 Covered,,,None,1 Months,Charges not included,None,5 to 10 Year Old
8000,1,1,Not given,1,,Super Built up area 532(49.42 sq.m.)  sq.ft.,Unfurnished,All," in Nilesh Binawat Park, Hadapsar, , Pune, Maharashtra",2nd   of 3 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges included,None,5 to 10 Year Old
"17,000",2,2,Not given,2,"Deposit₹ 40,000/-",Built Up area: 1250 (116.13 sq.m.)Carpet area: 1060 sq.ft. (98.48 sq.m.)  sq.ft.,Unfurnished,Family Only," in Suryodaya Apartment, Pimple Nilakh, , Pune, Maharashtra",2nd   of 4 Floors,,Marble,,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
6500,1,1,Not given,,"Deposit₹ 13,000/-",Carpet area: 465 (43.2 sq.m.)  sq.ft.,Semifurnished,Family Only," in Xrbia Hinjewadi Road, Nere, , Pune, Maharashtra",5th   of 10 Floors,,Marble,Yes,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
