rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"11,000",1,1,Not given,,"Deposit₹ 35,000/-",Carpet area: 430 (39.95 sq.m.)  sq.ft.,Semifurnished,All," in Runwal Enclave, Kothrud, , Pune, Maharashtra",3rd   of 3 Floors,South,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
5000,1,1,Not given,,Deposit2 months rent,Built Up area: 300 (27.87 sq.m.)  sq.ft.,Unfurnished,Bachelors (Men/Women)," in Chinchwad, , Pune, Maharashtra",3rd   of 4 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"22,500",2,2,Not given,2,"Deposit₹ 50,000/-",Carpet area: 1101 (102.29 sq.m.)  sq.ft.,Semifurnished,Family Only," in Royal Enrich, Magarpatta, , Pune, Maharashtra",8th   of 16 Floors,West,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"18,000",1,2,Not given,2,,Super Built up area 650(60.39 sq.m.)  sq.ft.,Furnished,All," in Pentium Classic Apartment, Bavdhan, , Pune, Maharashtra",3rd   of 3 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,5 to 10 Year Old
"10,999",1,1,Not given,,"Brokerage₹ 10,999/- (Negotiable)Deposit₹ 24,999/-",Super Built up area 250(23.23 sq.m.)Built Up area: 220 sq.ft. (20.44 sq.m.)Carpet area: 180 sq.ft. (16.72 sq.m.)  sq.ft.,Semifurnished,All," in Balewadi Phata, , Pune, Maharashtra",1st   of 3 Floors,West,Vitrified,,Yes,,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
7000,1,1,Not given,,Deposit3 months rent,Built Up area: 550 (51.1 sq.m.)  sq.ft.,Unfurnished,Family Only," in Vighnaharta Nagar, , Pune, Maharashtra",3rd   of 4 Floors,North-East,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
5500,1,1,Not given,1,"Deposit₹ 15,000/-",Built Up area: 550 (51.1 sq.m.)  sq.ft.,Unfurnished,All," in Shivane, , Pune, Maharashtra",4th   of 5 Floors,North,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"11,000",1,1,Not given,1,"Deposit₹ 20,000/-",Carpet area: 650 (60.39 sq.m.)  sq.ft.,Unfurnished,All," in Varad Reaidency, Pimple Gurav, , Pune, Maharashtra",2nd   of 4 Floors,North-West,,,,"1 Covered, 1 Open",,,None,0 Months,Charges not included,None,0 to 1 Year Old
"15,000",1,2,Not given,1,"Maintenance₹ 1,500/- (/ month)Deposit₹ 50,000/-",Super Built up area 800(74.32 sq.m.)Built Up area: 750 sq.ft. (69.68 sq.m.)  sq.ft.,Furnished,Family Only," in Riviera Apartments, Wanwadi, , Pune, Maharashtra",4th   of 4 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"15,000",2,2,Not given,2,"Maintenance₹ 300/- (/ month)Deposit₹ 40,000/-",Plot area 1000(92.9 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.)  sq.ft.,Unfurnished,All," in sai niwas, Khese Park, , Pune, Maharashtra",,East,Marble,Yes,,"1 Covered, 1 Open",,Yes,None,0 Months,Charges not included,None,0 to 1 Year Old
"18,000",2,2,Not given,1,"Deposit₹ 40,000/-",Carpet area: 810 (75.25 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kamdhenu Jasmine, Pimple Saudagar, , Pune, Maharashtra",3rd   of 7 Floors,East,,Yes,,1 Covered,,Yes,11 Months,2 Months,Charges not included,None,1 to 5 Year Old
"38,000",3,3,Not given,1,"Deposit₹ 100,000/-",Carpet area: 1224 (113.71 sq.m.)  sq.ft.,Semifurnished,Family Only," in Clover Acropolis, Viman Nagar, , Pune, Maharashtra",1st   of 12 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
"22,000",2,2,Not given,1,"Deposit₹ 40,000/-",Super Built up area 1098(102.01 sq.m.)  sq.ft.,Furnished,All," in VTP Urban Nirvana, Tulaja Bhawani Nagar, , Pune, Maharashtra",6th   of 11 Floors,,Vitrified,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"16,500",2,2,Not given,2,"Deposit₹ 65,000/-",Super Built up area 870(80.83 sq.m.)  sq.ft.,Semifurnished,Family Only," in Sagar D Wisteria Park, Sinhgad Road, , Pune, Maharashtra",10th   of 11 Floors,,,Yes,,1 Covered,,,24 Months,1 Months,Charges not included,Full,5 to 10 Year Old
8000,1,1,Not given,1,"Deposit₹ 25,000/-",Carpet area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,Family Only," in Katake Niwas, Market yard, , Pune, Maharashtra",2nd   of 4 Floors,,,,,"2 Covered,  Open",,,None,1 Months,Charges not included,None,5 to 10 Year Old
"12,000",1,1,Not given,1,"Brokerage₹ 12,000/- (Negotiable)Deposit₹ 25,000/-",Super Built up area 600(55.74 sq.m.)Built Up area: 550 sq.ft. (51.1 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.)  sq.ft.,Unfurnished,All," in Prathamesh park, Prathamesh Park, , Pune, Maharashtra",2nd   of 3 Floors,East,Vitrified,Yes,Yes,"1 Covered,  Open",,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"11,000",1,2,Pooja Room,2,Deposit2 months rent,Carpet area: 500 (46.45 sq.m.)  sq.ft.,Unfurnished,All," in Pathare Complex, Tulaja Bhawani Nagar, , Pune, Maharashtra",1st   of 4 Floors,East,Vitrified,Yes,,"1 Covered, 10 Open",,,11 Months,1 Months,Charges included,None,0 to 1 Year Old
6000,1,1,Not given,,"Maintenance₹ 200/- (/ month)Deposit₹ 10,000/-",Super Built up area 380(35.3 sq.m.)Built Up area: 350 sq.ft. (32.52 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.)  sq.ft.,Unfurnished,All," in Seema Garden, Ramkrishna Paramhans Nagar, , Pune, Maharashtra",Ground of 3 Floors,,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"25,000",2,2,Not given,1,"Deposit₹ 50,000/-",Built Up area: 1000 (92.9 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Men Only)"," in Raheja Gardens, Wanwadi, Wanowrie, , Pune, Maharashtra",3rd   of 5 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,0 Months,Charges not included,Partial,5 to 10 Year Old
"13,000",2,2,Not given,2,"Maintenance₹ 1,000/- (/ month)Deposit₹ 50,000/-",Carpet area: 75.48   sq.m.,Unfurnished,Family Only," in Urban Nest, Undri, , Pune, Maharashtra",3rd   of 11 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,0 to 1 Year Old
"18,500",2,2,Others,2,"Maintenance₹ 1,500/- (/ month)Deposit₹ 45,000/-",Super Built up area 1170.66(108.76 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Men Only)"," in Bora Ville, Kharadi, , Pune, Maharashtra",1st   of 5 Floors,,,,,"1 Covered, 1 Open",,,None,1 Months,Charges not included,None,1 to 5 Year Old
"20,000",2,2,Not given,1,"Deposit₹ 50,000/-",Built Up area: 935 (86.86 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Venus Heights Phase 1, Baner, , Pune, Maharashtra",2nd   of 8 Floors,,Ceramic,Yes,Yes,1 Covered,Yes,Yes,12 Months,2 Months,Charges not included,Partial,1 to 5 Year Old
"35,000",3,3,Not given,1,"Deposit₹ 100,000/-",Super Built up area 1835(170.48 sq.m.)Carpet area: 1655 sq.ft. (153.75 sq.m.)  sq.ft.,Semifurnished,Family Only," in Marvel Arco, Hadapsar, , Pune, Maharashtra",7th   of 12 Floors,East,Marble,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"12,000",1,1,Not given,,"Deposit₹ 25,000/-",Carpet area: 570 (52.95 sq.m.)  sq.ft.,Semifurnished,All," in garve residency, Pimple Gurav, , Pune, Maharashtra",4th   of 4 Floors,East,Ceramic,Yes,,1 Open,,,11 Months,1 Months,Charges not included,None,10+ Year Old
"20,000",2,2,Not given,1,"Deposit₹ 50,000/-",Built Up area: 935 (86.86 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Venus Heights Phase 1, Baner, , Pune, Maharashtra",2nd   of 8 Floors,,Ceramic,Yes,Yes,1 Covered,Yes,Yes,12 Months,2 Months,Charges not included,Partial,1 to 5 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
"21,000",2,2,Pooja Room,1,"Deposit₹ 50,000/-",Carpet area: 75.56   sq.m.,Semifurnished,All," in Prestige Gold, Keshav Nagar, , Pune, Maharashtra",4th   of 17 Floors,East,Vitrified,Yes,,1 Open,Yes,,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
"18,000",1,2,Not given,1,"Deposit₹ 50,000/-",Built Up area: 1050 (97.55 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in GK Rose Valley, Pimple Saudagar, , Pune, Maharashtra",4th   of 7 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges included,Full,1 to 5 Year Old
"24,000",3,3,Others,2,"Maintenance₹ 100/- ((one time fee))Brokerage₹ 24,000/- (Non-Negotiable)Deposit₹ 60,000/-",Plot area 2000(185.81 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.)  sq.ft.,Unfurnished,All," in Shreeram Villa, Dhanori, , Pune, Maharashtra",,East,Vitrified,Yes,,1 Open,,Yes,11 Months,0 Months,Charges not included,Full,1 to 5 Year Old
"14,400",2,2,Not given,2,,Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in RajHeramba Venkatesh Imperia, Pandhare Wasti, , Pune, Maharashtra",10th   of 13 Floors,,,,,"1 Covered, 0 Open",,,None,0 Months,Charges not included,None,1 to 5 Year Old
"13,000",2,2,Not given,2,,Carpet area: 700 (65.03 sq.m.)  sq.ft.,Semifurnished,All," in Swaraaj Pride, Punawale, , Pune, Maharashtra",5th   of 6 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
"18,000",2,2,Not given,2,,Super Built up area 850(78.97 sq.m.)  sq.ft.,Semifurnished,All," in Royal Orange County, Rahatani, , Pune, Maharashtra",1st   of 12 Floors,,Vitrified,Yes,,"1 Covered,  Open",Yes,Yes,None,2 Months,Charges not included,Partial,1 to 5 Year Old
"12,000",2,2,Others,2,"Deposit₹ 36,000/-",Super Built up area 980(91.04 sq.m.)  sq.ft.,Unfurnished,Family Only," in Mantra IRA, Undri, , Pune, Maharashtra",2nd   of 11 Floors,,,,,"1 Covered, 1 Open",,,None,0 Months,Charges not included,None,1 to 5 Year Old
"12,000",1,1,Not given,,"Deposit₹ 40,000/-",Carpet area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,Family Only," in om sadan apartment, Kothrud, , Pune, Maharashtra",Ground of 3 Floors,West,Others,,," Covered, 1 Open",,,11 Months,2 Months,Charges not included,None,10+ Year Old
"13,500",2,2,Not given,1,Deposit2 months rent,Carpet area: 59.02   sq.m.,Semifurnished,Family Only," in Suyog Nisarg, Wagholi, , Pune, Maharashtra",2nd   of 10 Floors,East,Ceramic,Yes,,1 Open,Yes,Yes,12 Months,1 Months,Charges not included,None,1 to 5 Year Old
7500,1,1,Not given,1,Deposit3 months rent,Plot area 550(51.1 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in Wagholi, , Pune, Maharashtra",,East,Polished concrete,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"14,500",1,1,Not given,,Deposit3 months rent,Carpet area: 490 (45.52 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Parmar Park Phase 2, Wanowrie, , Pune, Maharashtra",4th   of 04 Floors,North-East,Vitrified,Yes,,"0 Covered, 1 Open",Yes,Yes,11 Months,2 Months,Charges not included,Full,5 to 10 Year Old
4000,1,1,Not given,1,,Built Up area: 600 (55.74 sq.m.)  sq.ft.,Semifurnished,Bachelors (Men Only)," in Mahalunge, , Pune, Maharashtra",2nd   of 3 Floors,,Vitrified,Yes,,1 Covered,,,None,0 Months,Charges included,Partial,1 to 5 Year Old
"22,000",2,2,Not given,1,"Deposit₹ 40,000/-",Super Built up area 930(86.4 sq.m.)  sq.ft.,Unfurnished,Family Only," in Magarpatta City Iris, Magarpatta, , Pune, Maharashtra",7th   of 10 Floors,,,,,1 Covered,,,None,1 Months,Charges not included,None,5 to 10 Year Old
"15,500",2,2,Not given,1,"Deposit₹ 50,000/-",Built Up area: 1008 (93.65 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kumar Megapolis, Hinjewadi, , Pune, Maharashtra",9th   of 14 Floors,East,,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"12,000",1,1,Not given,,"Deposit₹ 25,000/-",Plot area 600(55.74 sq.m.)  sq.ft.,Semifurnished,Family Only," in Baner Gaon.pune 45 maharashtra, near shree savtamali mandir, , Pune, Maharashtra",,East,Others,Yes,," Covered,  Open",,,11 Months,1 Months,Charges not included,None,10+ Year Old
"15,500",2,2,Not given,1,"Deposit₹ 50,000/-",Super Built up area 1150(106.84 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 756 sq.ft. (70.23 sq.m.)  sq.ft.,Semifurnished,Family Only," in Rainbow Revell Orchid, Lohegaon, , Pune, Maharashtra",5th   of 11 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,0 Months,Charges not included,Partial,1 to 5 Year Old
"12,000",2,2,Not given,2,,Plot area 1200(111.48 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kate Wasti, , Pune, Maharashtra",,,,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
"14,000",1,1,Not given,,"Deposit₹ 25,000/-",Carpet area: 400 (37.16 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in Yashovinayak Apartment, Shaniwar Peth, , Pune, Maharashtra",2nd   of 4 Floors,East,Mosaic,,," Covered,  Open",,,11 Months,2 Months,Charges not included,None,10+ Year Old
"18,000",2,2,Not given,1,"Deposit₹ 36,000/-",Carpet area: 900 (83.61 sq.m.)  sq.ft.,Unfurnished,All," in SRK Herambh, Pashan-Sus Road, , Pune, Maharashtra",1st   of 6 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,5 to 10 Year Old
5500,1,1,Not given,,"Deposit₹ 10,000/-",Plot area 280(26.01 sq.m.)  sq.ft.,Semifurnished,All," in DS Kasturba CHS, Vishrantwadi, , Pune, Maharashtra",,East,,,," Covered,  Open",,,None,0 Months,Charges not included,None,10+ Year Old
"29,000",2,2,Not given,2,Deposit4 months rent,Super Built up area 1226(113.9 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Nahar F Residences, Balewadi, , Pune, Maharashtra",14th   of 24 Floors,West,Vitrified,Yes,,"1 Covered,  Open",Yes,Yes,24 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"18,000",2,1,Not given,,"Deposit₹ 150,000/-",Super Built up area 880(81.75 sq.m.)  sq.ft.,Semifurnished,Family Only," in Alkapuri Society, Kothrud, , Pune, Maharashtra",2nd   of 4 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
"14,000",1,1,Not given,,"Deposit₹ 50,000/-",Built Up area: 1000 (92.9 sq.m.)  sq.ft.,Unfurnished,Family Only," in Akurdi, , Pune, Maharashtra",,South-East,Others,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
"40,000",4,5,Not given,1,"Deposit₹ 200,000/-",Built Up area: 2000 (185.81 sq.m.)  sq.ft.,Furnished,Family Only," in S Balan Sai Kamal Residency, Pashan, , Pune, Maharashtra",,,,Yes,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
"18,000",2,2,Not given,1,"Deposit₹ 50,000/-",Super Built up area 927(86.12 sq.m.)  sq.ft.,Unfurnished,All," in Zinnia Elegans, Wakad, , Pune, Maharashtra",8th   of 10 Floors,North,Vitrified,,," Covered, 1 Open",,,24 Months,0 Months,Charges not included,Partial,0 to 1 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
"20,000",2,2,Not given,1,"Deposit₹ 50,000/-",Super Built up area 1200(111.48 sq.m.)  sq.ft.,Semifurnished,Family Only," in Sai Ganesh Vila, Kothrud, , Pune, Maharashtra",2nd   of 7 Floors,West,,,,,,,None,0 Months,Charges not included,Partial,10+ Year Old
"25,000",2,2,Not given,2,Deposit3 months rent,Built Up area: 1140 (105.91 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.)  sq.ft.,Furnished,All," in Magarpatta City Roystonea, Magarpatta, , Pune, Maharashtra",3rd   of 11 Floors,East,,Yes,,"1 Covered,  Open",,,11 Months,1 Months,Charges not included,None,10+ Year Old
"12,000",2,2,Not given,1,Deposit3 months rent,Carpet area: 700 (65.03 sq.m.)  sq.ft.,Unfurnished,All," in Little Earth Masulkar City, Ravet, , Pune, Maharashtra",6th   of 12 Floors,West,Granite,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"30,500",3,3,Others,1,"Deposit₹ 90,000/-",Super Built up area 1670(155.15 sq.m.)Built Up area: 1572 sq.ft. (146.04 sq.m.)  sq.ft.,Semifurnished,All," in Marvel Azure, Magarpatta, , Pune, Maharashtra",3rd   of 12 Floors,East,,,,"1 Covered,  Open",,,None,1 Months,Charges not included,None,1 to 5 Year Old
3500,1,1,"Pooja Room,Study Room,Servant Room,Others",1,Deposit1 months rent,Plot area 1100(102.19 sq.m.)  sq.ft.,Unfurnished,All," in Eco Gram, Shikrapur, , Pune, Maharashtra",,North-East,Granite,,,"1 Covered, 1 Open",Yes,Yes,None,1 Months,Charges not included,Partial,1 to 5 Year Old
"28,000",2,2,Others,3,"Deposit₹ 80,000/-",Super Built up area 1100(102.19 sq.m.)  sq.ft.,Furnished,Family Only," in Ajit Blue Berry, Tulaja Bhawani Nagar, , Pune, Maharashtra",1st   of 10 Floors,East,,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
