,locality
Adarsh Colony,5
Viman Nagar,5
 Raghavendra Nagar,5
 Nandini Takle Nagar,5
 Sathe Nagar,4
 Digambar Nagar,4
Magarpatta,4
 Kalas,4
 Wadmukhwadi,4
 Walhekarwadi,4
Tilekar Nagar,4
Dattawadi,4
 Ashok Nagar,4
 Bhelkenagar,4
 Shivtirth Nagar,4
Koregaon Park,4
 Sai Nagar Park,4
Shaniwar Peth,4
 Mate Nagar,4
 Bhawani Peth,4
 Sector-6 Moshi,4
 Hanuman Nagar,4
 Mohanwadi,4
 Adarsh Colony,4
 Jaymala Nagar,4
 Sai Vittal Nagar,4
 Suryalok Nagari,4
 Erandwana Gaothan,4
 Ideal Colony,4
 Malwadi,4
Kondhwa,4
 Sant Nagar,4
 Kalepadal,4
 Vidyanagar,4
Tukaram Nagar,4
 Gondhale Nagar,4
Walhekarwadi,4
 Kasba Peth,4
Yerwada,4
 Mamurdi,4
Rahatani,4
Wanowrie,4
 Law College Road,4
Narhe,4
Dehu Road,4
 Pawana Nagar,4
Munjaba Vasti,4
 Nande,4
Laxmi Nagar,4
 Bhujbal Vasti,4
 Shikrapur,4
 Nehru Nagar,4
 Wanawari,4
 Laxmi Nagar,4
Ambegaon Pathar,4
 Sudarshan Nagar,4
 Aundh Annexe,4
 F C Road,3
 Talajai Pathar,3
Moshi,3
 Koregaon Bhima,3
 Borhade Wadi,3
 Bankar Vasti,3
 Uruli Kanchan,3
Kalewadi Phata,3
 Ram Nagar,3
 Charholi Kurd,3
 Sasane Colony,3
 Karve Road,3
Balewadi Phata,3
 Baderaj Colony,3
 Santosh Nagar,3
Kale Padal,3
 Kamgar Nagar,3
 Udyog Nagar,3
 Sahakar Nagar,3
 Shree Datta Colony,3
 Shindenagar,3
 J.M Road,3
 Jijai Nagar,3
Ravet,3
 Guruvar Peth,3
Pimple Saudagar,3
 Ambegaon Kh,3
 Tapkir Nagar,3
Old Sangvi,3
 Bhandarkar Road,3
 Veerbhadra Nagar,3
 Shanti Nagar,3
Dhayari,3
Hinjewadi,3
 Gulab Nagar,3
 Kharabwadi,3
 Vaiduwadi,3
Manjri BK,3
Ghorpade Peth,3
 Indrayani Nagar,3
 Nimbalkar Nagar,3
Pashan-Sus Road,3
 Vishnupuram Colony,3
 Sector No-3 Bhosari,3
 Krushna Colony,3
 Sakal Nagar,3
 New Nana Peth,3
 Wadachi Wadi,3
Ganesh Nagar,3
 Panchawati,3
 Shirgaon,3
Talegaon Dabhade,3
 Pragati Nagar,3
Daund,3
