rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"12,000",2,2,Not given,2,"Deposit₹ 30,000/-",Carpet area: 654 (60.76 sq.m.)  sq.ft.,Unfurnished,Family Only," in Legacy Sai Vastu Park, Chikhali, , Pune, Maharashtra",7th   of 8 Floors,North,Vitrified,,,"1 Covered,  Open",,,None,0 Months,Charges not included,Full,0 to 1 Year Old
"16,000",2,2,Not given,1,Deposit3 months rent,Super Built up area 895(83.15 sq.m.)  sq.ft.,Semifurnished,All," in Venkatesh Classic Pune, Handewadi, , Pune, Maharashtra",7th   of 12 Floors,South,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"15,500",1,1,Not given,1,"Deposit₹ 35,000/-",Super Built up area 640(59.46 sq.m.)  sq.ft.,Semifurnished,All," in Sancheti Eves Garden, Keshav Nagar, , Pune, Maharashtra",9th   of 11 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"35,000",2,2,Pooja Room,,Deposit2 months rent,Built Up area: 1250 (116.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.)  sq.ft.,Semifurnished,All," in Flat No 2 D Kohinoor Society, , at wakdewadi on mumbai pune old highway, nr New Shivaji Nagar bus stand, , Pune, Maharashtra",1st   of 4 Floors,West,Polished concrete,Yes,," Covered, 1 Open",,,12 Months,1 Months,Charges not included,Partial,10+ Year Old
7000,1,1,Not given,1,"Deposit₹ 20,000/-",Built Up area: 570 (52.95 sq.m.)  sq.ft.,Unfurnished,Family Only," in Rupali Lomate Residency, Vatan Nagar, , Pune, Maharashtra",3rd   of 4 Floors,,,,,,,,None,0 Months,Charges included,Full,0 to 1 Year Old
"12,500",1,1,Not given,1,Deposit3 months rent,Carpet area: 525 (48.77 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Goel Ganga Aashiyana, Chinchwad, , Pune, Maharashtra",7th   of 10 Floors,,Vitrified,,,"1 Covered,  Open",,,11 Months,2 Months,Charges not included,Partial,5 to 10 Year Old
"14,000",2,2,Not given,1,,Super Built up area 1500(139.35 sq.m.)  sq.ft.,Semifurnished,Family Only," in p s villa society, p s villa socket manjari hadpasr, , Pune, Maharashtra",2nd   of 4 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,5 to 10 Year Old
"15,000",2,2,Not given,2,"Maintenance₹ 1,500/- (/ month)Deposit₹ 40,000/-",Carpet area: 1069 (99.31 sq.m.)  sq.ft.,Semifurnished,Family Only," in Girdhar Oassis, Kharadi, , Pune, Maharashtra",6th   of 7 Floors,,,,,1 Covered,,,11 Months,1 Months,Charges not included,None,10+ Year Old
7000,1,1,Not given,2,"Deposit₹ 15,000/-",Plot area 500(46.45 sq.m.)  sq.ft.,Unfurnished,All," in Kalwad Wasti, , Pune, Maharashtra",,West,Granite,,," Covered, 1 Open",,,12 Months,0 Months,Charges included,None,1 to 5 Year Old
7000,1,1,Not given,1,"Maintenance₹ 1,000/- (/ month)Deposit₹ 30,000/-",Super Built up area 572(53.14 sq.m.)  sq.ft.,Unfurnished,Family Only," in Adhya Sankalp, Gaikwad Nagar, , Pune, Maharashtra",2nd   of 5 Floors,,,,,1 Open,,,None,0 Months,Charges included,None,1 to 5 Year Old
"12,000",1,2,Not given,1,"Deposit₹ 25,000/-",Plot area 600(55.74 sq.m.)  sq.ft.,Semifurnished,All," in Vishrantwadi, , Pune, Maharashtra",,South,Marble,Yes,,1 Open,,,12 Months,0 Months,Charges not included,None,1 to 5 Year Old
7500,1,1,Others,,"Deposit₹ 12,000/-",Carpet area: 550 (51.1 sq.m.)  sq.ft.,Unfurnished,All," in Aboli CHS, Talegaon Dabhade, , Pune, Maharashtra",Ground of 1 Floors,,,,,"2 Covered, 2 Open",,,None,0 Months,Charges not included,None,10+ Year Old
"16,000",2,2,"Study Room,Pooja Room",2,"Deposit₹ 50,000/-",Super Built up area 1400(130.06 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.)  sq.ft.,Semifurnished,Family Only," in Apex Athena, Wakad Nx, , Pune, Maharashtra",4th   of 12 Floors,East,Marble,Yes,,1 Covered,Yes,Yes,None,0 Months,Charges included,None,1 to 5 Year Old
"20,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 850 (78.97 sq.m.)  sq.ft.,Unfurnished,Family Only," in MHADA Ajmera Colony, Pimpri Chinchwad, , Pune, Maharashtra",13rd   of 13 Floors,East,Ceramic,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"25,000",2,2,Not given,1,"Deposit₹ 75,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Semifurnished,Family Only," in Siddhivinayak Ginger, Pimple Saudagar, , Pune, Maharashtra",6th   of 7 Floors,East,Ceramic,Yes,,1 Covered,,,24 Months,2 Months,Charges not included,Full,10+ Year Old
"12,000",2,2,Not given,2,"Deposit₹ 25,000/-",Carpet area: 700 (65.03 sq.m.)  sq.ft.,Unfurnished,All," in Shailesh Riddhi Siddhi, Hadapsar, , Pune, Maharashtra",3rd   of 9 Floors,,,,,,,,None,0 Months,Charges not included,None,0 to 1 Year Old
"20,000",2,2,Not given,2,,Plot area 1200(111.48 sq.m.)  sq.ft.,Unfurnished,Family Only," in Nadhe Nagar, , Pune, Maharashtra",,East,,,,"0 Covered, 1 Open",,,None,0 Months,Charges included,None,10+ Year Old
"16,000",2,2,Not given,2,"Maintenance₹ 2,000/- (/ month)Deposit₹ 32,000/-",Built Up area: 994 (92.35 sq.m.)Carpet area: 780 sq.ft. (72.46 sq.m.)  sq.ft.,Unfurnished,All," in Little Earth Masulkar City, Ravet, , Pune, Maharashtra",2nd   of 12 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,3 Months,Charges not included,Partial,0 to 1 Year Old
5000,1,1,Not given,1,"Deposit₹ 15,000/-",Carpet area: 610 (56.67 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in KRIPA HERITAGE loni kalbhor, Ghorpade Wasti, , Pune, Maharashtra",3rd   of 3 Floors,,Marble,Yes,Yes,1 Open,,Yes,12 Months,2 Months,Charges not included,None,1 to 5 Year Old
