rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"10,000",1,1,Not given,,Deposit3 months rent,Built Up area: 550 (51.1 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.)  sq.ft.,Semifurnished,Family Only," in Brahmachaitanya Society, Warje, , Pune, Maharashtra",Ground of 1 Floors,South,Vitrified,,,,,,24 Months,2 Months,Charges not included,None,10+ Year Old
"23,000",2,2,Not given,1,Deposit3 months rent,Carpet area: 1196 (111.11 sq.m.)  sq.ft.,Semifurnished,All," in Geras Emerald City, Baner, , Pune, Maharashtra",9th   of 10 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
6500,1,1,Not given,1,"Deposit₹ 15,000/-",Built Up area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,Family Only," in Media Platinum Park, Narhe, , Pune, Maharashtra",2nd   of 6 Floors,West,Vitrified,Yes,,,,,11 Months,0 Months,Charges not included,None,5 to 10 Year Old
"25,000",4,3,Pooja Room,2,Deposit4 months rent,Built Up area: 2200 (204.39 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.)  sq.ft.,Semifurnished,All," in Teerth Aarohi, Parkhe Vasti, , Pune, Maharashtra",Ground of 2 Floors,East,Ceramic,Yes,,"1 Covered, 1 Open",,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
7000,1,1,Not given,,Deposit2 months rent,Plot area 400(37.16 sq.m.)  sq.ft.,Unfurnished,All," in Pimple Gurav, , Pune, Maharashtra",,East,Granite,Yes,,"0 Covered, 1 Open",,,12 Months,1 Months,Charges included,None,5 to 10 Year Old
"31,000",3,3,Not given,2,"Maintenance₹ 3,800/- (/ month)Deposit₹ 90,000/-",Super Built up area 1650(153.29 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kolte Patil Downtown Beryl, Eon Free Zone , , Pune, Maharashtra",9th   of 10 Floors,,,,,1 Covered,,,11 Months,1 Months,Charges included,None,5 to 10 Year Old
"20,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Unfurnished,All," in Supriya Gardens, Aundh, , Pune, Maharashtra",2nd   of 5 Floors,North-East,Mosaic,Yes,Yes,1 Covered,,,24 Months,1 Months,Charges not included,None,10+ Year Old
"15,000",2,2,Not given,2,"Deposit₹ 40,000/-",Carpet area: 900 (83.61 sq.m.)  sq.ft.,Semifurnished,All," in La Cabana, Sus , , Pune, Maharashtra",4th   of 5 Floors,West,Vitrified,Yes,,"1 Covered,  Open",,Yes,None,1 Months,Charges not included,Partial,1 to 5 Year Old
6000,1,1,Not given,2,"Maintenance₹ 1,000/- (/ month)Deposit₹ 15,000/-",Carpet area: 520 (48.31 sq.m.)  sq.ft.,Unfurnished,Family Only," in Maple Aapla Ghar, Chakan, , Pune, Maharashtra",2nd   of 8 Floors,,Vitrified,Yes,," Covered,  Open",,,None,1 Months,Charges not included,Partial,1 to 5 Year Old
"18,000",3,3,Not given,3,"Deposit₹ 100,000/-",Super Built up area 1550(144 sq.m.)  sq.ft.,Unfurnished,Family Only," in Mont Vert Tropez, Kaspate Vasti, , Pune, Maharashtra",11st   of 12 Floors,,,,,,,,None,0 Months,Charges included,Full,1 to 5 Year Old
"42,000",3,3,Not given,2,"Deposit₹ 100,000/-",Super Built up area 1820(169.08 sq.m.)  sq.ft.,Semifurnished,Family Only," in Ganga Platino, Kharadi, , Pune, Maharashtra",9th   of 22 Floors,North,,Yes,,"1 Covered, 0 Open",,Yes,24 Months,2 Months,Charges not included,Full,1 to 5 Year Old
"10,000",1,1,Not given,1,,Carpet area: 625 (58.06 sq.m.)  sq.ft.,Semifurnished,All," in Samarth Apartment, Bavdhan, , Pune, Maharashtra",4th   of 4 Floors,North-East,Mosaic,,," Covered, 0 Open",,Yes,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
"25,000",3,3,Not given,1,"Deposit₹ 100,000/-",Super Built up area 1505(139.82 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Kalpataru Estate, Pimple Gurav, , Pune, Maharashtra",6th   of 9 Floors,South-West,,Yes,,1 Covered,,,None,0 Months,Charges included,Partial,1 to 5 Year Old
4500,1,1,Not given,,"Deposit₹ 10,000/-",Carpet area: 400 (37.16 sq.m.)  sq.ft.,Unfurnished,Family Only," in Chintamani Housing Society, Manjari Budruk, , Pune, Maharashtra",2nd   of 3 Floors,East,Marble,,,,,,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
