rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"19,000",2,2,Not given,1,Deposit3 months rent,Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kohinoor Tinsel Town, Hinjewadi Phase 2, , Pune, Maharashtra",16th   of 21 Floors,North,Ceramic,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"10,000",1,1,Not given,1,"Maintenance₹ 1,760/- (/ month)Deposit₹ 25,000/-",Built Up area: 450 (41.81 sq.m.)  sq.ft.,Semifurnished,Family Only," in Dreams Akruti, Sasane Nagar, , Pune, Maharashtra",3rd   of 7 Floors,North-East,Others,,,1 Open,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"22,000",1,2,Not given,,"Deposit₹ 66,000/-",Super Built up area 760(70.61 sq.m.)  sq.ft.,Furnished,Family Only," in rajheera residency, Shaniwar Peth, , Pune, Maharashtra",4th   of 5 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
"13,900",1,1,Not given,1,,Carpet area: 650 (60.39 sq.m.)  sq.ft.,Semifurnished,Family Only," in BU Bhandari Rakshak Nagar, Kharadi, , Pune, Maharashtra",2nd   of 5 Floors,,,,,"0 Covered, 0 Open",,,None,0 Months,Charges included,None,5 to 10 Year Old
6000,1,1,Not given,2,Deposit2 months rent,Built Up area: 550 (51.1 sq.m.)  sq.ft.,Semifurnished,All," in Manjri BK, , Pune, Maharashtra",1st   of 3 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,1 to 5 Year Old
7500,1,1,Not given,,"Deposit₹ 15,000/-",Built Up area: 1500 (139.35 sq.m.)  sq.ft.,Unfurnished,All," in Tathawade, , Pune, Maharashtra",,West,,,,4 Open,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"10,000",2,2,Not given,3,"Deposit₹ 30,000/-",Carpet area: 805 (74.79 sq.m.)  sq.ft.,Unfurnished,Family Only," in Vratesh CO-OP HSG Society, Chinchwad, , Pune, Maharashtra",Ground of 4 Floors,,,,Yes,,Yes,Yes,12 Months,1 Months,Charges included,None,10+ Year Old
"10,500",1,1,Not given,,"Maintenance₹ 800/- (/ month)Deposit₹ 25,000/-",Carpet area: 660 (61.32 sq.m.)  sq.ft.,Unfurnished,Family Only," in Anandvan Society, Chinchwad, , Pune, Maharashtra",1st   of 3 Floors,South,,Yes,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
6000,1,1,Not given,1,"Deposit₹ 12,000/-",Built Up area: 300 (27.87 sq.m.)  sq.ft.,Unfurnished,All," in Siddhivinayak Height, Walhekarwadi, , Pune, Maharashtra",Ground of 4 Floors,North,,,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"16,000",2,2,Not given,1,,Super Built up area 850(78.97 sq.m.)  sq.ft.,Unfurnished,Family Only," in Nana Peth, , Pune, Maharashtra",2nd   of 5 Floors,,Ceramic,,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"10,000",1,1,Not given,1,"Deposit₹ 15,000/-",Super Built up area 600(55.74 sq.m.)Built Up area: 550 sq.ft. (51.1 sq.m.)  sq.ft.,Furnished,All," in Omkar Nivaas, Fursungi Gaon, , Pune, Maharashtra",5th   of 5 Floors,North-West,Vitrified,,,15 Covered,,,11 Months,0 Months,Charges not included,Partial,1 to 5 Year Old
8500,2,2,Not given,2,"Deposit₹ 15,000/-",Built Up area: 612 (56.86 sq.m.)Carpet area: 570 sq.ft. (52.95 sq.m.)  sq.ft.,Unfurnished,All," in Kohinoor Abhiman , Prati shirdi sai mandir, , Pune, Maharashtra",7th   of 12 Floors,East,Ceramic,Yes,,1 Open,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
7500,1,1,Not given,2,"Deposit₹ 25,000/-",Built Up area: 400 (37.16 sq.m.)  sq.ft.,Unfurnished,All," in Gangotree Shubhangan, Pirangut, , Pune, Maharashtra",8th   of 8 Floors,West,Vitrified,Yes,,1 Covered,,,None,0 Months,Charges included,Full,0 to 1 Year Old
"30,000",3,3,Not given,1,"Deposit₹ 70,000/-",Built Up area: 1400 (130.06 sq.m.)  sq.ft.,Semifurnished,Family Only," in Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",5th   of 29 Floors,East,Granite,Yes,,1 Covered,,,11 Months,2 Months,Charges not included,None,1 to 5 Year Old
"26,000",2,2,Others,2,"Deposit₹ 80,000/-",Super Built up area 1170(108.7 sq.m.)  sq.ft.,Furnished,All," in Gulmohar Goldcoast, Rajaram Patil Nagar, , Pune, Maharashtra",6th   of 10 Floors,North-East,Vitrified,Yes,Yes,"1 Covered, 0 Open",,,12 Months,2 Months,Charges not included,Partial,1 to 5 Year Old
"13,000",1,1,Not given,1,"Maintenance₹ 500/- (/ month)Deposit₹ 30,000/-",Super Built up area 650(60.39 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.)  sq.ft.,Furnished,Family Only," in Meghmalhar Housing Society, Bhosari, , Pune, Maharashtra",2nd   of 4 Floors,West,Marble,Yes,,1 Covered,,,12 Months,1 Months,Charges not included,None,1 to 5 Year Old
"14,000",2,2,Not given,,,Built Up area: 700 (65.03 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in Sangamwadi , Sangamvadi, , Pune, Maharashtra",3rd   of 3 Floors,,,,,,,,None,0 Months,Charges included,None,1 to 5 Year Old
6000,1,1,Not given,2,"Deposit₹ 15,000/-",Built Up area: 475 (44.13 sq.m.)Carpet area: 425 sq.ft. (39.48 sq.m.)  sq.ft.,Unfurnished,Family Only," in Navnirman Hsg. Soc, Rupeenagar Talwade, Rupeenagar Talwade Nigdi, , Pune, Maharashtra",,North-East,Vitrified,,Yes,1 Open,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
6500,1,1,Not given,1,"Deposit₹ 15,000/-",Plot area 550(51.1 sq.m.)  sq.ft.,Unfurnished,Family Only," in Manjri BK, , Pune, Maharashtra",,East,Polished concrete,,,"1 Covered,  Open",,,11 Months,0 Months,Charges included,None,1 to 5 Year Old
"30,000",2,2,Not given,2,"Deposit₹ 50,000/-",Carpet area: 921 (85.56 sq.m.)  sq.ft.,Furnished,All," in KanchanGanga Alartments, Wakdewadi, , Pune, Maharashtra",3rd   of 4 Floors,East,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
"30,000",2,2,Not given,3,"Brokerage₹ 30,000/- (Non-Negotiable)Deposit₹ 60,000/-",Carpet area: 1200 (111.48 sq.m.)  sq.ft.,Furnished,Family Only," in Royal Starvie, Moshi, , Pune, Maharashtra",2nd   of 12 Floors,West,Vitrified,,,"1 Covered,  Open",,,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"12,000",1,1,Store Room,1,"Maintenance₹ 1,850/- (/ month)Deposit₹ 48,000/-",Super Built up area 648(60.2 sq.m.)  sq.ft.,Furnished,All," in Mantra Majestica, Sasane Nagar, , Pune, Maharashtra",2nd   of 9 Floors,South-West,Vitrified,Yes,Yes,,,,11 Months,2 Months,Charges not included,Partial,5 to 10 Year Old
5000,1,1,Not given,1,"Deposit₹ 10,000/-",Plot area 1(0.09 sq.m.)Built Up area: 500 sq.ft. (46.45 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.)  sq.ft.,Unfurnished,All," in Sant Nagar, , Pune, Maharashtra",,South,Vitrified,Yes,,1 Open,,,11 Months,2 Months,Charges not included,None,0 to 1 Year Old
"30,000",3,3,Not given,,"Deposit₹ 120,000/-",Plot area 35000(3251.61 sq.m.)  sq.ft.,Semifurnished,All," in wadgoan sheri, , Pune, Maharashtra",,,,,,1 Covered,,,12 Months,1 Months,Charges included,None,5 to 10 Year Old
4000,1,1,Not given,,"Deposit₹ 10,000/-",Carpet area: 200 (18.58 sq.m.)  sq.ft.,Semifurnished,All," in Kanifnath Colony, , Pune, Maharashtra",,South-West,Spartex,,,1 Open,Yes,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
