rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"16,000",1,1,Not given,1,"Maintenance₹ 1/- (/ month)Deposit₹ 30,000/-",Built Up area: 700 (65.03 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.)  sq.ft.,Furnished,All," in Sky View Apartment, Viman Nagar, , Pune, Maharashtra",Ground of 3 Floors,North-West,Vitrified,Yes,,1 Open,Yes,Yes,36 Months,1 Months,Charges not included,None,5 to 10 Year Old
"20,000",2,2,Not given,2,"Deposit₹ 40,000/-",Carpet area: 950 (88.26 sq.m.)  sq.ft.,Furnished,All," in Aradhana Building, Shivaji Nagar, , Pune, Maharashtra",2nd   of 3 Floors,East,,Yes,,"1 Covered, 1 Open",,,None,1 Months,Charges not included,None,10+ Year Old
"20,000",2,2,Not given,1,,Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Furnished,Family Only," in kubera park housing society, Kondhwa road, , Pune, Maharashtra",3rd   of 4 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,5 to 10 Year Old
"12,000",1,1,Not given,2,"Maintenance₹ 1,200/- (/ month)",Built Up area: 608 (56.49 sq.m.)Carpet area: 520 sq.ft. (48.31 sq.m.)  sq.ft.,Semifurnished,Family Only," in Blue Berry housing society, North Hadapsar, , Pune, Maharashtra",4th   of 10 Floors,East,Vitrified,,,1 Covered,,,None,0 Months,Charges included,Full,1 to 5 Year Old
"20,000",2,2,Not given,2,"Deposit₹ 60,000/-",Super Built up area 1148(106.65 sq.m.)  sq.ft.,Furnished,All," in Saarrthi Sovereign, Hinjewadi, , Pune, Maharashtra",8th   of 11 Floors,,,,,2 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"22,000",2,2,Not given,1,"Deposit₹ 70,000/-",Super Built up area 950(88.26 sq.m.)  sq.ft.,Furnished,All," in Kumar Shantiniketan, Pashan, , Pune, Maharashtra",8th   of 11 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
"45,000",3,2,Not given,2,Deposit3 months rent,Built Up area: 1600 (148.64 sq.m.)  sq.ft.,Furnished,All," in Hira Moti Apartment, Shivaji Nagar, , Pune, Maharashtra",5th   of 6 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
"20,000",2,2,Not given,,"Deposit₹ 50,000/-",Super Built up area 900(83.61 sq.m.)  sq.ft.,Furnished,Family Only," in Sunshree Woods, NIBM, , Pune, Maharashtra",1st   of 7 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
"16,500",2,2,Not given,1,"Deposit₹ 50,000/-",Super Built up area 1125(104.52 sq.m.)  sq.ft.,Unfurnished,Family Only," in Shekhar Hindustan Royal, NIBM, , Pune, Maharashtra",3rd   of 5 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"15,000",2,2,Not given,1,Deposit2 months rent,Built Up area: 850 (78.97 sq.m.)  sq.ft.,Semifurnished,Family Only," in Warje, , Pune, Maharashtra",4th   of 5 Floors,,,,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
