rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"25,000",2,2,Others,2,"Brokerage₹ 25,000/- (Negotiable)Deposit3 months rent",Carpet area: 1020 (94.76 sq.m.)  sq.ft.,Furnished,Family Only," in Bramha Sun City Phase 1, Kalyani Nagar, , Pune, Maharashtra",5th   of 9 Floors,East,Others,Yes,,"1 Covered, 1 Open",Yes,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
"23,000",2,2,Others,2,"Brokerage₹ 23,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 825(76.65 sq.m.)Built Up area: 790 sq.ft. (73.39 sq.m.)Carpet area: 702 sq.ft. (65.22 sq.m.)  sq.ft.,Unfurnished,All," in Pittie Kourtyard, Kharadi, , Pune, Maharashtra",7th   of 20 Floors,East,Others,Yes,,"1 Covered, 1 Open",Yes,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"25,000",2,2,Others,2,"Brokerage₹ 25,000/- (Negotiable)Deposit₹ 100,000/-",Super Built up area 1364(126.72 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.)  sq.ft.,Unfurnished,All," in Pittie Kourtyard, Kharadi, , Pune, Maharashtra",5th   of 20 Floors,East,Others,Yes,,"1 Covered, 1 Open",Yes,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"20,000",2,2,Others,1,"Brokerage₹ 20,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 968(89.93 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 789 sq.ft. (73.3 sq.m.)  sq.ft.,Unfurnished,All," in Rohan Mithila, Mhada Colony, , Pune, Maharashtra",4th   of 7 Floors,East,Others,Yes,,"1 Covered, 1 Open",Yes,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
"24,000",2,2,Others,1,Brokerage2% (Negotiable)Deposit3 months rent,Carpet area: 1050 (97.55 sq.m.)  sq.ft.,Furnished,All," in Lalvani Vastu, Viman Nagar, , Pune, Maharashtra",4th   of 7 Floors,East,Others,Yes,,"1 Covered, 1 Open",Yes,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
"25,000",2,2,Others,2,"Brokerage₹ 25,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 1100(102.19 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 790 sq.ft. (73.39 sq.m.)  sq.ft.,Semifurnished,All," in Nyati Elysia, Kharadi, , Pune, Maharashtra",16th   of 31 Floors,East,Others,Yes,,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Partial,10+ Year Old
"16,000",2,2,Others,1,"Brokerage₹ 16,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 1079(100.24 sq.m.)Built Up area: 905 sq.ft. (84.08 sq.m.)Carpet area: 799 sq.ft. (74.23 sq.m.)  sq.ft.,Unfurnished,All," in Magnum Lifestyle, Dhanori, , Pune, Maharashtra",5th   of 12 Floors,East,Others,Yes,,"1 Covered, 1 Open",Yes,,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"28,000",3,3,Others,2,"Brokerage₹ 28,000/- (Non-Negotiable)Deposit3 months rent",Super Built up area 1554(144.37 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.)  sq.ft.,Unfurnished,All," in Nyati Elysia, Kharadi, , Pune, Maharashtra",28th   of 31 Floors,East,Others,Yes,,"1 Covered, 1 Open",Yes,,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"10,001",1,1,Not given,1,"Brokerage₹ 10,000/- (Non-Negotiable)Deposit₹ 30,000/-",Carpet area: 470 (43.66 sq.m.)  sq.ft.,Unfurnished,All," in Kolte Patil Life Republic, Hinjewadi, , Pune, Maharashtra",10th   of 22 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"28,000",3,3,Others,2,"Maintenance₹ 1/- ((one time fee))Brokerage₹ 1/- (Non-Negotiable)Deposit₹ 100,000/-",Super Built up area 1540(143.07 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.)  sq.ft.,Unfurnished,All," in Pristine Prism, Aundh, , Pune, Maharashtra",12nd   of 15 Floors,North-East,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
