rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
7000,1,1,Not given,1,"Deposit₹ 20,000/-",Super Built up area 350(32.52 sq.m.)  sq.ft.,Unfurnished,All," in sapana society, Warje, , Pune, Maharashtra",1st   of 3 Floors,South,,Yes,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"34,000",3,3,Others,2,"Deposit₹ 150,000/-",Super Built up area 1700(157.94 sq.m.)  sq.ft.,Furnished,Family Only," in Giridhar Oasis, Thite Nagar, , Pune, Maharashtra",4th   of 8 Floors,North-West,,Yes,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
7000,1,1,Not given,1,"Deposit₹ 25,000/-",Carpet area: 515 (47.85 sq.m.)  sq.ft.,Unfurnished,Family Only," in Swapna Nagari Society, Talegaon, , Pune, Maharashtra",Lower Ground of 1 Floors,,,Yes,Yes,1 Open,Yes,Yes,24 Months,0 Months,Charges not included,None,10+ Year Old
"45,000",3,3,Pooja Room,2,"Deposit₹ 125,000/-",Super Built up area 1435(133.32 sq.m.)  sq.ft.,Furnished,Family Only," in Rachana MyWorld Apartments, Baner, , Pune, Maharashtra",11st   of 13 Floors,North-East,Vitrified,Yes,,"2 Covered,  Open",Yes,Yes,11 Months,2 Months,Charges not included,Full,5 to 10 Year Old
"15,000",2,2,Not given,1,"Maintenance₹ 1,500/- (/ month)Deposit₹ 80,000/-",Carpet area: 749 (69.58 sq.m.)  sq.ft.,Furnished,Family Only," in SKYi Star Towers, Bhukum, , Pune, Maharashtra",7th   of 8 Floors,,,,,1 Covered,,,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
"24,000",3,3,Not given,2,Deposit2 months rent,Super Built up area 1290(119.84 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kailash Manas Apartments, NIBM, , Pune, Maharashtra",1st   of 11 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"30,000",2,2,Not given,1,"Deposit₹ 100,000/-",Super Built up area 1400(130.06 sq.m.)  sq.ft.,Furnished,Family Only," in Lodha Billmondo Gahunje, Gahunje, , Pune, Maharashtra",13rd   of 21 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"15,000",2,2,Pooja Room,1,"Maintenance₹ 1,000/- (/ month)Deposit₹ 20,000/-",Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in shivsagar villa, Dhayari, , Pune, Maharashtra",1st   of 4 Floors,South,Others,,,1 Covered,,Yes,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
"22,000",2,2,Not given,2,,Carpet area: 850 (78.97 sq.m.)  sq.ft.,Furnished,All," in tirupathi kashiganga, Siddartha Nagar, , Pune, Maharashtra",1st   of 3 Floors,East,Ceramic,Yes,Yes,1 Covered,,,24 Months,2 Months,Charges not included,None,5 to 10 Year Old
"15,000",2,2,Not given,,"Maintenance₹ 500/- (/ month)Deposit₹ 30,000/-",Built Up area: 650 (60.39 sq.m.)  sq.ft.,Furnished,None," in Amar Deep, Hadapsar Gaon, , Pune, Maharashtra",1st   of 3 Floors,North,,,,,,,None,0 Months,Charges included,None,10+ Year Old
