rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"22,500",2,2,Not given,3,Deposit5 months rent,Built Up area: 1100 (102.19 sq.m.)  sq.ft.,Furnished,Family Only," in Shashwattee Reflections, Wakad, , Pune, Maharashtra",10th   of 12 Floors,East,Vitrified,Yes,,1 Covered,,,12 Months,0 Months,Charges not included,Partial,1 to 5 Year Old
"25,000",2,2,Others,1,"Deposit₹ 50,000/-",Super Built up area 1032(95.88 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kumar Purab, Tilekar Vasti, , Pune, Maharashtra",1st   of 12 Floors,East,Ceramic,Yes,,1 Open,,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"25,000",1,1,Not given,1,"Maintenance₹ 1,000/- (/ month)Deposit₹ 50,000/-",Plot area 690(64.1 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 690 sq.ft. (64.1 sq.m.)  sq.ft.,Unfurnished,Bachelors (Men Only)," in Samarth colony, Samarth Colony, , Pune, Maharashtra",,East,Vitrified,,,1 Open,,,10 Months,5 Months,Charges not included,Full,0 to 1 Year Old
6500,1,1,Not given,,Maintenance₹ 300/- (/ month),Carpet area: 550 (51.1 sq.m.)  sq.ft.,Unfurnished,All," in Mayuresh Heights, Narhe, , Pune, Maharashtra",4th   of 4 Floors,North,Marble,Yes,,"1 Covered, 1 Open",,Yes,None,1 Months,Charges not included,None,5 to 10 Year Old
7500,2,2,Not given,1,"Deposit₹ 20,000/-",Carpet area: 416 (38.65 sq.m.)  sq.ft.,Unfurnished,All," in Xrbia Hinjewadi, Marunji, , Pune, Maharashtra",7th   of 7 Floors,North-East,Vitrified,Yes,,1 Open,,,12 Months,1 Months,Charges not included,None,1 to 5 Year Old
"15,000",2,2,Not given,2,Deposit3 months rent,Built Up area: 980 (91.04 sq.m.)  sq.ft.,Semifurnished,All," in Bunty Mayur Kilbil, Dhanori, , Pune, Maharashtra",7th   of 11 Floors,,,,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
8500,1,1,Not given,1,,Built Up area: 850 (78.97 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.)  sq.ft.,Semifurnished,Family Only," in Apte Colony, Bhosari, , Pune, Maharashtra",2nd   of 2 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
"13,500",2,2,Not given,2,"Deposit₹ 45,000/-",Super Built up area 1069(99.31 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in Manas Santosh Dreams, Ravet, , Pune, Maharashtra",2nd   of 8 Floors,,Vitrified,Yes,,"1 Covered,  Open",,,22 Months,1 Months,Charges not included,None,1 to 5 Year Old
"12,000",2,2,Not given,3,"Deposit₹ 30,000/-",Carpet area: 826.77 (76.81 sq.m.)  sq.ft.,Unfurnished,Family Only," in Kolte Patil Mount Castle, Wagholi, , Pune, Maharashtra",1st   of 11 Floors,North-East,Vitrified,Yes,Yes,1 Open,Yes,Yes,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
6000,1,1,Not given,1,Deposit Value₹ NaN/-,Built Up area: 500 (46.45 sq.m.)  sq.ft.,Unfurnished,None," in Kharadi, , Pune, Maharashtra",2nd   of 2 Floors,,,,,,,,None,0 Months,Charges included,None,0 to 1 Year Old
"19,900",2,1,Not given,,"Deposit₹ 50,000/-",Built Up area: 742 (68.93 sq.m.)Carpet area: 639 sq.ft. (59.37 sq.m.)  sq.ft.,Furnished,All," in Blueridge by paranjape schemes, Hinjewadi Phase 1, , Pune, Maharashtra",15th   of 25 Floors,,,Yes,,3 Covered,Yes,Yes,None,0 Months,Charges not included,Full,1 to 5 Year Old
"14,200",2,1,Not given,,"Deposit₹ 35,000/-",Carpet area: 770 (71.54 sq.m.)  sq.ft.,Semifurnished,Family Only," in Goyal Darshan Nagari, Keshav Nagar, , Pune, Maharashtra",Ground of 3 Floors,,Ceramic,Yes,Yes,1 Open,,,None,1 Months,Charges included,None,10+ Year Old
"15,000",2,2,Not given,1,"Maintenance₹ 1,100/- (/ month)Deposit2 months rent",Carpet area: 745 (69.21 sq.m.)  sq.ft.,Semifurnished,Family Only," in Jagram Complex, Vishrantwadi, , Pune, Maharashtra",Ground of 4 Floors,North,Ceramic,Yes,Yes,1 Open,,Yes,11 Months,1 Months,Charges not included,None,10+ Year Old
9500,1,1,Not given,2,"Deposit₹ 30,000/-",Carpet area: 672 (62.43 sq.m.)  sq.ft.,Unfurnished,Family Only," in Shivsai Heights Gujarwadi Phata Katraj, Katraj, , Pune, Maharashtra",4th   of 10 Floors,East,Ceramic,,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"12,500",2,2,Not given,3,"Maintenance₹ 2,750/- (/ month)Deposit₹ 30,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Blithe Icon, Wagholi, , Pune, Maharashtra",7th   of 12 Floors,East,Vitrified,Yes,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
"16,000",2,2,Pooja Room,2,"Deposit₹ 40,000/-",Super Built up area 1000(92.9 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.)  sq.ft.,Unfurnished,All," in Dreams Bella Vue, Bavdhan, , Pune, Maharashtra",7th   of 12 Floors,South,Vitrified,Yes,Yes,1 Covered,,Yes,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
"12,000",2,2,Not given,1,"Maintenance₹ 1,000/- (/ month)Deposit₹ 35,000/-",Built Up area: 761 (70.7 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in SKYi Star Tower 2, Bhukum, , Pune, Maharashtra",1st   of 8 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,0 to 1 Year Old
"12,000",2,2,Not given,1,"Maintenance₹ 2,000/- (/ month)Deposit₹ 20,000/-",Built Up area: 900 (83.61 sq.m.)Carpet area: 744 sq.ft. (69.12 sq.m.)  sq.ft.,Unfurnished,All," in Mont Vert Vesta, Uravade, , Pune, Maharashtra",2nd   of 12 Floors,North,Vitrified,Yes,,1 Covered,Yes,Yes,12 Months,2 Months,Charges not included,None,1 to 5 Year Old
"10,000",2,2,"Others,Study Room",1,Deposit3 months rent,Super Built up area 844(78.41 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.)  sq.ft.,Unfurnished,All," in Tata La Montana, Talegaon, , Pune, Maharashtra",3rd   of 15 Floors,East,,Yes,,1 Covered,,,11 Months,1 Months,Charges included,Full,0 to 1 Year Old
"18,000",2,2,Not given,2,"Deposit₹ 50,000/-",Built Up area: 943 (87.61 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Nisraga alliance white lilly, Kaspate Vasti, , Pune, Maharashtra",5th   of 7 Floors,East,,Yes,,1 Covered,,,None,1 Months,Charges not included,Partial,1 to 5 Year Old
"11,000",2,2,Not given,1,"Deposit₹ 30,000/-",Built Up area: 900 (83.61 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.)  sq.ft.,Semifurnished,Family Only," in Hill Shire, Wagholi, , Pune, Maharashtra",10th   of 14 Floors,East,,,,"1 Covered, 0 Open",,,None,0 Months,Charges not included,None,0 to 1 Year Old
"25,000",3,3,Not given,3,"Deposit₹ 75,000/-",Super Built up area 1450(134.71 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.)  sq.ft.,Unfurnished,Family Only," in Shoyam Residency, Pimple Gurav, , Pune, Maharashtra",4th   of 8 Floors,North-West,Mosaic,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
"18,000",2,2,Not given,2,"Deposit₹ 50,000/-",Super Built up area 1104(102.56 sq.m.)  sq.ft.,Furnished,Family Only," in 10 Vrindavan Phase 2, Dhanori, , Pune, Maharashtra",3rd   of 11 Floors,North-East,,Yes,,1 Covered,,,11 Months,1 Months,Charges included,Full,0 to 1 Year Old
"13,000",2,1,Not given,2,"Maintenance₹ 2,470/- (/ month)Deposit₹ 30,000/-",Built Up area: 805 (74.79 sq.m.)  sq.ft.,Furnished,All," in United Arise, Nimbalkar Nagar, , Pune, Maharashtra",9th   of 10 Floors,East,Ceramic,Yes,,1 Open,,,24 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"13,000",1,1,Not given,1,"Maintenance₹ 1,200/- (/ month)",Super Built up area 700(65.03 sq.m.)Carpet area: 625 sq.ft. (58.06 sq.m.)  sq.ft.,Unfurnished,All," in Bhagwati Classic, Hinjewadi Phase 2, , Pune, Maharashtra",2nd   of 4 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
"26,000",2,2,Not given,1,"Deposit₹ 100,000/-",Super Built up area 1140(105.91 sq.m.)Built Up area: 948 sq.ft. (88.07 sq.m.)  sq.ft.,Furnished,Family Only," in Rhythm apartments, Kaspate Vasti, , Pune, Maharashtra",3rd   of 7 Floors,,,Yes,Yes,1 Open,,,11 Months,0 Months,Charges not included,Partial,5 to 10 Year Old
"15,000",2,1,Not given,1,"Deposit₹ 30,000/-",Super Built up area 1000(92.9 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.)  sq.ft.,Semifurnished,Family Only," in Aai Apartment, Vinayak Nagar, , Pune, Maharashtra",2nd   of 4 Floors,West,Marble,,,1 Covered,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
"17,000",2,2,Not given,2,"Deposit₹ 50,000/-",Super Built up area 800(74.32 sq.m.)  sq.ft.,Semifurnished,Family Only," in Urban Nirvana Society, Eon Free Zone , , Pune, Maharashtra",1st   of 10 Floors,East,Vitrified,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"26,000",2,2,Others,2,Maintenance₹ 1/- (/ month)Deposit3 months rent,Super Built up area 850(78.97 sq.m.)  sq.ft.,Furnished,All," in Amanora Trendy Homes, Hadapsar, , Pune, Maharashtra",20th   of 22 Floors,,,,,1 Covered,,,None,1 Months,Charges included,Full,5 to 10 Year Old
"30,000",1,1,"Others,Study Room",1,Deposit2 months rent,Plot area 1400(130.06 sq.m.)  sq.ft.,Furnished,Bachelors (Women Only)," in Udaypark Housing Society, Kothrud, , Pune, Maharashtra",,North,Ceramic,Yes,,"1 Covered, 1 Open",,,24 Months,2 Months,Charges not included,None,5 to 10 Year Old
"15,500",2,2,Not given,1,"Deposit₹ 40,000/-",Super Built up area 784(72.84 sq.m.)  sq.ft.,Furnished,None," in Long Island, Pride World City, , Pune, Maharashtra",7th   of 12 Floors,,Vitrified,Yes,,"1 Covered, 0 Open",Yes,Yes,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"15,000",2,2,Not given,2,"Deposit₹ 40,000/-",Super Built up area 1029(95.6 sq.m.)  sq.ft.,Unfurnished,Family Only," in Anand Shanti Terraces, Sus , , Pune, Maharashtra",2nd   of 7 Floors,East,Marble,Yes,,1 Covered,,Yes,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
"17,000",1,2,Not given,1,"Deposit₹ 45,000/-",Super Built up area 510(47.38 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Kolte Patil Life Republic, Hinjewadi, , Pune, Maharashtra",11st   of 21 Floors,,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
"18,000",2,2,Not given,1,"Deposit₹ 40,000/-",Carpet area: 716 (66.52 sq.m.)  sq.ft.,Semifurnished,Family Only," in Westen Tower, Wakad, , Pune, Maharashtra",6th   of 10 Floors,,Ceramic,Yes,,1 Covered,,,11 Months,2 Months,Charges not included,None,0 to 1 Year Old
"20,000",2,2,Not given,1,"Deposit₹ 50,000/-",Carpet area: 670 (62.25 sq.m.)  sq.ft.,Furnished,Family Only," in GK Divya Heights, Arvind Colony, , Pune, Maharashtra",8th   of 8 Floors,North-East,,Yes,,1 Covered,Yes,Yes,13 Months,1 Months,Charges not included,None,5 to 10 Year Old
"18,000",3,2,Not given,2,"Deposit₹ 40,000/-",Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Semifurnished,All," in Amrit Apartment, Pimpri, , Pune, Maharashtra",2nd   of 3 Floors,,,,,"2 Covered, 1 Open",,,12 Months,1 Months,Charges not included,None,10+ Year Old
"11,000",1,1,Not given,,"Deposit₹ 25,000/-",Carpet area: 350 (32.52 sq.m.)  sq.ft.,Unfurnished,Family Only," in MHB Society, Yerwada, , Pune, Maharashtra",Ground of 2 Floors,,,,,,,,11 Months,1 Months,Charges not included,None,10+ Year Old
"14,000",1,1,Not given,2,"Deposit₹ 40,000/-",Super Built up area 632(58.71 sq.m.)  sq.ft.,Semifurnished,Family Only," in Sonigara Park, Pimpri, , Pune, Maharashtra",7th   of 7 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
"11,000",2,1,Not given,1,"Deposit₹ 25,000/-",Super Built up area 800(74.32 sq.m.)  sq.ft.,Furnished,Family Only," in Trimurti Saj CHS, Phursungi, , Pune, Maharashtra",2nd   of 4 Floors,,,Yes,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
"22,000",3,3,Not given,3,"Deposit₹ 70,000/-",Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Men Only)"," in Atulya Blue Earth, Shankar Kalat Nagar, , Pune, Maharashtra",3rd   of 8 Floors,,,Yes,,"1 Covered,  Open",,,11 Months,2 Months,Charges not included,None,1 to 5 Year Old
"22,000",2,1,Not given,2,Deposit3 months rent,Carpet area: 710 (65.96 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Women Only)"," in Ajay Residency, Wakad, , Pune, Maharashtra",1st   of 3 Floors,,Ceramic,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
3500,1,1,Not given,1,"Deposit₹ 7,500/-",Super Built up area 700(65.03 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.)  sq.ft.,Furnished,Bachelors (Women Only)," in Chs Palace Orchid, Flat, , Pune, Maharashtra",1st   of 4 Floors,North-East,Marble,Yes,,"1 Covered, 1 Open",,,9 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"13,000",1,2,Not given,2,"Deposit₹ 25,000/-",Super Built up area 700(65.03 sq.m.)Built Up area: 690 sq.ft. (64.1 sq.m.)Carpet area: 680 sq.ft. (63.17 sq.m.)  sq.ft.,Semifurnished,All," in Ganraj Heights, Wadgaon Sheri, , Pune, Maharashtra",2nd   of 3 Floors,,Ceramic,Yes,,2 Open,,,None,1 Months,Charges not included,None,10+ Year Old
7000,1,1,Not given,1,"Deposit₹ 15,000/-",Carpet area: 373 (34.65 sq.m.)  sq.ft.,Semifurnished,Family Only," in Naiknavare Swapnapurti, Sasane Nagar, , Pune, Maharashtra",3rd   of 3 Floors,,,,,1 Covered,,,11 Months,1 Months,Charges not included,None,10+ Year Old
"14,000",2,2,Not given,1,"Deposit₹ 14,000/-",Super Built up area 950(88.26 sq.m.)  sq.ft.,Semifurnished,Family Only," in RPS Homes, Kutwal Colony, , Pune, Maharashtra",2nd   of 4 Floors,North,Marble,Yes,,1 Covered,,Yes,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
"18,000",2,3,Not given,1,"Deposit₹ 60,000/-",Carpet area: 1150 (106.84 sq.m.)  sq.ft.,Semifurnished,All," in Hemangini Row House, New D P Road, , Pune, Maharashtra",Ground of 2 Floors,West,,,Yes,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
7500,1,1,Not given,1,"Deposit₹ 20,000/-",Super Built up area 470(43.66 sq.m.)Built Up area: 460 sq.ft. (42.74 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.)  sq.ft.,Unfurnished,All," in Datta prasad Housing Society, Chandan Nagar, , Pune, Maharashtra",1st   of 1 Floors,,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
"23,000",2,2,Not given,1,"Deposit₹ 75,000/-",Built Up area: 1173 (108.98 sq.m.)  sq.ft.,Furnished,Family Only," in Pearl Tower, Gadital, , Pune, Maharashtra",9th   of 11 Floors,East,Vitrified,,,1 Covered,,,None,0 Months,Charges not included,Partial,10+ Year Old
"13,000",1,1,Not given,1,"Maintenance₹ 500/- (/ month)Deposit₹ 45,000/-",Built Up area: 650 (60.39 sq.m.)Carpet area: 575 sq.ft. (53.42 sq.m.)  sq.ft.,Semifurnished,All," in Karmyog Housing Society, Kamgar Nagar, , Pune, Maharashtra",3rd   of 3 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
"19,500",2,2,Not given,2,"Deposit₹ 75,000/-",Built Up area: 980 (91.04 sq.m.)  sq.ft.,Semifurnished,All," in Vilas Javdekar Yashwin Hinjewadi, Hinjewadi Phase 2, , Pune, Maharashtra",11st   of 22 Floors,East,Marble,Yes,,1 Covered,Yes,Yes,24 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
"25,000",3,3,Not given,2,"Deposit₹ 75,000/-",Super Built up area 1640(152.36 sq.m.)Carpet area: 1215 sq.ft. (112.88 sq.m.)  sq.ft.,Semifurnished,All," in Megapolis Sangria Towers, Hinjewadi, , Pune, Maharashtra",7th   of 22 Floors,West,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"22,000",3,3,Not given,2,Deposit6 months rent,Super Built up area 1495(138.89 sq.m.)Carpet area: 1215 sq.ft. (112.88 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Megapolis Sangria Towers, Hinjewadi, , Pune, Maharashtra",1st   of 22 Floors,,,Yes,,1 Covered,,,22 Months,0 Months,Charges not included,None,1 to 5 Year Old
"22,000",2,2,Not given,1,"Maintenance₹ 3,500/- (/ month)Deposit₹ 66,000/-",Super Built up area 1114(103.49 sq.m.)  sq.ft.,Furnished,Family Only," in Raviraj Ariiana, Shree Datta Colony, , Pune, Maharashtra",4th   of 12 Floors,East,Ceramic,,,1 Covered,,,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"22,500",2,2,Not given,1,"Deposit₹ 85,000/-",Carpet area: 1446 (134.34 sq.m.)  sq.ft.,Furnished,Family Only," in Megapolis Splendour, Hinjewadi, , Pune, Maharashtra",10th   of 14 Floors,East,,Yes,,"1 Covered, 1 Open",,,11 Months,2 Months,Charges not included,None,1 to 5 Year Old
"22,000",2,2,Not given,2,"Deposit₹ 70,000/-",Super Built up area 1325(123.1 sq.m.)Built Up area: 1124 sq.ft. (104.42 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.)  sq.ft.,Semifurnished,Family Only," in Megapolis Sangria Hinjewadi, Phase-3 Hinjewadi , , Pune, Maharashtra",4th   of 21 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
