rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"20,000",2,2,Not given,3,"Deposit₹ 60,000/-",Carpet area: 1180 (109.63 sq.m.)  sq.ft.,Furnished,All," in Mittal Parkwayz, Wakad, , Pune, Maharashtra",3rd   of 7 Floors,North,Ceramic,Yes,Yes,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
8000,1,2,Not given,2,Deposit2 months rent,Super Built up area 800(74.32 sq.m.)Built Up area: 750 sq.ft. (69.68 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.)  sq.ft.,Furnished,"Family , Bachelors (Men Only)"," in Krishnraj Vrindavan, Wagholi, , Pune, Maharashtra",Ground of 2 Floors,South-West,Vitrified,Yes,Yes,,,,11 Months,2 Months,Charges not included,Full,1 to 5 Year Old
"25,000",3,3,Servant Room,3,"Deposit₹ 60,000/-",Carpet area: 1350 (125.42 sq.m.)  sq.ft.,Semifurnished,All," in Omega Paradise Phase 2, Wakad, , Pune, Maharashtra",7th   of 12 Floors,South-East,,,,2 Covered,,,11 Months,1 Months,Charges included,None,5 to 10 Year Old
7000,1,1,Not given,1,"Deposit₹ 25,000/-",Built Up area: 650 (60.39 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Men Only)"," in Tingre Nagar, , Pune, Maharashtra",1st   of 4 Floors,South-West,,,,1 Open,,,None,0 Months,Charges not included,None,0 to 1 Year Old
"13,000",1,1,Not given,1,"Deposit₹ 30,000/-",Super Built up area 640(59.46 sq.m.)Carpet area: 520 sq.ft. (48.31 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Bora Paark, Pimple Saudagar, , Pune, Maharashtra",4th   of 4 Floors,,,,," Covered, 1 Open",,,None,0 Months,Charges not included,None,5 to 10 Year Old
"16,000",1,1,Not given,2,"Deposit₹ 50,000/-",Super Built up area 540(50.17 sq.m.)  sq.ft.,Furnished,Bachelors (Women Only)," in K Raheja Gardens, Wanowrie, , Pune, Maharashtra",4th   of 4 Floors,North,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
"24,000",3,3,Not given,2,"Deposit₹ 60,000/-",Super Built up area 1500(139.35 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.)  sq.ft.,Furnished,All," in Bhosale Garden, Hadapsar, , Pune, Maharashtra",1st   of 3 Floors,North-East,Spartex,Yes,,3 Open,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"17,000",2,2,Not given,,Deposit3 months rent,Super Built up area 1063(98.76 sq.m.)  sq.ft.,Furnished,Family Only," in Sneha Complex, Warje, , Pune, Maharashtra",1st   of 4 Floors,North-West,,Yes,,,,,None,0 Months,Charges not included,None,10+ Year Old
"16,000",1,1,Not given,1,"Deposit₹ 50,000/-",Carpet area: 665 (61.78 sq.m.)  sq.ft.,Furnished,All," in Madhuban Society, Vishrantwadi, , Pune, Maharashtra",4th   of 7 Floors,North,Ceramic,Yes,Yes,,Yes,Yes,11 Months,1 Months,Charges not included,None,10+ Year Old
"35,000",3,3,Not given,1,,Built Up area: 1450 (134.71 sq.m.)  sq.ft.,Unfurnished,All," in On Request, Market yard, , Pune, Maharashtra",1st   of 1 Floors,West,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
