rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"27,000",2,2,Pooja Room,2,"Maintenance₹ 1/- (/ month)Brokerage₹ 27,000/- (Negotiable)Deposit₹ 80,000/-",Super Built up area 1289(119.75 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.)  sq.ft.,Semifurnished,All," in Ganga Platino, Kharadi, , Pune, Maharashtra",6th   of 22 Floors,South-West,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"16,000",2,2,Not given,1,"Brokerage₹ 16,000/- (Non-Negotiable)Deposit₹ 40,000/-",Carpet area: 915 (85.01 sq.m.)  sq.ft.,Unfurnished,All," in On request, Aundh, , Pune, Maharashtra",2nd   of 6 Floors,East,Vitrified,Yes,," Covered,  Open",,,11 Months,1 Months,Charges included,Full,10+ Year Old
"17,000",2,2,Study Room,2,"Brokerage₹ 17,000/- (Negotiable)Deposit₹ 40,000/-",Super Built up area 1170(108.7 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.)  sq.ft.,Unfurnished,All," in Goel Ganga Constella, Eon Free Zone , , Pune, Maharashtra",7th   of 9 Floors,South-East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges included,Full,1 to 5 Year Old
"19,000",2,2,Not given,1,"Brokerage₹ 19,000/- (Negotiable)",Super Built up area 1100(102.19 sq.m.)Built Up area: 1030 sq.ft. (95.69 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.)  sq.ft.,Semifurnished,Family Only," in GK Jarvari, Pimple Saudagar, , Pune, Maharashtra",2nd   of 7 Floors,West,Vitrified,Yes,,"1 Covered,  Open",,,11 Months,1 Months,Charges included,Full,1 to 5 Year Old
"22,000",2,2,Not given,2,"Brokerage₹ 22,000/- (Non-Negotiable)",Carpet area: 800 (74.32 sq.m.)  sq.ft.,Furnished,Family Only," in Prime Plus 1, Pimple Saudagar, , Pune, Maharashtra",2nd   of 7 Floors,East,Others,Yes,,"1 Covered,  Open",,,None,0 Months,Charges not included,Partial,5 to 10 Year Old
"18,000",2,2,Not given,1,"Brokerage₹ 18,000/- (Non-Negotiable)Deposit₹ 50,000/-",Carpet area: 800 (74.32 sq.m.)  sq.ft.,Semifurnished,All," in On Request, Aundh, , Pune, Maharashtra",2nd   of 6 Floors,North,Vitrified,Yes,," Covered, 1 Open",,,11 Months,1 Months,Charges included,Full,5 to 10 Year Old
"24,999",3,3,Not given,3,"Brokerage₹ 25,000/- (Negotiable)",Carpet area: 1330 (123.56 sq.m.)  sq.ft.,Unfurnished,All," in Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",15th   of 30 Floors,North,,,,1 Covered,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
9999,1,1,Not given,1,"Brokerage₹ 10,000/- (Negotiable)",Carpet area: 440 (40.88 sq.m.)  sq.ft.,Unfurnished,All," in Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",10th   of 24 Floors,South,Spartex,,,,,,11 Months,0 Months,Charges not included,Full,1 to 5 Year Old
"13,000",1,1,Not given,1,"Brokerage₹ 13,000/- (Negotiable)",Carpet area: 440 (40.88 sq.m.)  sq.ft.,Semifurnished,All," in Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",16th   of 24 Floors,South-West,,,,,,,None,0 Months,Charges not included,Full,1 to 5 Year Old
"16,000",2,2,Study Room,1,"Brokerage₹ 16,000/- (Non-Negotiable)Deposit₹ 40,000/-",Super Built up area 1100(102.19 sq.m.)Built Up area: 945 sq.ft. (87.79 sq.m.)Carpet area: 780 sq.ft. (72.46 sq.m.)  sq.ft.,Semifurnished,Family Only," in Pinnac Westend Residency, Warje, , Pune, Maharashtra",6th   of 9 Floors,East,Ceramic,Yes,,1 Covered,,,None,1 Months,Charges not included,Full,5 to 10 Year Old
"55,000",3,3,Servant Room,3,"Brokerage₹ 70,000/- (Negotiable)Deposit₹ 300,000/-",Carpet area: 1750 (162.58 sq.m.)  sq.ft.,Furnished,All," in Tata Housing Blue Hills, Yerwada, , Pune, Maharashtra",3rd   of 7 Floors,North,Vitrified,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
"55,000",3,4,"Pooja Room,Servant Room",3,"Brokerage₹ 75,000/- (Non-Negotiable)Deposit₹ 300,000/-",Carpet area: 1750 (162.58 sq.m.)  sq.ft.,Furnished,All," in Tata Housing Blue Hills, Yerwada, , Pune, Maharashtra",3rd   of 7 Floors,North,Vitrified,,,"2 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"16,500",1,1,Others,1,"Brokerage₹ 16,500/- (Negotiable)Deposit₹ 50,000/-",Super Built up area 650(60.39 sq.m.)  sq.ft.,Semifurnished,Family Only," in Pratik Nagar, Yerwada, , Pune, Maharashtra",1st   of 5 Floors,East,,Yes,,"1 Covered, 1 Open",,,None,0 Months,Charges not included,None,5 to 10 Year Old
"14,000",1,1,Not given,1,"Brokerage₹ 14,000/- (Non-Negotiable)Deposit₹ 30,000/-",Super Built up area 550(51.1 sq.m.)  sq.ft.,Unfurnished,All," in Kumar Aangan, Yerwada, , Pune, Maharashtra",4th   of 8 Floors,South-West,Vitrified,Yes,,1 Covered,Yes,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"22,000",3,3,Not given,2,"Maintenance₹ 3,000/- (/ month)Brokerage₹ 25,000/- (Non-Negotiable)Deposit₹ 75,000/-",Super Built up area 1500(139.35 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.)  sq.ft.,Semifurnished,Family Only," in Bhalerao Savannah Hills, Patil Nagar, , Pune, Maharashtra",10th   of 11 Floors,East,Ceramic,Yes,,1 Covered,,Yes,None,1 Months,Charges not included,Full,0 to 1 Year Old
"10,500",2,2,Others,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 10,500/- (Non-Negotiable)Deposit₹ 20,000/-",Super Built up area 1074(99.78 sq.m.)Built Up area: 980 sq.ft. (91.04 sq.m.)Carpet area: 840 sq.ft. (78.04 sq.m.)  sq.ft.,Unfurnished,All," in Majestique City, Wagholi, , Pune, Maharashtra",9th   of 14 Floors,East,Vitrified,,,1 Open,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"11,500",2,2,Others,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 11,500/- (Non-Negotiable)Deposit₹ 25,000/-",Super Built up area 1044(96.99 sq.m.)Built Up area: 980 sq.ft. (91.04 sq.m.)Carpet area: 840 sq.ft. (78.04 sq.m.)  sq.ft.,Unfurnished,All," in BA Vermont, Wagholi, , Pune, Maharashtra",5th   of 12 Floors,East,Vitrified,,,1 Open,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
8000,1,1,Others,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 8,000/- (Non-Negotiable)Deposit₹ 15,000/-",Super Built up area 910(84.54 sq.m.)Built Up area: 840 sq.ft. (78.04 sq.m.)Carpet area: 740 sq.ft. (68.75 sq.m.)  sq.ft.,Unfurnished,All," in Venkatesh Oxy Ultima, Wagholi, , Pune, Maharashtra",7th   of 12 Floors,East,Vitrified,,,1 Open,,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
