rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"35,000",3,3,Pooja Room,3,Brokerage₹ 1/- (Non-Negotiable),Built Up area: 1550 (144 sq.m.)  sq.ft.,Furnished,All," in Vascon Zircon, Viman Nagar, , Pune, Maharashtra",8th   of 12 Floors,East,Vitrified,Yes,Yes,1 Covered,,Yes,None,1 Months,Charges not included,None,5 to 10 Year Old
"20,000",2,2,Not given,2,Brokerage₹ 1/- (Non-Negotiable),Built Up area: 920 (85.47 sq.m.)  sq.ft.,Unfurnished,All," in Hari Ganga, Yerwada, , Pune, Maharashtra",6th   of 11 Floors,East,Vitrified,Yes,Yes,1 Covered,,,None,1 Months,Charges not included,Partial,5 to 10 Year Old
"33,000",3,3,Not given,2,"Brokerage₹ 33,000/- (Non-Negotiable)Deposit₹ 100,000/-",Carpet area: 94.5   sq.m.,Furnished,All," in Elina Living, Mohamadwadi, , Pune, Maharashtra",10th   of 14 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,Under Construction
"14,500",1,1,Pooja Room,1,"Brokerage₹ 40,000/- (Non-Negotiable)Deposit₹ 40,000/-",Super Built up area 650(60.39 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.)  sq.ft.,Unfurnished,All," in Magarpatta Annex, Magarpatta, , Pune, Maharashtra",5th   of 12 Floors,East,Vitrified,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"21,000",3,3,Not given,2,"Brokerage₹ 21,000/- (Non-Negotiable)Deposit₹ 60,000/-",Built Up area: 1560 (144.93 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.)  sq.ft.,Unfurnished,Family Only," in Sunshree The Gold CHS, NIBM, , Pune, Maharashtra",6th   of 10 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Partial,10+ Year Old
"13,000",2,2,Store Room,2,"Brokerage₹ 13,000/- (Negotiable)Deposit₹ 35,000/-",Super Built up area 955(88.72 sq.m.)Carpet area: 765 sq.ft. (71.07 sq.m.)  sq.ft.,Semifurnished,All," in DNV Elite Homes, Tathawade, , Pune, Maharashtra",4th   of 12 Floors,East,Marble,,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"14,000",2,2,Others,2,"Brokerage₹ 14,000/- (Negotiable)Deposit₹ 50,000/-",Super Built up area 955(88.72 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 920 sq.ft. (85.47 sq.m.)  sq.ft.,Furnished,All," in DNV Elite Homes, Tathawade, , Pune, Maharashtra",4th   of 12 Floors,West,Marble,Yes,,1 Covered,,,None,0 Months,Charges included,Full,0 to 1 Year Old
"18,000",2,2,Not given,1,"Brokerage₹ 18,000/- (Negotiable)Deposit₹ 70,000/-",Super Built up area 882(81.94 sq.m.)  sq.ft.,Unfurnished,Family Only," in On Request, Kaspate Vasti, , Pune, Maharashtra",7th   of 13 Floors,East,Vitrified,Yes,,1 Covered,,,None,0 Months,Charges included,Full,1 to 5 Year Old
"33,000",3,3,Others,2,"Brokerage₹ 33,000/- (Non-Negotiable)Deposit₹ 100,000/-",Super Built up area 1650(153.29 sq.m.)Built Up area: 1645 sq.ft. (152.83 sq.m.)Carpet area: 1280 sq.ft. (118.92 sq.m.)  sq.ft.,Unfurnished,All," in Nandan Prospera, Laxman Nagar, , Pune, Maharashtra",9th   of 12 Floors,East,Vitrified,Yes,,1 Covered,,,None,0 Months,Charges included,Full,5 to 10 Year Old
"37,000",3,3,Others,2,"Maintenance₹ 2,000/- (/ month)Brokerage₹ 50,000/- (Non-Negotiable)Deposit4 months rent",Super Built up area 1500(139.35 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)  sq.ft.,Semifurnished,Family Only," in Sky View Apartment, Law College Road, , Pune, Maharashtra",5th   of 7 Floors,East,Vitrified,Yes,,"2 Covered, 0 Open",,,None,0 Months,Charges not included,Partial,5 to 10 Year Old
