rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
7000,1,1,Not given,1,Deposit12 months rent,Plot area 1250(116.13 sq.m.)Built Up area: 450 sq.ft. (41.81 sq.m.)Carpet area: 350 sq.ft. (32.52 sq.m.)  sq.ft.,Unfurnished,All," in Tukaram Nagar, , Pune, Maharashtra",,West,Ceramic,,,2 Open,,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"50,000",3,3,Not given,3+,"Deposit₹ 250,000/-",Super Built up area 2100(195.1 sq.m.)Built Up area: 1580 sq.ft. (146.79 sq.m.)Carpet area: 1280 sq.ft. (118.92 sq.m.)  sq.ft.,Unfurnished,Family Only," in Aram apartment , Prabhat Road, , Pune, Maharashtra",3rd   of 3 Floors,North-West,Vitrified,Yes,,1 Covered,,,22 Months,2 Months,Charges not included,None,10+ Year Old
"18,500",2,2,Not given,2,"Deposit₹ 40,000/-",Built Up area: 1000 (92.9 sq.m.)  sq.ft.,Unfurnished,Family Only," in Shivkrupa nivas, Wakad, , Pune, Maharashtra",Ground of 3 Floors,South-West,,,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"16,500",2,2,Not given,1,"Deposit₹ 50,000/-",Built Up area: 820 (76.18 sq.m.)  sq.ft.,Semifurnished,All," in Parth apartments, Balewadi, , Pune, Maharashtra",2nd   of 3 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,5 to 10 Year Old
"12,000",1,1,Study Room,1,Deposit3 months rent,Super Built up area 750(69.68 sq.m.)  sq.ft.,Unfurnished,Family Only," in Dheeraj Jade Residences, Wagholi, , Pune, Maharashtra",4th   of 9 Floors,,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"12,000",2,2,Not given,1,"Maintenance₹ 2,000/- (/ month)Deposit₹ 25,000/-",Super Built up area 900(83.61 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 670 sq.ft. (62.25 sq.m.)  sq.ft.,Unfurnished,Family Only," in Venkatesh Galaxy, Tilekar Nagar, , Pune, Maharashtra",3rd   of 11 Floors,,,Yes,,"1 Covered, 1 Open",,,None,0 Months,Charges not included,None,1 to 5 Year Old
"11,000",1,1,Not given,1,"Deposit₹ 30,000/-",Super Built up area 623(57.88 sq.m.)  sq.ft.,Semifurnished,Family Only," in Shagun Society, Kiwale, , Pune, Maharashtra",1st   of 2 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"11,000",1,2,Not given,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 1/- (Negotiable)Deposit₹ 50,000/-",Super Built up area 689(64.01 sq.m.)Built Up area: 670 sq.ft. (62.25 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.)  sq.ft.,Unfurnished,Family Only," in Nyati Eternity, NIBM, , Pune, Maharashtra",5th   of 11 Floors,East,Vitrified,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"12,500",1,1,Not given,,"Deposit₹ 30,000/-",Super Built up area 550(51.1 sq.m.)  sq.ft.,Semifurnished,All," in Ganesh Complex, Bibwewadi, , Pune, Maharashtra",Ground of 3 Floors,North-East,Ceramic,Yes,,,,,None,0 Months,Charges not included,None,10+ Year Old
9000,1,1,Others,1,"Maintenance₹ 1,000/- (/ month)Deposit₹ 40,000/-",Super Built up area 611.4(56.8 sq.m.)  sq.ft.,Unfurnished,Family Only," in Aakankssha Jubilation Apartment, Yewalewadi, , Pune, Maharashtra",4th   of 10 Floors,,,Yes,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
7000,1,1,Not given,1,Deposit3 months rent,Plot area 750(69.68 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)  sq.ft.,Semifurnished,All," in Qazi Manzil, Khandve Nagar, , Pune, Maharashtra",,East,Vitrified,,,1 Covered,,,11 Months,1 Months,Charges included,None,1 to 5 Year Old
