rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"24,000",2,2,Not given,3,"Deposit₹ 100,000/-",Super Built up area 1290(119.84 sq.m.)  sq.ft.,Semifurnished,All," in Parmar Marudhar Residency, Kondhwa Budruk, , Pune, Maharashtra",4th   of 9 Floors,,,Yes,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
5000,1,1,Not given,,"Deposit₹ 10,000/-",Plot area 350(32.52 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.)  sq.ft.,Furnished,All," in Udyog Nagar, , Pune, Maharashtra",,North-West,Vitrified,Yes,,1 Covered,,,None,1 Months,Charges not included,None,10+ Year Old
"25,000",2,2,Others,2,"Deposit₹ 60,000/-",Carpet area: 672 (62.43 sq.m.)  sq.ft.,Furnished,Family Only," in Twin Arcs, Punawale, , Pune, Maharashtra",2nd   of 13 Floors,,,,," Covered, 1 Open",,,12 Months,3 Months,Charges not included,None,1 to 5 Year Old
"18,000",2,2,Not given,1,,Carpet area: 725 (67.35 sq.m.)  sq.ft.,Unfurnished,Family Only," in Mittal Pebbles High Mont, Hinjewadi, , Pune, Maharashtra",18th   of 25 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,0 to 1 Year Old
"32,000",3,3,Not given,3,"Deposit₹ 100,000/-",Super Built up area 1675(155.61 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.)  sq.ft.,Semifurnished,Family Only," in Basant Bahar Society, Pashan, , Pune, Maharashtra",5th   of 10 Floors,West,Vitrified,Yes,,1 Covered,,,12 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"30,000",2,2,Not given,1,Deposit2 months rent,Super Built up area 1028(95.5 sq.m.)  sq.ft.,Furnished,All," in La Gloriosa, Digambar Nagar, , Pune, Maharashtra",2nd   of 8 Floors,,,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
3500,1,1,Not given,1,"Deposit₹ 25,000/-",Carpet area: 464 (43.11 sq.m.)  sq.ft.,Unfurnished,All," in Tiruupatee Balaji Nisarg, Shiraswadi, , Pune, Maharashtra",3rd   of 5 Floors,,,,,,,,36 Months,1 Months,Charges not included,None,0 to 1 Year Old
8500,,1,Not given,,"Deposit₹ 15,000/-",Carpet area: 550 (51.1 sq.m.)  sq.ft.,Unfurnished,Family Only," in Balaji Darshan, Fatima Nagar, Bhairobanala, , Pune, Maharashtra",2nd   of 6 Floors,,Mosaic,,," Covered,  Open",,,None,0 Months,Charges not included,None,10+ Year Old
"25,000",2,2,Not given,2,"Deposit₹ 60,000/-",Super Built up area 840(78.04 sq.m.)  sq.ft.,Furnished,All," in Citadel Chs, Ghorpadi, , Pune, Maharashtra",7th   of 8 Floors,,Ceramic,Yes,,1 Open,,,11 Months,1 Months,Charges not included,None,10+ Year Old
"17,000",2,2,Not given,1,"Deposit₹ 50,000/-",Built Up area: 710 (65.96 sq.m.)  sq.ft.,Furnished,All," in Sanjay Park, , Pune, Maharashtra",3rd   of 5 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
